source_qid,target_qid,property_type,identifier
Q120325,Q108672,P61,Q87724579
Q123937,Q112278,P61,Q8775636
Q123158,Q111503,P61,Q8777033
Q130301,Q118640,P61,Q878662
Q130271,Q118610,P61,Q878702
Q121274,Q109620,P61,Q878984
Q130252,Q118592,P61,Q878990
Q126971,Q115309,P61,Q879088
Q127445,Q49656,P61,Q879305
Q126860,Q115199,P61,Q879788
Q124810,Q113151,P61,Q879927
Q130291,Q118630,P61,Q879940
Q126822,Q115161,P61,Q879949
Q129318,Q117658,P61,Q87996730
Q123653,Q111996,P61,Q880215
Q126778,Q115117,P61,Q880230
Q126850,Q115189,P61,Q880242
Q124830,Q113171,P61,Q881239
Q143840,Q121041,P61,Q881962
Q130563,Q118902,P61,Q88218113
Q123585,Q111931,P61,Q882691
Q123777,Q112122,P61,Q882941
Q130697,Q119035,P61,Q883693
Q130315,Q118654,P61,Q886103
Q126615,Q114955,P61,Q886936
Q126772,Q115111,P61,Q886977
Q121329,Q109676,P61,Q886997
Q121826,Q110174,P61,Q887162
Q126122,Q114459,P61,Q887287
Q122874,Q111221,P61,Q887578
Q126808,Q115147,P61,Q887678
Q124808,Q113149,P61,Q888048
Q130265,Q118604,P61,Q888499
Q126613,Q114953,P61,Q888538
Q130254,Q118594,P61,Q888546
Q130285,Q118624,P61,Q888551
Q126776,Q115115,P61,Q888565
Q130275,Q118614,P61,Q888700
Q130261,Q118600,P61,Q888840
Q130279,Q118618,P61,Q888956
Q126864,Q115203,P61,Q888960
Q126770,Q115109,P61,Q888995
Q121852,Q110200,P61,Q889073
Q119695,Q108040,P61,Q88918981
Q124680,Q113021,P61,Q889277
Q124859,Q113199,P61,Q889657
Q119693,Q108038,P61,Q88977398
Q121609,Q109956,P61,Q889858
Q129633,Q117972,P61,Q890789
Q120877,Q109225,P61,Q8917042
Q124234,Q112576,P61,Q894480
Q125828,Q114165,P61,Q894481
Q44112,Q31498,P61,Q8944971
Q131021,Q119360,P61,Q894964
Q122489,Q110836,P61,Q8963467
Q123210,Q111555,P61,Q8963478
Q119273,Q107620,P61,Q89829446
Q120118,Q108466,P61,Q89829455
Q120128,Q108476,P61,Q89829522
Q119721,Q108066,P61,Q89829566
Q119490,Q107836,P61,Q89829575
Q119435,Q107782,P61,Q89829581
Q125017,Q113356,P61,Q89829616
Q122694,Q111041,P61,Q9001331
Q123386,Q111731,P61,Q9001333
Q121771,Q110118,P61,Q9001677
Q122108,Q110456,P61,Q9023677
Q124474,Q112815,P61,Q9026788
Q130839,Q119177,P61,Q9029788
Q123174,Q111519,P61,Q903969
Q128938,Q117277,P61,Q90423
Q119590,Q107936,P61,Q90532142
Q125411,Q113750,P61,Q9061646
Q127275,Q115614,P61,Q9061651
Q131113,Q119451,P61,Q9066568
Q125347,Q113686,P61,Q9070237
Q36775,Q20924,P61,Q907048
Q121775,Q110122,P61,Q9073801
Q122196,Q110544,P61,Q9073803
Q131381,Q119718,P61,Q908536
Q122598,Q110946,P61,Q9089582
Q44394,Q20857,P61,Q909042
Q130919,Q119258,P61,Q9091997
Q51583,Q22155,P61,Q910241
Q41312,Q22871,P61,Q910802
Q123030,Q111376,P61,Q91097166
Q47269,Q16118,P61,Q911334
Q129022,Q117361,P61,Q912695
Q123663,Q112006,P61,Q9138811
Q130475,Q118814,P61,Q9138866
Q131317,Q119654,P61,Q9139217
Q122658,Q111006,P61,Q9140788
Q124318,Q112660,P61,Q9140791
Q125005,Q113344,P61,Q9166659
Q130297,Q118636,P61,Q9167979
Q126547,Q114887,P61,Q9189367
Q127593,Q115932,P61,Q918950
Q126995,Q115333,P61,Q918971
Q58457,Q47511,P61,Q9192328
Q127171,Q115510,P61,Q919247
Q140917,Q120858,P61,Q919329
Q125127,Q113466,P61,Q920516
Q124937,Q113277,P61,Q920750
Q131732,Q120069,P61,Q922057
Q119588,Q107934,P61,Q92222295
Q125381,Q113720,P61,Q922564
Q120349,Q108696,P61,Q922653
Q46807,Q17562,P61,Q922862
Q41751,Q24916,P61,Q923564
Q46815,Q16426,P61,Q923579
Q147211,Q49028,P61,Q924212
Q51037,Q18623,P61,Q924830
Q39581,Q20936,P61,Q924973
Q124850,Q113191,P61,Q9250027
Q127053,Q115392,P61,Q9252681
Q147395,Q124517,P61,Q926335
Q125193,Q113532,P61,Q9282606
Q122350,Q110698,P61,Q928323
Q123260,Q111605,P61,Q928859
Q122850,Q111197,P61,Q929457
Q123610,Q111957,P61,Q929527
Q44193,Q18530,P61,Q930282
Q125652,Q113987,P61,Q930728
Q126380,Q114718,P61,Q932157
Q124933,Q113273,P61,Q932424
Q119596,Q107942,P61,Q93278653
Q119468,Q107814,P61,Q93278665
Q119594,Q107940,P61,Q93387735
Q122546,Q110894,P61,Q934132
Q127047,Q115386,P61,Q9351247
Q127051,Q115390,P61,Q9352021
Q125007,Q113346,P61,Q9355142
Q130949,Q119288,P61,Q935839
Q127368,Q115708,P61,Q9363052
Q122046,Q110394,P61,Q936487
Q124592,Q112933,P61,Q936761
Q147224,Q128115,P61,Q936880
Q120919,Q109267,P61,Q937670
Q141323,Q120508,P61,Q938220
Q128364,Q116703,P61,Q938659
Q128924,Q117263,P61,Q9396734
Q127725,Q116064,P61,Q939696
Q119574,Q107920,P61,Q939884
Q127591,Q115930,P61,Q940156
Q123144,Q111489,P61,Q940165
Q141037,Q124785,P61,Q940404
Q123875,Q112216,P61,Q94086863
Q51042,Q18624,P61,Q942133
Q124636,Q112977,P61,Q943339
Q121723,Q110070,P61,Q943730
Q121381,Q109728,P61,Q94521317
Q63905,Q51893,P61,Q94542188
Q119566,Q107912,P61,Q94573739
Q42538,Q24357,P61,Q946037
Q125103,Q113442,P61,Q946829
Q129593,Q117932,P61,Q947423
Q123935,Q112276,P61,Q947540
Q129850,Q118190,P61,Q948032
Q146601,Q124811,P61,Q948520
Q128734,Q117073,P61,Q94921407
Q122058,Q110406,P61,Q949320
Q123096,Q111442,P61,Q949640
Q130347,Q118686,P61,Q952014
Q131782,Q120119,P61,Q95208224
Q128488,Q116827,P61,Q952865
Q123380,Q111725,P61,Q953213
Q125708,Q114043,P61,Q954135
Q128350,Q116689,P61,Q955107
Q69120,Q53007,P61,Q95577030
Q51446,Q51092,P61,Q95578215
Q129292,Q117632,P61,Q95639
Q130052,Q118392,P61,Q957189
Q120819,Q109167,P61,Q958303
Q122662,Q111009,P61,Q9587007
Q129774,Q118114,P61,Q95921246
Q126490,Q114828,P61,Q9593092
Q128202,Q116541,P61,Q9594601
Q124907,Q113247,P61,Q959947
Q120238,Q108586,P61,Q96007200
Q127809,Q116148,P61,Q960130
Q124482,Q112823,P61,Q960341
Q124103,Q112444,P61,Q960730
Q125948,Q114285,P61,Q96074866
Q130631,Q118969,P61,Q96100630
Q127011,Q115350,P61,Q96105737
Q128690,Q117029,P61,Q96115459
Q39520,Q16420,P61,Q961435
Q58460,Q42176,P61,Q96200289
Q41516,Q24308,P61,Q96200296
Q44072,Q22951,P61,Q96200300
Q57206,Q42072,P61,Q96200301
Q147186,Q121462,P61,Q96239455
Q129134,Q117473,P61,Q96239457
Q124320,Q112662,P61,Q96239458
Q128809,Q117149,P61,Q96239462
Q125930,Q114267,P61,Q96245340
Q129346,Q117686,P61,Q96247208
Q129344,Q117684,P61,Q96247221
Q126142,Q114479,P61,Q96247229
Q123521,Q111863,P61,Q962511
Q141095,Q127672,P61,Q96284
Q125840,Q114177,P61,Q96335515
Q120214,Q108562,P61,Q96371754
Q120212,Q108560,P61,Q96382911
Q121892,Q110240,P61,Q964083
Q124356,Q112697,P61,Q964335
Q125039,Q113378,P61,Q965348
Q123054,Q111400,P61,Q965437
Q121918,Q110266,P61,Q9655632
Q129701,Q118040,P61,Q9662161
Q131293,Q119630,P61,Q966305
Q124820,Q113161,P61,Q96658699
Q57230,Q44024,P61,Q96739671
Q51618,Q39983,P61,Q96739683
Q128676,Q117015,P61,Q967415
Q119297,Q107644,P61,Q96747862
Q119295,Q107642,P61,Q96790051
Q128430,Q116769,P61,Q968786
Q120094,Q108442,P61,Q96966921
Q125672,Q114006,P61,Q970298
Q50783,Q28002,P61,Q97031328
Q125670,Q114004,P61,Q971162
Q128526,Q116865,P61,Q97185405
Q131804,Q120141,P61,Q97185622
Q120771,Q109119,P61,Q97189471
Q120475,Q108822,P61,Q97190428
Q126571,Q114911,P61,Q97208643
Q120743,Q109091,P61,Q97217565
Q119811,Q108156,P61,Q97219396
Q124486,Q112827,P61,Q972437
Q130739,Q119077,P61,Q972439
Q128528,Q116867,P61,Q972498
Q135860,Q120546,P61,Q973678
Q127899,Q116239,P61,Q973695
Q126314,Q114653,P61,Q973823
Q130977,Q119316,P61,Q973978
Q120216,Q108564,P61,Q97481705
Q125339,Q113678,P61,Q97486515
Q119875,Q108221,P61,Q97496774
Q124748,Q113089,P61,Q975560
Q126907,Q115245,P61,Q975981
Q73372,Q52561,P61,Q97625772
Q124871,Q113211,P61,Q97634215
Q122062,Q110410,P61,Q976550
Q120645,Q108993,P61,Q97667143
Q120635,Q108983,P61,Q97667169
Q120637,Q108985,P61,Q97667244
Q120639,Q108987,P61,Q97667269
Q120641,Q108989,P61,Q97667327
Q120643,Q108991,P61,Q97667345
Q121377,Q109724,P61,Q977147
Q124315,Q54881,P61,Q977455
Q121820,Q110168,P61,Q977653
Q121920,Q110268,P61,Q9777436
Q129645,Q117984,P61,Q978371
Q119355,Q107702,P61,Q97923193
Q122846,Q111193,P61,Q980005
Q128636,Q116975,P61,Q98077086
Q131718,Q120054,P61,Q98077087
Q128632,Q116971,P61,Q98077164
Q119277,Q107624,P61,Q98109049
Q119279,Q107626,P61,Q98109062
Q130655,Q118993,P61,Q98154552
Q130430,Q118770,P61,Q981706
Q120977,Q109325,P61,Q982066
Q128126,Q116465,P61,Q982697
Q121003,Q109351,P61,Q982704
Q140928,Q120686,P61,Q983079
Q129788,Q118128,P61,Q983155
Q124572,Q112913,P61,Q983502
Q123861,Q112202,P61,Q983527
Q122038,Q110386,P61,Q983624
Q145484,Q129215,P61,Q984430
Q136643,Q126127,P61,Q98697964
Q62580,Q52637,P61,Q98734277
Q122110,Q110458,P61,Q98841209
Q129382,Q117722,P61,Q98960270
Q125431,Q113770,P61,Q98969807
Q127991,Q116331,P61,Q990836
Q147144,Q122233,P61,Q99210680
Q147145,Q122235,P61,Q99210682
Q119359,Q107706,P61,Q99232045
Q130825,Q119163,P61,Q99304030
Q130827,Q119165,P61,Q99304031
Q131323,Q119660,P61,Q99304042
Q124384,Q112725,P61,Q99304077
Q126272,Q114610,P61,Q99304078
Q129653,Q117992,P61,Q99304079
Q129655,Q117994,P61,Q99304080
Q129657,Q117996,P61,Q99304085
Q129661,Q118000,P61,Q99304086
Q126436,Q114774,P61,Q99304109
Q126438,Q114776,P61,Q99304110
Q126442,Q114780,P61,Q99304111
Q126446,Q114784,P61,Q99304112
Q129776,Q118116,P61,Q99304136
Q129772,Q118112,P61,Q99304142
Q125225,Q113564,P61,Q99304147
Q129766,Q118106,P61,Q99304149
Q124380,Q112721,P61,Q99304152
Q125712,Q114047,P61,Q99304153
Q124170,Q112512,P61,Q99304155
Q125738,Q114072,P61,Q99304156
Q124186,Q112528,P61,Q99304157
Q129764,Q118104,P61,Q99304160
Q131499,Q119836,P61,Q99304165
Q124164,Q112506,P61,Q99304177
Q126106,Q114443,P61,Q99441976
Q119257,Q107604,P61,Q99658772
Q119281,Q107628,P61,Q99668989
Q147644,Q122605,P61,Q99687
Q119755,Q108100,P61,Q99690562
Q124041,Q112382,P61,Q99838632
Q125335,Q113674,P61,Q99838682
Q125337,Q113676,P61,Q99838833
Q130915,Q119254,P61,Q99840123
Q99468,Q74590,P62,6000000002187613904
Q99490,Q74590,P62,6000000002187613904
Q111130,Q74590,P62,6000000002187613904
Q135952,Q74590,P62,6000000002187613904
Q91410,Q89379,P62,6000000029177548848
Q101058,Q89379,P62,6000000029177548848
Q103090,Q89379,P62,6000000029177548848
Q91520,Q89618,P62,6000000029181296010
Q101298,Q89618,P62,6000000029181296010
Q103200,Q89618,P62,6000000029181296010
Q89875,Q89572,P62,6000000029181374029
Q101252,Q89572,P62,6000000029181374029
Q101554,Q89572,P62,6000000029181374029
Q135523,Q74192,P62,283181900190003966
Q139828,Q64483,P62,302030903370006491
Q141754,Q65258,P62,302036169990003799
Q139834,Q76277,P62,302211628310006481
Q144379,Q66718,P62,303021670170005628
Q113022,Q101361,P62,4876709487680081308
Q140989,Q101361,P62,4876709487680081308
Q112610,Q100948,P62,4876729152710013892
Q140988,Q100948,P62,4876729152710013892
Q115669,Q104011,P62,4880903518780047045
Q143487,Q104011,P62,4880903518780047045
Q114436,Q102772,P62,5096010198730109069
Q141716,Q102772,P62,5096010198730109069
Q116538,Q104885,P62,5233386757510064451
Q143482,Q104885,P62,5233386757510064451
Q116754,Q105101,P62,5666856869970026974
Q146863,Q105101,P62,5666856869970026974
Q114573,Q102909,P62,6000000000011284066
Q140883,Q102909,P62,6000000000011284066
Q114577,Q102913,P62,6000000000011333058
Q143291,Q102913,P62,6000000000011333058
Q111566,Q99903,P62,6000000000033687086
Q139803,Q99903,P62,6000000000033687086
Q111562,Q99899,P62,6000000000037773272
Q138555,Q99899,P62,6000000000037773272
Q134719,Q74683,P62,6000000000065187287
Q112097,Q100435,P62,6000000000129435686
Q143495,Q100435,P62,6000000000129435686
Q136436,Q72538,P62,6000000000162835957
Q144271,Q72951,P62,6000000000172782992
Q138382,Q73071,P62,6000000000312008327
Q139850,Q61173,P62,6000000000315893217
Q143943,Q75531,P62,6000000000316744035
Q137687,Q72570,P62,6000000000424639675
Q135927,Q73623,P62,6000000000424702247
Q136729,Q72900,P62,6000000000424702295
Q138421,Q78000,P62,6000000000424886603
Q135374,Q74365,P62,6000000000437385272
Q135655,Q74455,P62,6000000000437385329
Q135755,Q73512,P62,6000000000437626004
Q111462,Q99799,P62,6000000000448593758
Q141718,Q99799,P62,6000000000448593758
Q116478,Q104825,P62,6000000000656886819
Q140987,Q104825,P62,6000000000656886819
Q115671,Q104013,P62,6000000000665380375
Q140983,Q104013,P62,6000000000665380375
Q139593,Q72248,P62,6000000000700882993
Q141757,Q65423,P62,6000000000700891785
Q139825,Q64516,P62,6000000000700895484
Q151340,Q77032,P62,6000000000701024840
Q139590,Q72272,P62,6000000000701087672
Q138430,Q72335,P62,6000000000701119762
Q115793,Q104135,P62,6000000000717776836
Q140999,Q104135,P62,6000000000717776836
Q115795,Q104137,P62,6000000000717877042
Q140866,Q104137,P62,6000000000717877042
Q138296,Q60518,P62,6000000000914324156
Q136503,Q61598,P62,6000000000930944231
Q99036,Q96524,P62,6000000001079659042
Q108184,Q96524,P62,6000000001079659042
Q115745,Q104087,P62,6000000001196257237
Q146588,Q104087,P62,6000000001196257237
Q139800,Q70038,P62,6000000001210412419
Q151773,Q76409,P62,6000000001320202138
Q137683,Q72711,P62,6000000001336571372
Q137153,Q72567,P62,6000000001336630486
Q111010,Q99348,P62,6000000001336650473
Q136746,Q99348,P62,6000000001336650473
Q137686,Q72529,P62,6000000001336717255
Q137707,Q73026,P62,6000000001336756403
Q138413,Q72873,P62,6000000001336803104
Q135929,Q73374,P62,6000000001353854035
Q135254,Q73728,P62,6000000001355636606
Q151486,Q73128,P62,6000000001412384166
Q148061,Q73131,P62,6000000001412420076
Q111040,Q99378,P62,6000000001416177551
Q151484,Q99378,P62,6000000001416177551
Q151481,Q73446,P62,6000000001416312174
Q151482,Q73449,P62,6000000001416325390
Q148058,Q73296,P62,6000000001416347026
Q144246,Q69972,P62,6000000001511221493
Q148190,Q70005,P62,6000000001511313911
Q138575,Q63747,P62,6000000002005998997
Q138574,Q63780,P62,6000000002006109656
Q135229,Q74296,P62,6000000002060768421
Q138470,Q77788,P62,6000000002106239618
Q110995,Q99334,P62,6000000002119140027
Q137705,Q99334,P62,6000000002119140027
Q138295,Q60548,P62,6000000002119493371
Q139857,Q61140,P62,6000000002119938632
Q136017,Q61664,P62,6000000002122805101
Q110975,Q99314,P62,6000000002122939880
Q136509,Q99314,P62,6000000002122939880
Q139855,Q73095,P62,6000000002145314408
Q111289,Q99627,P62,6000000002187572907
Q139438,Q99627,P62,6000000002187572907
Q137669,Q72924,P62,6000000002187599883
Q138387,Q73077,P62,6000000002187600052
Q111142,Q99480,P62,6000000002187613924
Q136199,Q99480,P62,6000000002187613924
Q135464,Q73824,P62,6000000002187624247
Q135331,Q73836,P62,6000000002187624295
Q138498,Q72457,P62,6000000002187712807
Q136164,Q72720,P62,6000000002187718673
Q139716,Q72281,P62,6000000002188289008
Q138486,Q72260,P62,6000000002188289069
Q138487,Q72263,P62,6000000002188289085
Q138503,Q72266,P62,6000000002188289106
Q141642,Q72633,P62,6000000002188289133
Q144122,Q72807,P62,6000000002188289154
Q144124,Q72810,P62,6000000002188289159
Q148105,Q72963,P62,6000000002188289187
Q141458,Q73119,P62,6000000002205617469
Q115787,Q104129,P62,6000000002244370573
Q143292,Q104129,P62,6000000002244370573
Q135921,Q78402,P62,6000000002415194667
Q135919,Q78713,P62,6000000002415234643
Q136159,Q78609,P62,6000000002415363424
Q136156,Q78612,P62,6000000002415390027
Q137164,Q72356,P62,6000000002428674074
Q139751,Q78189,P62,6000000002428752488
Q135292,Q74299,P62,6000000002447103414
Q139662,Q72221,P62,6000000002512613884
Q135060,Q74282,P62,6000000002837440699
Q141459,Q78306,P62,6000000002940834391
Q137145,Q78171,P62,6000000002940877547
Q139736,Q72451,P62,6000000003024845244
Q148027,Q73866,P62,6000000003051250763
Q138455,Q78003,P62,6000000003051269288
Q139661,Q78159,P62,6000000003146115895
Q105440,Q93774,P62,6000000003289560803
Q135682,Q93774,P62,6000000003289560803
Q144072,Q72436,P62,6000000003355541511
Q141519,Q72439,P62,6000000003355637296
Q137709,Q72876,P62,6000000003420839126
Q135910,Q73368,P62,6000000003506548107
Q135602,Q73629,P62,6000000003513191421
Q137129,Q72903,P62,6000000003645847638
Q136144,Q73377,P62,6000000003645847650
Q135291,Q74407,P62,6000000003645847827
Q138512,Q70205,P62,6000000003645853513
Q135457,Q73356,P62,6000000003645853615
Q135336,Q73491,P62,6000000003645853628
Q135449,Q73494,P62,6000000003645853635
Q135208,Q73731,P62,6000000003645853653
Q135340,Q73722,P62,6000000003645853688
Q135329,Q73725,P62,6000000003645853693
Q135332,Q73617,P62,6000000003645853699
Q135448,Q73620,P62,6000000003645853704
Q135748,Q73194,P62,6000000003645853743
Q136751,Q72541,P62,6000000003645859280
Q136152,Q72891,P62,6000000003645859300
Q136147,Q73041,P62,6000000003645859311
Q135635,Q73746,P62,6000000003645859344
Q73734,Q30453,P62,6000000003645859795
Q144420,Q76900,P62,6000000003645864006
Q144089,Q77038,P62,6000000003645864016
Q137784,Q63192,P62,6000000003645864052
Q151858,Q63879,P62,6000000003645864196
Q151856,Q64648,P62,6000000003645864201
Q151888,Q64681,P62,6000000003645864206
Q151909,Q64268,P62,6000000003645864211
Q141762,Q65519,P62,6000000003645864827
Q144393,Q66916,P62,6000000003645864842
Q148314,Q68455,P62,6000000003645864847
Q141586,Q70122,P62,6000000003645864857
Q144245,Q70685,P62,6000000003645864863
Q137172,Q71766,P62,6000000003645870125
Q148346,Q75853,P62,6000000003645870459
Q139622,Q72425,P62,6000000003645870469
Q137163,Q72726,P62,6000000003645896605
Q135912,Q73380,P62,6000000003645908381
Q135473,Q73943,P62,6000000003645908452
Q135026,Q74389,P62,6000000003645908512
Q137651,Q72732,P62,6000000003645908602
Q148097,Q68223,P62,6000000003645989983
Q138517,Q70784,P62,6000000003645989988
Q139772,Q71718,P62,6000000003645997018
Q148095,Q69907,P62,6000000003736732760
Q111502,Q99839,P62,6000000003741916756
Q141720,Q99839,P62,6000000003741916756
Q111478,Q99815,P62,6000000003742102823
Q138553,Q99815,P62,6000000003742102823
Q112637,Q100976,P62,6000000003772993409
Q141719,Q100976,P62,6000000003772993409
Q112103,Q100441,P62,6000000003795473559
Q143490,Q100441,P62,6000000003795473559
Q136822,Q61235,P62,6000000003827324679
Q141615,Q73284,P62,6000000003827963052
Q141635,Q72660,P62,6000000003828196714
Q144061,Q72834,P62,6000000003828196721
Q144390,Q66946,P62,6000000003828204054
Q151859,Q63846,P62,6000000003828224112
Q136826,Q60974,P62,6000000003828287378
Q144391,Q66883,P62,6000000003828371947
Q138409,Q77923,P62,6000000003828375090
Q144076,Q72308,P62,6000000003828382317
Q144172,Q72511,P62,6000000003828382359
Q139713,Q70343,P62,6000000003828385238
Q141592,Q67573,P62,6000000003828385756
Q144251,Q67603,P62,6000000003828385763
Q144429,Q62351,P62,6000000003828392188
Q141794,Q62023,P62,6000000003828392202
Q139847,Q61694,P62,6000000003828392216
Q139848,Q61727,P62,6000000003828392223
Q141795,Q62089,P62,6000000003828392230
Q138587,Q61400,P62,6000000003828392237
Q151577,Q76355,P62,6000000003828392777
Q151885,Q67055,P62,6000000003828396664
Q151886,Q67085,P62,6000000003828396671
Q148136,Q72484,P62,6000000003828399783
Q137245,Q73086,P62,6000000003858782342
Q136750,Q72894,P62,6000000003897579687
Q136421,Q73053,P62,6000000003897590594
Q111482,Q99819,P62,6000000004045821353
Q138554,Q99819,P62,6000000004045821353
Q135085,Q74228,P62,6000000004533544430
Q115665,Q104007,P62,6000000004996654885
Q143408,Q104007,P62,6000000004996654885
Q136813,Q61631,P62,6000000005241028746
Q151423,Q72011,P62,6000000005241731148
Q137244,Q60944,P62,6000000005747740478
Q137670,Q72927,P62,6000000005757895476
Q138477,Q73188,P62,6000000005759156012
Q139528,Q73239,P62,6000000005768265987
Q151297,Q78594,P62,6000000005789572102
Q137162,Q72729,P62,6000000005924906190
Q137713,Q72269,P62,6000000005933238750
Q138507,Q70970,P62,6000000005933702020
Q148057,Q73299,P62,6000000005944438076
Q135750,Q73503,P62,6000000005946324308
Q111056,Q99394,P62,6000000005987293003
Q135749,Q99394,P62,6000000005987293003
Q135458,Q73353,P62,6000000005990411008
Q135603,Q73506,P62,6000000006007855001
Q135461,Q73632,P62,6000000006009035001
Q135493,Q73737,P62,6000000006011320007
Q135492,Q73854,P62,6000000006018220006
Q135632,Q73940,P62,6000000006019314001
Q135634,Q73851,P62,6000000006019691008
Q135381,Q74195,P62,6000000006078785713
Q135513,Q74410,P62,6000000006079286768
Q135373,Q74368,P62,6000000006079492556
Q151549,Q72377,P62,6000000006097316212
Q136502,Q61924,P62,6000000006101240845
Q136504,Q61957,P62,6000000006101240850
Q137706,Q73029,P62,6000000006101277370
Q151548,Q72383,P62,6000000006101312593
Q144377,Q66751,P62,6000000006101317642
Q135043,Q74344,P62,6000000006101322830
Q137166,Q71798,P62,6000000006101366222
Q143942,Q70292,P62,6000000006101378800
Q135371,Q74485,P62,6000000006131105658
Q135527,Q74129,P62,6000000006131531097
Q138379,Q78465,P62,6000000006244006504
Q139435,Q60746,P62,6000000006266756400
Q137791,Q73089,P62,6000000006267614247
Q139436,Q60680,P62,6000000006267645324
Q139437,Q60713,P62,6000000006267771300
Q136141,Q73206,P62,6000000006451577913
Q135941,Q73209,P62,6000000006451955612
Q141616,Q72801,P62,6000000006606589414
Q139600,Q78153,P62,6000000006607055274
Q135266,Q73860,P62,6000000006820844039
Q136175,Q73215,P62,6000000006826385044
Q138383,Q73074,P62,6000000006859413853
Q137716,Q70208,P62,6000000006861908290
Q138513,Q68650,P62,6000000006874867859
Q139573,Q73023,P62,6000000006901336072
Q138589,Q61008,P62,6000000006946431249
Q137171,Q72353,P62,6000000006970940899
Q148015,Q60878,P62,6000000007155293220
Q136435,Q72723,P62,6000000007228090997
Q141281,Q61268,P62,6000000007233026152
Q138422,Q72332,P62,6000000007234813810
Q135345,Q73857,P62,6000000007265083885
Q135911,Q73365,P62,6000000007370175678
Q135752,Q73362,P62,6000000007376492703
Q135928,Q73515,P62,6000000007376783807
Q135756,Q73359,P62,6000000007376819364
Q137237,Q62704,P62,6000000007495878854
Q139660,Q78162,P62,6000000007519655888
Q137702,Q77833,P62,6000000007774655553
Q137704,Q77614,P62,6000000007892332453
Q134873,Q74620,P62,6000000008021369582
Q135008,Q74434,P62,6000000008021470468
Q134827,Q74662,P62,6000000008021477466
Q138425,Q77827,P62,6000000008122648505
Q141763,Q65552,P62,6000000008211626950
Q136513,Q61334,P62,6000000008211661175
Q136143,Q73218,P62,6000000008248136261
Q151422,Q72041,P62,6000000008332890228
Q151493,Q73311,P62,6000000008404802241
Q148320,Q76903,P62,6000000008404958767
Q136752,Q72359,P62,6000000008418771565
Q135474,Q73946,P62,6000000008518113379
Q136756,Q72350,P62,6000000008630612999
Q135255,Q73614,P62,6000000008630613094
Q135335,Q73611,P62,6000000008630613100
Q135171,Q73839,P62,6000000008630613117
Q135351,Q73740,P62,6000000008630613169
Q139605,Q72239,P62,6000000008712507178
Q138465,Q77611,P62,6000000008713427361
Q141758,Q65489,P62,6000000009432292659
Q138577,Q76508,P62,6000000009432571125
Q144382,Q66653,P62,6000000009438016327
Q144383,Q66685,P62,6000000009440355933
Q135916,Q73044,P62,6000000009550593233
Q135522,Q74243,P62,6000000009553122259
Q139532,Q72478,P62,6000000009553345029
Q141654,Q70340,P62,6000000009654053608
Q137728,Q72546,P62,6000000009874130110
Q144378,Q66784,P62,6000000010016427476
Q151374,Q70448,P62,6000000010218812573
Q148191,Q68283,P62,6000000010249948712
Q151379,Q69820,P62,6000000010502212759
Q137684,Q72708,P62,6000000010683625755
Q151855,Q65648,P62,6000000010809549691
Q148340,Q65681,P62,6000000010809757338
Q139591,Q72275,P62,6000000010829886244
Q138411,Q72879,P62,6000000010849360396
Q111152,Q74590,P62,6000000010981279662
Q144253,Q66488,P62,6000000011350968750
Q151837,Q76867,P62,6000000011459510059
Q151809,Q76640,P62,6000000011459779262
Q151595,Q73575,P62,6000000011827176549
Q137146,Q78174,P62,6000000012011702512
Q151288,Q78591,P62,6000000012136439392
Q144178,Q77341,P62,6000000012301816513
Q136817,Q62255,P62,6000000012328291449
Q148094,Q69940,P62,6000000012502759517
Q148065,Q73146,P62,6000000012691639866
Q151606,Q73458,P62,6000000012692279296
Q151594,Q73443,P62,6000000012693598635
Q144115,Q72419,P62,6000000012715403176
Q144114,Q72422,P62,6000000012716425632
Q148101,Q72591,P62,6000000012717251581
Q141488,Q72603,P62,6000000012719173070
Q141590,Q69263,P62,6000000012762842001
Q141589,Q69296,P62,6000000012762929983
Q148298,Q66817,P62,6000000012773760294
Q141759,Q65456,P62,6000000012773904209
Q92394,Q3527,P62,6000000012974226083
Q104068,Q3527,P62,6000000012974226083
Q112089,Q100427,P62,6000000012996575818
Q143498,Q100427,P62,6000000012996575818
Q112573,Q100912,P62,6000000012996575824
Q143945,Q100912,P62,6000000012996575824
Q112575,Q100914,P62,6000000012996889204
Q146654,Q100914,P62,6000000012996889204
Q148178,Q70913,P62,6000000013204919137
Q151772,Q76412,P62,6000000013238159914
Q112105,Q100443,P62,6000000013503946568
Q143491,Q100443,P62,6000000013503946568
Q112145,Q100483,P62,6000000014013164881
Q143497,Q100483,P62,6000000014013164881
Q135059,Q74347,P62,6000000015458394484
Q137718,Q70817,P62,6000000016143642011
Q141766,Q76514,P62,6000000017237168105
Q135108,Q74231,P62,6000000017473966098
Q135754,Q73497,P62,6000000020709658300
Q135617,Q74000,P62,6000000024434932199
Q141371,Q72666,P62,6000000027233055058
Q138428,Q72744,P62,6000000027285184538
Q138427,Q72747,P62,6000000027287285968
Q139610,Q72909,P62,6000000027287404029
Q139611,Q72912,P62,6000000027287631069
Q141518,Q72624,P62,6000000027290117295
Q144037,Q72621,P62,6000000027312259703
Q141379,Q72792,P62,6000000027323522634
Q141405,Q72795,P62,6000000027323733182
Q92196,Q31352,P62,6000000029178744878
Q103871,Q31352,P62,6000000029178744878
Q151593,Q73569,P62,6000000030450162221
