QID,Wikidata_QID,Geni_IDs,Label,Description,Properties
Q16311,,,Cheng Dao Fa Qin Wang,,1
Q16312,,,Ming Ren Fa Qin Wang,,1
Q16313,Q11488736,,Tokugawa Arichika,,7
Q16314,Q11657991,,Abe Saneharu,,7
Q16315,,,A Ye Ji Yuan,,1
Q16316,,,Oguranomiya Kyōson,,1
Q16317,,,Yue Zhi Wei Tong,,1
Q16318,,,Yue Zhi Jia Jing,,1
Q16319,,,Yue Zhi Jia Ling,,1
Q1632,,,15 Eupercaria,,5
Q16320,,,daughter of Ochi Ieyoshi (wife of Furuichi Sumitane),,1
Q16321,,,Wu Wan Li Guang,,1
Q16322,Q11510598,,Hino Arimitsu,,8
Q16323,,,Ri Ye Xi Sheng Guang,,1
Q16324,,,daughter of Hino Nishi Sukekuni (wife of Yanagiwara Tadahide),,1
Q16325,,,Wu Zhe Xiao Lu Long Guang,,1
Q16326,,,daughter of Mushanokoji Suketoshi (mistress of Ura Matsushigemitsu),,1
Q16327,,,Liu Yuan Xing Guang,,1
Q16328,,,Ting Teng Guang,,1
Q16329,,,daughter of Itsuji Tominaka (mistress of Ichijo Fusaka),,1
Q1633,,,"Acanthuriformes (surgeonfishes, ponyfishes)",,8
Q16330,,,Ichijō Fusamichi,,1
Q16331,,,Daughter of Ichijo Fusae (wife of Saionji Kinnobu),,1
Q16332,,,Daughter of Ichijo Fusae (wife of Tsuno Mototaka),,1
Q16333,,,Yu Ji Gong,,1
Q16334,,,Daughter of Ouchi Yoshioki (concubine of Ichijo Fusafuji),,1
Q16335,,,Fusamoto Ichijō,,1
Q16336,,,Ōuchi Harumichi,,1
Q16337,Q11498582,,Settsu no Chikaaki,,7
Q16338,,,She Jin Qin Xiu,,1
Q16339,,,Wu Tiao Chang Jing,,1
Q1634,,,"Monodactylidae (moonyfishes, fingerfishes)",,8
Q16340,,,Wu Tiao Chang Chun,,1
Q16341,,,Chi Ming Yuan Ji Xin,,1
Q16342,Q11395360,,Reizei Tamemasu,1516 - 22 Sep 1570,9
Q16343,Q120731997,,Myouyu,,8
Q16344,,,Daughter of Takakura Nagatoyo (wife of Tokudaiji Kinari),,1
Q16345,Q11489584,,Tokudaiji Saneatsu,Japanese politician,9
Q16346,,,Daughter of Tokudaiji Kinari (wife of Sanjo Kinatsu),,1
Q16347,,,Daughter of Tokudaiji Kimiari (Concubine of Ashikaga Yoshihisa),,1
Q16348,,,Daughter of Tokudaiji Kimiari (Wife of Hosokawa Noriharu),,1
Q16349,,,Daughter of Tokudaiji Kimiari (Wife of Karasuma Masumitsu),,1
Q1635,,,16 Eupercaria,,5
Q16350,,,Hojuin (Daughter of Tokudaiji Kimiari),,1
Q16351,Q24859424,,Koga Michihiro,,9
Q16352,,,Xing You,,1
Q16353,Q11376745,,Imadegawa Kinnao,,7
Q16354,,,Nan Xiang (Wife of Kanroji Chikanaga),,1
Q16355,,,Harufusa Madenokōji,,1
Q16356,Q17990301,,Kanroji Motonaga,,10
Q16357,,,Reizei no Tsubone (Daughter of Kanroji Chikanaga),,1
Q16358,,,Wu Sip Zi Zhong,,1
Q16359,Q24040325,,Michihide Nakanoin,,8
Q1636,,,Emmelichthyidae (rovers),,8
Q16360,,,Shōhaku,,1
Q16361,,,Ting Tian Jing Zi,,1
Q16362,Q123406320,,Niwata Shigekata,,5
Q16363,Q15043480,,Niwata Tsuneari,,9
Q16364,,,Tian Xiang Zi Yin,,1
Q16365,,,Xi Yuan Si Gong Ji,,1
Q16366,,,Shui Wu Lai Zhong Qin,,1
Q16367,,,daughter of Masagimachi Sanjo Sanemasa (wife of Sanjo Saneki),,1
Q16368,,,Sanjō Kin'atsu,,1
Q16369,,,Da Chui Yu Men Xin Liang,,1
Q1637,,,18 Eupercaria,,5
Q16370,,,daughter of Sanjo Saneki (lawful wife of Akamatsu Yoshimasa),,1
Q16371,,,daughter of Sanjo Saneki (wife of Minase Suekane),,1
Q16372,,,San Tiao Dong Zi,,1
Q16373,,,daughter of Minase Suekane (wife of Jimyoin Motonori),,1
Q16374,,,Shui Wu Lai Ying Jian,,1
Q16375,,,Guang Qiao Ju Zi,,1
Q16376,Q109259134,,Hino Mitsuko,,6
Q16377,Q109260790,,Itsutsuji Asako,,6
Q16378,,,daughter of Takakura Nagato (naishi of Emperor Shoko),,1
Q16379,,,Nan Mu Zheng Cheng Nosan Nu,,1
Q1638,,,Pomacanthidae (angelfishes),,8
Q16380,Q10885147,,Date Narimune,,10
Q16381,,,She Jin Man Qin,,1
Q16382,Q11510625,,Hino Yoshisuke,,9
Q16383,,,Si Tiao Long Zong,,1
Q16384,,,Si Tiao Long Zhi,,1
Q16385,,,Chi Song Man Zhen,,1
Q16386,Q5306708,,Hino Tomiko,Proeminent figure during the Ōnin war,10
Q16387,,,Da Guan Zuo Zi,,1
Q16388,Q108532803,,daughter of Imagawa Norimasa,,6
Q16389,Q447639,,Ashikaga Yoshihisa,9th shogun of the Ashikaga shogunate,11
Q1639,,,17 Eupercaria,,5
Q16390,Q108454736,,Hino Yoshiko,,8
Q16391,Q708527,,Ashikaga Yoshitane,"Tenth shōgun of the Ashikaga shogunate of Japan (1490–1493, 1508–1521)",11
Q16392,,,Yi Zhong,,1
Q16393,Q11549456,,Mizuno Yoshizumi,,8
Q16394,,,Enman-in (Concubine of Ashikaga Masatomo),,1
Q16395,Q11636821,,Ashikaga Chachamaru,2nd Horikoshi Kubō,8
Q16397,Q11636795,,Ashikaga Jundoshi,,8
Q16398,Q11463127,,Masaharu Oda,,9
Q16399,,,Yi Se Zang Zhu,,1
Q1640,,,Lutjaniformes (snappers),,8
Q16400,,,Yi Se Zhi Qing,,1
Q16401,Q313808,,Emperor Reigen,emperor of Japan,12
Q16402,,,Empress Dowager Keihō,,1
Q16405,,,Kyōgoku-no-miya Ayahito-shinnō,,1
Q16406,Q10886843,,Saku-no-miya,member of Japanese royal family in Edo period,9
Q16408,,,Arisugawa-no-miya Yorihito-shinnō,,1
Q16409,,,Yukiko-joō,,1
Q1641,,,26 Eupercaria,,5
Q16410,,,Leng Quan Jing Zi,,1
Q16411,,,Kōkan-hosshinnō,,1
Q16412,,,Jie Si Long He,,1
Q16413,,,Fushimi-no-miya Sadatake-shinnō,,1
Q16414,,,Fushimi-no-miya Kuniyori-shinnō,,1
Q16415,,,Konoe Shūshi,,1
Q16416,,,Zuo Wei Men Zuo Zan Qi,,1
Q16417,,,Zhong Ye Sachi,,1
Q16418,,,Kan'in-no-miya Sukehito-shinnō,,1
Q16419,,,Tomoko joō,,1
Q1642,,,Callanthiidae (splendid perches),,8
Q16420,Q961435,6000000030413845305;6000000030413845305,Takatsukasa Sukehira,kugyō or Japanese court noble of the Edo period,10
Q16421,,,Zhi Zi Nu Wang,,1
Q16422,,,Kōkei-hosshinnō,,1
Q16423,,,Zun Xin Nu Wang,,1
Q16424,,,Shi Zi Nu Wang,,1
Q16425,,,Bo Shan Yuan Bi,,1
Q16426,Q923579,6000000177730422822;6000000177730422822,Konoe Iehiro,kugyō,13
Q16427,,,Ting Kao Liang Zi,,1
Q16428,Q3514223,,Takatsukasa Hisasuke,kuge or Japanese court noble of the Edo period,8
Q16429,Q3514219,,Takatsukasa Fusahiro,Japanese court noble,8
Q1643,,,Malacanthidae (tilefishes),,8
Q16430,Q3073071,6000000177730326833;6000000177730326833,Konoe Iehisa,Japanese court noble (1687-1737),12
Q16431,Q17213359,,Shimizudani Sanenari,,10
Q16432,Q109796885,,Sono Motokatsu,,11
Q16433,,,Jiu Shi Tong Xia,,1
Q16434,,,Daughter of Jimyo-in Motosuke (Wife of Kuze Michika),,1
Q16435,,,Wu Tiao Wei Fan,,1
Q16436,,,Xiao Sen Lai Ji,,1
Q16437,,,Nijō Ieko,,1
Q16438,Q10943125,6000000012597044700;6000000012597044700,Empress Dowager Kaimei,lady-in-waiting Sadako,10
Q16439,Q230525,,Go-Sakuramachi,empress regnant of Japan (1740-1813),9
Q1644,,,21 Eupercaria,,5
Q16440,Q313864,6000000011626555953;6000000011626555953,Momozono,emperor of Japan,13
Q16441,Q497553,6000000012927264812;6000000012927264812,Biryu,Korean Baekje dynasty king from 304 to 344,10
Q16442,,,Tai A Lang Wang,,1
Q16443,Q28517375,,Jin Yufu,,7
Q16444,Q485584,,Cheomhae of Silla,Ruler of Korean state of Silla from 247 to 261,8
Q16445,Q28501059,,Imae,prince of silla dynasty,8
Q16446,Q28501058,,Seok Goljon,,8
Q16447,Q28503749,,Q28503749,,8
Q16448,Q496614,,Sok Naehae,King of Korean Silla dynasty from 196 to 230,9
Q16449,Q5368339,,Sok Uro,,9
Q1645,,,19 Eupercaria,,5
Q16450,Q496697,,Heulhae,the king of the Silla dynasty of Korea,9
Q16451,Q485627,,Girim of Silla,King of Silla,7
Q16452,Q84764619,,Q84764619,,6
Q16453,Q12589365,,Kim Hyoyang,,8
Q16454,Q16163533,,Queen Gyeongsu,,7
Q16455,Q84688880,,Phu nhân Sammo,,6
Q16456,Q496772,,Hyegong of Silla,ruler of Silla,10
Q16457,Q491122,,Chwihui of Geumgwan Gaya,Ruler of Gaya,8
Q16458,,,Kim Chuwŏn,,1
Q16459,Q9700,6000000075059949348;6000000075059949348,Emperor Gaozu of Tang,Founding emperor of the Tang Dynasty (566-635) (r. 618–626),13
Q1646,,,Lobotiformes (tripletails),,8
Q16460,Q9701,6000000075061209887;6000000007915729523;6000000075061209887;6000000007915729523,Emperor Taizong of Tang,Chinese emperor of the Tang Dynasty (598-649) (r. 626-649),13
Q16461,Q10877398,,Danyang,daughter of emperor Gaozu,6
Q16462,Q10878912,,Jiujiang,daughter of emperor Gaozu,6
Q16463,Q10905008,,Qianjin,daughter of emperor Gaozu,6
Q16464,Q10908057,,Nanchang,daughter of emperor Gaozu,6
Q16465,Q10946662,,Anping,daughter of emperor Gaozu,6
Q16466,Q11060429,,Changle,daughter of emperor Gaozu,8
Q16467,Q711427,6000000075061025854;6000000075061025854,Princess Pingyang,Chinese princess,13
Q16468,Q11064905,,Luling,daughter of emperor Gaozu,6
Q16469,Q11496708,,Fangling,daughter of emperor Gaozu,9
Q1647,,,Spariformes,,8
Q16470,Q11152626,,Li Chengxia,daughter of emperor Gaozu,7
Q16471,Q11111831,6000000075061024836;6000000075061024836,Guiyang,daughter of emperor Gaozu,10
Q16472,Q16603543,,Zhending,daughter of emperor Gaozu,7
Q16473,Q16603582,,Linhai,daughter of emperor Gaozu,6
Q16474,Q15951700,,Wanchun,daughter of emperor Gaozu,7
Q16475,Q15955551,,Hengyang,daughter of emperor Gaozu,7
Q16476,Q16603624,,Xiangyang,daughter of emperor Gaozu,6
Q16477,Q16603689,,Changsha,eldest daughter of emperor Gaozu,8
Q16478,Q16603735,,Guantao,daughter of emperor Gaozu,6
Q16479,Q11669188,,Gaomi,daughter of emperor Gaozu,10
Q1648,,,22 Eupercaria,,5
Q16480,Q11095406,,Li Yuanheng,son of emperor Gaozu,9
Q16481,Q11095408,6000000075061047827;6000000075061047827,Li Yuanze,son of emperor Gaozu,9
Q16482,Q699639,6000000075060976856;6000000075060976856,Li Yuanji,Chinese prince,12
Q16483,Q11095409,6000000075061053878;6000000129803912821;6000000075061053878;6000000129803912821,Li Yuanming,son of emperor Gaozu,10
Q16484,Q11095411,6000000075061041833;6000000075061041833,Li Yuanjia,son of emperor Gaozu (619-688),11
Q16485,Q10975505,6000000075061150883;6000000075061150883,Li Yuanying,son of emperor Gaozu,9
Q16486,Q11095417,6000000075060939894;6000000075060939894,Li Yuanqing,son of emperor Gaozu,10
Q16487,Q10332683,6000000075060910838;6000000075060910838,Li Yuanyi,son of Gaozu emperor,9
Q16488,Q11095420,,Li Yuanfang,son of emperor Gaozu,8
Q16489,Q11095421,,Li Yuanchang,son of emperor Gaozu,8
Q1649,,,Siganidae (rabbitfishes),,8
Q16490,Q11095423,,Li Yuanjing,son of emperor Gaozu,9
Q16491,Q11095425,6000000075060491026;6000000075060491026,Li Yuanxiao,son of emperor Gaozu,8
Q16492,Q11095431,6000000075061100883;6000000075061100883,Li Yuanxiang,son of emperor Gaozu,11
Q16493,Q11095432,6000000075060556084;6000000075060556084,Li Yuanli,son of emperor Gaozu,10
Q16494,Q11095437,6000000075060953885;6000000075060953885,Li Yuanyu,son of emperor Gaozu,11
Q16495,Q11095439,6000000075060831919;6000000075060831919,Li Yuangui,son of emperor Gaozu,10
Q16496,Q711674,,Li Jiancheng,crown prince of the Tang Dynasty in China (589-626),10
Q16497,Q11096905,,Li Zhiyun,son of emperor Gaozu,9
Q16498,Q4308304,,Li Xuanba,son of emperor Gaozu,9
Q16499,Q11098320,6000000075059722174;6000000075059722174,Li Lingkui,son of emperor Gaozu,11
Q1650,,,20 Eupercaria,,5
Q16500,Q65803435,,Liu Shi,daughter of Liu De Wei,11
Q16501,Q45475056,6000000075061083837;6000000075061083837,Li Yu,Tang dynasty person CBDB = 188007,8
Q16502,Q45475502,6000000075061103821;6000000075061103821,Li Maorong,Tang dynasty person CBDB = 188017,9
Q16503,Q45475565,6000000075060894930;6000000075060894930,Li Yaochen,Tang dynasty person CBDB = 188019,9
Q16504,Q45475819,6000000075060354066;6000000075060354066,Li Shunchen,Tang dynasty person CBDB = 188023,8
Q16505,Q45509606,6000000075061056830;6000000075061056830,Li Yi,Tang dynasty person CBDB = 162588,9
Q16506,Q45618627,,Li Ji,"person, CBDB = 143323",10
Q16507,,,He Qi Zhi Cheng,,1
Q16508,Q97613637,,Haji no Iwabi,,7
Q16509,,,daughter of Tsukinowa Iesuke (wife of Matsuki Munetsugu),,1
Q1651,,,24 Eupercaria,,5
Q16510,,,Song Mu Zong Gang,,1
Q16511,,,Xi Da Lu Long Fu,,1
Q16512,,,Shijō Takamori (10th generation),,1
Q16513,,,Xiao Zao Chuan Shi Yi,,1
Q16514,,,Xiao Zao Chuan Ze Ping,,1
Q16515,,,Li Yu Shi Chun,,1
Q16516,Q11541204,,Kusunoki Masatoyo,,6
Q16517,Q11541197,,Kusunoki Masasue,,8
Q16518,Q11380655,,Iga no Tsubone,,11
Q16519,Q11541195,,Kusunoki Masakatsu,,12
Q1652,,,23 Eupercaria,,5
Q16520,Q11541194,,Kusunoki Masamoto,,7
Q16521,Q11541200,,Kusunoki Masahide,samurai,8
Q16522,,,Jin Tian Zheng Xin,,1
Q16523,,,Chi Tian Jia Zheng,,1
Q16524,,,Gao Cang Yong Zi,,1
Q16525,,,Gao Cang Yong Ji,,1
Q16526,Q11359209,,Uesugi Tomomasa,samurai of the early-Sengoku period,7
Q16527,,,Shang Shan Xian Fang,,1
Q16528,Q11356601,,Miura Takahira,,9
Q16529,,,daughter of Uesugi Mochitomo (wife of Uesugi Noritada),,1
Q1653,,,"Priacanthiformes (bigeyes, bandfishes)",,8
Q16530,Q11359153,,Uesugi Sadamasa,,9
Q16531,,,daughter of Uesugi Mochitomo (wife of Kira Shigetaka),,1
Q16532,,,daughter of Uesugi Mochisada (second wife of Imagawa Norimasa),,1
Q16533,,,Jin Chuan Fan Qing,,1
Q16534,Q11359189,,Uesugi Fusasada,,8
Q16535,,,Shang Shan Fang Shi,,1
Q16536,Q11359192,,Uesugi Fusatomo,,7
Q16537,Q11359174,,Uesugi Noritada,,8
Q16538,Q11359193,,Uesugi Fusaaki,military commander and a shugo daimyo in the middle of the Muromachi period. Muromachi Shogunate Kanto Kanrei. The 10th generation of the Yamauchi Uesugi family. The second son of Norimi Uesugi. Shosuke Hyōbu,9
Q16539,,,Zhou Qing (Son of Uesugi Norizane),,1
Q1654,,,Scatophagidae (scats),,8
Q16540,,,Daughter of Uesugi Norizane? (Wife of Uesugi Akisada),,1
Q16541,,,Zuo Zhu Yuan Ji,,1
Q16542,,,Daughter of Satake Yoshito (Wife of Yuki Mitsuhisa),,1
Q16543,Q11383423,,Satake Yoshitoshi,,9
Q16544,Q106806616,,Satake Sanesada,military commander in the middle of the Muromachi period. Yoshito Satake's second son. His son was Yoshitaka Satake,7
Q16545,,,Hu Cun Yi Wei,,1
Q16546,,,Yi Se Zheng Xi,,1
Q16547,Q11642958,,Nasu Sukeyuki,,8
Q16548,,,Na Xu Shi Zi,,1
Q16549,,,Gao Zhong Shi,,1
Q1655,,,Caproiformes (boarfishes),,8
Q16550,,,Gao Shi Xing,,1
Q16551,Q11467630,,Yamana Toyoyuki,,7
Q16552,,,Yamana Toyōji,,1
Q16553,Q119341174,,Yamana Toyoyasu,,6
Q16554,,,Shan Ming Chang Li,,1
Q16555,,,Shan Ming Zhi Li,,1
Q16556,Q11500865,,Shiba Yoshikado,,9
Q16557,Q2890348,,Rokkaku Takayori,Japanese daimyō,9
Q16558,Q11392543,,Ujitsuna Rokkaku,,10
Q16559,Q11414266,,Kira Yoshifuji,,6
Q1656,,,25 Eupercaria,,5
Q16560,,,Ōuchi Norihiro,,1
Q16561,,,Ōuchi Masahiro,,1
Q16562,Q740354,,Hosokawa Katsumoto,daimyo,11
Q16563,Q5365082,,Hosokawa Masamoto,daimyo,10
Q16564,,,Xiang Ma Xian Yin,,1
Q16565,,,Yūki Ujitomo,,1
Q16566,,,Yūki Ujihiro,,1
Q16567,Q11383467,,Satake Yoshikiyo,,9
Q16568,Q11266411,,Iwaki Shigetaka,,10
Q16569,Q6203781,,Tamura Yoshiaki,Daimyo of the Sengoku period,10
Q1657,,,Lophiiformes (anglerfishes),,8
Q16570,,,Na Xu Zheng Zi,,1
Q16571,Q11642987,,Nasu Takasuke,,9
Q16572,,,Zuo Zhu Yi Li,,1
Q16573,,,Daughter of Oda Seiji (Wife of Satake Yoshiatsu),,1
Q16574,Q11383447,,Satake Yoshiaki,,10
Q16575,,,Xiao Ye Qi Yi Chang,,1
Q16576,,,Daughter of Uruno Yoshimoto (Wife of Ozeki Takamasu),,1
Q16578,,,Ashikaga Haruōmaru,,1
Q16579,Q21019758,,Ashikaga Yasuoumaru,,7
Q1658,,,"Tetraodontiformes (pufferfishes, triggerfishes, etc.)",,8
Q16580,Q11500869,,Shiba Yoshitoyo,,8
Q16581,Q11500862,,Shiba Yoshitake,,9
Q16582,,,Si Bo Quan Jiao,,1
Q16583,,,Shibui Chuan Yi Jing,,1
Q16584,,,Daughter of Ashina Akimori (Wife of Mogami Mitsunao),,1
Q16585,Q11515453,,Mogami Mitsuie,,9
Q16586,Q11392538,,Rokkaku Masayori,,6
Q16587,Q11392539,,Rokkaku Masataka,,8
Q16588,Q6151650,,Taga Takatada,samurai of the late Muromachi period,9
Q16589,,,Kyōgoku Mochitaka,,1
Q1659,,,Nn Bordzhigin-Majapahit,,1
Q16590,,,Kyōgoku Mochikiyo,,1
Q16591,,,Daughter of Kyogoku Takamitsu (wife of Hosokawa Mochiyuki),,1
Q16592,Q11464922,,Amago Kiyosada,,11
Q16593,Q11635723,,Akamatsu Norisuke,,7
Q16594,Q11635705,,Akamatsu Ujinori,,7
Q16595,,,Chi Song Xian Ze,,1
Q16596,,,Chi Song Lai Ze,,1
Q16597,Q11635709,,Akamatsu Mitsumasa,,8
Q16598,Q11516787,,Arima Mochiie,,8
Q16599,,,Xi Chuan Man Yuan,,1
Q1660,,,bhre kahuripan-majapahit brawijaya V,,7
Q16600,,,Xi Chuan Man Guo,,1
Q16601,,,Chi Song Shi Sheng,,1
Q16602,Q11635692,,Akamatsu Noriyasu,,8
Q16603,,,San Tiao Xi Bao Zi,,1
Q16604,,,Kujō Tanemichi,,1
Q16605,Q131731029,,Lady NN Kujo-no-Fujiwara,,7
Q16606,,,Shibui Chuan Man Xing,,1
Q16607,,,Shibukawa Yoshinaga (son of Shibukawa Yoshiyuki),,1
Q16608,,,Ben Guang Yuan Xiu Ben,,1
Q16609,,,Daughter of Hosokawa Mochikata (wife of Kira Yoshizane),,1
Q1661,,,Nn Bordzhigin,,1
Q16610,Q11414252,,Kira Yoshinobu,,7
Q16611,Q11414233,,Kira Mochisuke,,7
Q16612,,,Ji Liang Lai Gao,,1
Q16613,,,Xiao Lu Fan Lai,,1
Q16614,Q11353117,,Isshiki Masateru,,8
Q16615,Q11353153,,Isshiki Yoshinao,daimyo of the Muromachi period,7
Q16616,Q11353118,,Isshiki Norichika,,9
Q16617,Q11239114,,Matsudaira Nobumitsu,samurai of the Muromachi period; 3rd head of Matsudaira clan,11
Q16618,Q11239171,,Matsudaira Chikatada,[松平親忠] head of main line of Matsudaira clan (Anjō-Matsudaira clan) in the middle Muromachi period,9
Q16619,Q11449766,,Utsunomiya Mochitsuna,,8
Q1662,,,Rajasawardhana Sang Rajasawardhana Sang Sinagara,,9
Q16620,,,Yu Du Gong Deng Gang,,1
Q16621,Q11406723,,Chiba Tanenobu,Japanese military commander,8
Q16623,Q11405982,,Chiba Sanetane,,9
Q16625,Q11405976,,Chiba Noritane,,9
Q16626,,,Shao Er Zhi Zi,,1
Q16627,,,Shao Er Dong Zi,,1
Q16628,,,Hai Ye Zhong Dao,,1
Q16629,,,Zi Ye Zhi Jia,,1
Q1663,,,Bordzhigin,,1
Q16630,Q112058232,,daughter of Norihiro Ouchi,wife of Ōtomo Masachika,6
Q16631,,,Daughter of Kino Chikanori (wife of Otomo Chikaharu),,1
Q16632,,,Ōtomo Yoshinaga,,1
Q16633,,,Ōuchi Shigehiro,,1
Q16634,,,Mochiyo Ōuchi,,1
Q16635,,,Ōuchi Norisuke,,1
Q16636,,,Member of the Sanjo clan (mother of Ouchi Morimi),,1
Q16637,,,Ōuchi Noriyuki,,1
Q16638,,,Da Nei Man Shi,,1
Q16639,,,Fang He Cheng Gao,,1
Q1664,,,Mandan Bordzhigin,,1
Q16640,,,Daughter of Utsunomiya Mochitsuna (wife of Haga Shigetaka),,1
Q16641,,,Daughter of Uesugi Fusaaki (second wife of Utsunomiya Masatsuna),,1
Q16642,,,Wu Mao Jian Gang,,1
Q16643,Q11428921,,Shionoya Yoshitaka,,9
Q16644,Q11463123,,Oda Shigeharu,,9
Q16645,,,Jie Cheng Zheng Zhao,,1
Q16646,,,Nan Lu Yuan,,1
Q16647,Q11449719,,Utsunomiya Kunitsuna,,10
Q16648,,,Yūki Tomokatsu,,1
Q16649,,,Yi Zi Sheng Qing,,1
Q1665,,,Brawijaya I Kertawijaya or Bhre Tumapel III Majapahit 1447-1451,,14
Q16650,Q11603874,,Yanada Mochisuke,military commander,9
Q16651,,,Daughter of Mariya Nobukatsu (wife of Yanada Masasuke),,1
Q16652,,,Yanada Mochisuke (Azuchi-Momoyama period),,1
Q16653,Q11353137,,Isshiki Naotomo,Japanese painter (1526-1597),8
Q16655,Q11379127,,Ise Sadakuni,,10
Q16656,Q11671720,,Takahashi Takatane,Japanese military commander,11
Q16657,Q18337218,,Takahashi Ujitaka,Japanese military commander,10
Q16658,,,Xiao Li Yuan Chi Qing,,1
Q16659,,,Xiao Li Yuan Shang Qing,,1
Q1666,,,Wikramawardhana (Maharaja Empayar Majapahit) Bhre Mataram,,9
Q16660,,,Ōta Sukeyasu,,1
Q16661,,,Ōta Kagesuke,,1
Q16662,,,Hosshōin,,1
Q16663,,,Ōta Shigemasa,,1
Q16664,,,Fu Dao Zheng Cheng,,1
Q16665,,,Hōjō Tsunafusa,,1
Q16666,,,Jokoin-den (wife of Toyama Hayatosa),,1
Q16667,,,Ji Liang Cheng Gao,,1
Q16668,Q11376947,,Imagawa Sadanobu,daimyo of the mid-Muromachi period,7
Q16669,,,Lai Ming Xin Hui,,1
Q1667,,,Togrul Bordzhigin,,1
Q16670,,,Wu Tian Yuan Guang Noniang  (jiu Wo Qing Tong Nozheng Shi ),,1
Q16671,,,daughter of Kamoi Hideaki (wife of Kuga Harumichi),,1
Q16672,Q11369383,,Koga Michikata,,10
Q16673,,,Yan Cang Ju Yao,,1
Q16674,,,Jiu Wo San Xiu,,1
