Primary_QID,Secondary_QID,Primary_Name,Secondary_Name,Similarity,Reason,Primary_Properties,Secondary_Properties,Action,Status
Q62540,Q80082,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,11,MERGE,PENDING
Q62540,Q80088,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,11,MERGE,PENDING
Q62540,Q80094,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,9,MERGE,PENDING
Q62540,Q80097,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,10,MERGE,PENDING
Q62549,Q62546,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,10,9,MERGE,PENDING
Q62546,Q80076,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,9,9,MERGE,PENDING
Q80079,Q62546,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,9,MERGE,PENDING
Q80082,Q62546,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,9,MERGE,PENDING
Q80088,Q62546,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,9,MERGE,PENDING
Q62546,Q80094,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,9,9,MERGE,PENDING
Q80097,Q62546,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,10,9,MERGE,PENDING
Q62549,Q80076,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,10,9,MERGE,PENDING
Q80079,Q62549,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,10,MERGE,PENDING
Q80082,Q62549,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,10,MERGE,PENDING
Q80088,Q62549,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,10,MERGE,PENDING
Q62549,Q80094,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,10,9,MERGE,PENDING
Q62549,Q80097,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,10,10,MERGE,PENDING
Q80079,Q80076,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,9,MERGE,PENDING
Q80082,Q80076,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,9,MERGE,PENDING
Q80088,Q80076,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,9,MERGE,PENDING
Q80076,Q80094,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,9,9,MERGE,PENDING
Q80097,Q80076,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,10,9,MERGE,PENDING
Q80079,Q80082,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,11,MERGE,PENDING
Q80079,Q80088,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,11,MERGE,PENDING
Q80079,Q80094,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,9,MERGE,PENDING
Q80079,Q80097,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,10,MERGE,PENDING
Q80082,Q80088,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,11,MERGE,PENDING
Q80082,Q80094,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,9,MERGE,PENDING
Q80082,Q80097,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,10,MERGE,PENDING
Q80088,Q80094,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,9,MERGE,PENDING
Q80088,Q80097,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,11,10,MERGE,PENDING
Q80097,Q80094,Great Descendant  Great Descendant,Great Descendant  Great Descendant,1.000,name_similarity,10,9,MERGE,PENDING
Q1220,Q1228,Great Descendant Great Descendant,Great Descendant Great Descendant,1.000,name_similarity,6,6,MERGE,PENDING
Q152997,Q1257,Home Person Home Person,Home Person Home Person,1.000,name_similarity,8,6,MERGE,PENDING
Q152998,Q1285,Horus Parallel Generation 62,Horus Parallel Generation 62,1.000,name_similarity,7,5,MERGE,PENDING
Q153144,Q1530,6 Percomorpha,6 Percomorpha,1.000,name_similarity,7,5,MERGE,PENDING
Q153053,Q1343,Zidanta II King of the Hittites,Zidanta II King of the Hittites,1.000,name_similarity,8,6,MERGE,PENDING
Q153054,Q1346,Ammuna King of the Hittites,Ammuna King of the Hittites,1.000,name_similarity,8,6,MERGE,PENDING
Q153055,Q1347,Ḫuzziya I King of the Hittites,Ḫuzziya I King of the Hittites,1.000,name_similarity,7,1,MERGE,PENDING
Q153056,Q1348,[...]ša\ta daughter of Hantili I,[...]ša\ta daughter of Hantili I,1.000,name_similarity,7,5,MERGE,PENDING
Q153057,Q1349,Ḫarapšili Princess and Queen consort of the Hittites,Ḫarapšili Princess and Queen consort of the Hittites,1.000,name_similarity,7,1,MERGE,PENDING
Q153058,Q1351,Mursili I King of the Hittites,Mursili I King of the Hittites,1.000,name_similarity,7,6,MERGE,PENDING
Q153059,Q1352,Ḫattušili I King of the Hittites,Ḫattušili I King of the Hittites,1.000,name_similarity,8,1,MERGE,PENDING
Q32296,Q15306,Iwaki Tsunetaka,Iwaki Tsunetaka,1.000,name_similarity,12,8,MERGE,PENDING
Q153062,Q1355,Tawananna King of the Hittites,Tawananna King of the Hittites,1.000,name_similarity,6,5,MERGE,PENDING
Q153063,Q1356,Tudhaliya First King of the Hittites,Tudhaliya First King of the Hittites,1.000,name_similarity,7,5,MERGE,PENDING
Q153064,Q1357,Hittite Ancestors Generation 1,Hittite Ancestors Generation 1,1.000,name_similarity,7,5,MERGE,PENDING
Q153065,Q1358,Hittite Ancestors Generation 2,Hittite Ancestors Generation 2,1.000,name_similarity,7,5,MERGE,PENDING
Q153066,Q1359,Hittite Ancestors Generation 3,Hittite Ancestors Generation 3,1.000,name_similarity,7,5,MERGE,PENDING
Q153067,Q1360,Hittite Ancestors Generation 4,Hittite Ancestors Generation 4,1.000,name_similarity,7,5,MERGE,PENDING
Q153068,Q1361,Hittite Ancestors Generation 5,Hittite Ancestors Generation 5,1.000,name_similarity,7,5,MERGE,PENDING
Q153069,Q1362,Hittite Ancestors Generation 6,Hittite Ancestors Generation 6,1.000,name_similarity,7,5,MERGE,PENDING
Q153070,Q1363,Hittite Ancestors Generation 7,Hittite Ancestors Generation 7,1.000,name_similarity,7,5,MERGE,PENDING
Q153071,Q1364,Hittite Ancestors Generation 8,Hittite Ancestors Generation 8,1.000,name_similarity,7,5,MERGE,PENDING
Q153072,Q1365,Hittite Ancestors Generation 9,Hittite Ancestors Generation 9,1.000,name_similarity,7,5,MERGE,PENDING
Q153073,Q1366,Hittite Ancestors Generation 10,Hittite Ancestors Generation 10,1.000,name_similarity,7,5,MERGE,PENDING
Q153074,Q1367,Hittite Ancestors Generation 11,Hittite Ancestors Generation 11,1.000,name_similarity,7,5,MERGE,PENDING
Q153075,Q1369,Hittite Ancestors Generation 12,Hittite Ancestors Generation 12,1.000,name_similarity,7,5,MERGE,PENDING
Q153076,Q1370,Hittite Ancestors Generation 13,Hittite Ancestors Generation 13,1.000,name_similarity,7,5,MERGE,PENDING
Q153077,Q1371,Hittite Ancestors Generation 14,Hittite Ancestors Generation 14,1.000,name_similarity,7,5,MERGE,PENDING
Q153078,Q1372,Hittite Ancestors Generation 15,Hittite Ancestors Generation 15,1.000,name_similarity,7,5,MERGE,PENDING
Q153079,Q1373,Hittite Ancestors Generation 16,Hittite Ancestors Generation 16,1.000,name_similarity,7,5,MERGE,PENDING
Q153080,Q1374,Hittite Ancestors Generation 17,Hittite Ancestors Generation 17,1.000,name_similarity,7,5,MERGE,PENDING
Q153081,Q1375,Hittite Ancestors Generation 18,Hittite Ancestors Generation 18,1.000,name_similarity,7,5,MERGE,PENDING
Q153082,Q1376,Hittite Ancestors Generation 19,Hittite Ancestors Generation 19,1.000,name_similarity,7,5,MERGE,PENDING
Q153083,Q1377,Hittite Ancestors Generation 20,Hittite Ancestors Generation 20,1.000,name_similarity,7,5,MERGE,PENDING
Q153084,Q1378,Hittite Ancestors Generation 21,Hittite Ancestors Generation 21,1.000,name_similarity,7,5,MERGE,PENDING
Q153085,Q1379,Hittite Ancestors Generation 22,Hittite Ancestors Generation 22,1.000,name_similarity,7,5,MERGE,PENDING
Q153086,Q1380,Hittite Ancestors Generation 23,Hittite Ancestors Generation 23,1.000,name_similarity,7,5,MERGE,PENDING
Q153087,Q1381,Hittite Ancestors Generation 24,Hittite Ancestors Generation 24,1.000,name_similarity,7,5,MERGE,PENDING
Q153088,Q1382,Hittite Ancestors Generation 25,Hittite Ancestors Generation 25,1.000,name_similarity,7,5,MERGE,PENDING
Q153089,Q1383,Hittite Ancestors Generation 26,Hittite Ancestors Generation 26,1.000,name_similarity,7,5,MERGE,PENDING
Q153090,Q1384,Hittite Ancestors Generation 27,Hittite Ancestors Generation 27,1.000,name_similarity,7,5,MERGE,PENDING
Q153091,Q1385,Hittite Ancestors Generation 28,Hittite Ancestors Generation 28,1.000,name_similarity,7,5,MERGE,PENDING
Q153092,Q1386,Hittite Ancestors Generation 29,Hittite Ancestors Generation 29,1.000,name_similarity,7,5,MERGE,PENDING
Q153093,Q1387,Hittite Ancestors Generation 30,Hittite Ancestors Generation 30,1.000,name_similarity,7,5,MERGE,PENDING
Q153094,Q1388,Hittite Ancestors Generation 31,Hittite Ancestors Generation 31,1.000,name_similarity,7,5,MERGE,PENDING
Q153095,Q1389,Hittite Ancestors Generation 32,Hittite Ancestors Generation 32,1.000,name_similarity,7,5,MERGE,PENDING
Q153096,Q1390,Hittite Ancestors Generation 33,Hittite Ancestors Generation 33,1.000,name_similarity,7,5,MERGE,PENDING
Q153097,Q1391,Hittite Ancestors Generation 34,Hittite Ancestors Generation 34,1.000,name_similarity,7,5,MERGE,PENDING
Q153098,Q1392,Hittite Ancestors Generation 35,Hittite Ancestors Generation 35,1.000,name_similarity,7,5,MERGE,PENDING
Q153099,Q1393,Hittite Ancestors Generation 36,Hittite Ancestors Generation 36,1.000,name_similarity,7,5,MERGE,PENDING
Q153145,Q1531,5 Percomorpha,5 Percomorpha,1.000,name_similarity,7,5,MERGE,PENDING
Q153100,Q1394,Hittite Ancestors Generation 37,Hittite Ancestors Generation 37,1.000,name_similarity,7,5,MERGE,PENDING
Q153101,Q1395,Hittite Ancestors Generation 38,Hittite Ancestors Generation 38,1.000,name_similarity,7,5,MERGE,PENDING
Q153102,Q1396,Hittite Ancestors Generation 39,Hittite Ancestors Generation 39,1.000,name_similarity,7,5,MERGE,PENDING
Q153103,Q1397,Hittite Ancestors Generation 40,Hittite Ancestors Generation 40,1.000,name_similarity,7,5,MERGE,PENDING
Q153104,Q1398,Hittite Ancestors Generation 41,Hittite Ancestors Generation 41,1.000,name_similarity,7,5,MERGE,PENDING
Q153105,Q1399,Hittite Ancestors Generation 42,Hittite Ancestors Generation 42,1.000,name_similarity,7,5,MERGE,PENDING
Q153106,Q1400,Hittite Ancestors Generation 43,Hittite Ancestors Generation 43,1.000,name_similarity,7,5,MERGE,PENDING
Q153107,Q1401,Hittite Ancestors Generation 44,Hittite Ancestors Generation 44,1.000,name_similarity,7,5,MERGE,PENDING
Q153108,Q1402,Hittite Ancestors Generation 45,Hittite Ancestors Generation 45,1.000,name_similarity,7,5,MERGE,PENDING
Q153109,Q1403,Hittite Ancestors Generation 46,Hittite Ancestors Generation 46,1.000,name_similarity,7,5,MERGE,PENDING
Q153110,Q1404,Hittite Ancestors Generation 47,Hittite Ancestors Generation 47,1.000,name_similarity,7,5,MERGE,PENDING
Q153111,Q1405,Horus parallel among Hittite Ancestors Generation 48,Horus parallel among Hittite Ancestors Generation 48,1.000,name_similarity,7,5,MERGE,PENDING
Q153112,Q1406,Hittite Ancestors Generation 49,Hittite Ancestors Generation 49,1.000,name_similarity,7,5,MERGE,PENDING
Q153113,Q1407,Hittite Ancestors Generation 50,Hittite Ancestors Generation 50,1.000,name_similarity,7,5,MERGE,PENDING
Q153114,Q1408,Hittite Ancestors Generation 51,Hittite Ancestors Generation 51,1.000,name_similarity,7,5,MERGE,PENDING
Q153115,Q1414,1 Stars,1 Stars,1.000,name_similarity,7,5,MERGE,PENDING
Q62677,Q80225,1  Stars,1  Stars,1.000,name_similarity,9,9,MERGE,PENDING
Q153116,Q1415,2 Stars,2 Stars,1.000,name_similarity,8,6,MERGE,PENDING
Q153117,Q1417,3 Stars,3 Stars,1.000,name_similarity,8,6,MERGE,PENDING
Q153118,Q1418,4 Stars,4 Stars,1.000,name_similarity,8,6,MERGE,PENDING
Q153119,Q1419,5 Stars,5 Stars,1.000,name_similarity,8,6,MERGE,PENDING
Q153120,Q1420,6 Stars,6 Stars,1.000,name_similarity,8,6,MERGE,PENDING
Q153121,Q1421,7 Stars,7 Stars,1.000,name_similarity,8,6,MERGE,PENDING
Q153122,Q1422,Barnacus Barnacles,Barnacus Barnacles,1.000,name_similarity,7,6,MERGE,PENDING
Q153123,Q1423,Parasites Internal parasites of Echinoderms,Parasites Internal parasites of Echinoderms,1.000,name_similarity,7,6,MERGE,PENDING
Q153125,Q1449,Termitus Termites,Termitus Termites,1.000,name_similarity,7,6,MERGE,PENDING
Q153126,Q1454,Bichir Polypterus bichir,Bichir Polypterus bichir,1.000,name_similarity,7,6,MERGE,PENDING
Q153127,Q1455,Reedfish Erpetoichthys calabaricus,Reedfish Erpetoichthys calabaricus,1.000,name_similarity,7,6,MERGE,PENDING
Q153128,Q1464,Elopomorpha,Elopomorpha,1.000,name_similarity,7,7,MERGE,PENDING
Q1467,Q153130,Otocephala,Otocephala,1.000,name_similarity,8,7,MERGE,PENDING
Q153131,Q1480,Otophysa,Otophysa,1.000,name_similarity,7,7,MERGE,PENDING
Q39502,Q153133,Euteleostei,Euteleostei,1.000,name_similarity,8,7,MERGE,PENDING
Q4989,Q153133,Euteleostei,Euteleostei,1.000,name_similarity,10,7,MERGE,PENDING
Q61312,Q153133,Euteleostei,Euteleostei,1.000,name_similarity,8,7,MERGE,PENDING
Q4989,Q39502,Euteleostei,Euteleostei,1.000,name_similarity,10,8,MERGE,PENDING
Q39502,Q61312,Euteleostei,Euteleostei,1.000,name_similarity,8,8,MERGE,PENDING
Q4989,Q61312,Euteleostei,Euteleostei,1.000,name_similarity,10,8,MERGE,PENDING
Q153134,Q1492,1 Euteleostei,1 Euteleostei,1.000,name_similarity,7,5,MERGE,PENDING
Q1491,Q153135,Protacanthopterygii,Protacanthopterygii,1.000,name_similarity,8,7,MERGE,PENDING
Q153146,Q1534,4 Percomorpha,4 Percomorpha,1.000,name_similarity,7,5,MERGE,PENDING
Q153147,Q1538,3 Percomorpha,3 Percomorpha,1.000,name_similarity,7,5,MERGE,PENDING
Q153148,Q1539,1 Eupercaria,1 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153149,Q1540,2 Percomorpha,2 Percomorpha,1.000,name_similarity,7,5,MERGE,PENDING
Q153150,Q1541,1 Ovalentaria,1 Ovalentaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153151,Q1542,1 Percomorpha,1 Percomorpha,1.000,name_similarity,7,5,MERGE,PENDING
Q153152,Q153708,Carangaria,Carangaria,1.000,name_similarity,7,7,MERGE,PENDING
Q153152,Q153709,Carangaria,Carangaria,1.000,name_similarity,7,7,MERGE,PENDING
Q153152,Q153710,Carangaria,Carangaria,1.000,name_similarity,7,7,MERGE,PENDING
Q153152,Q153711,Carangaria,Carangaria,1.000,name_similarity,7,7,MERGE,PENDING
Q153152,Q153712,Carangaria,Carangaria,1.000,name_similarity,7,7,MERGE,PENDING
Q153152,Q1543,Carangaria,Carangaria,1.000,name_similarity,7,7,MERGE,PENDING
Q153708,Q153709,Carangaria,Carangaria,1.000,name_similarity,7,7,MERGE,PENDING
Q153708,Q153710,Carangaria,Carangaria,1.000,name_similarity,7,7,MERGE,PENDING
Q153708,Q153711,Carangaria,Carangaria,1.000,name_similarity,7,7,MERGE,PENDING
Q153708,Q153712,Carangaria,Carangaria,1.000,name_similarity,7,7,MERGE,PENDING
Q153708,Q1543,Carangaria,Carangaria,1.000,name_similarity,7,7,MERGE,PENDING
Q153709,Q153710,Carangaria,Carangaria,1.000,name_similarity,7,7,MERGE,PENDING
Q153709,Q153711,Carangaria,Carangaria,1.000,name_similarity,7,7,MERGE,PENDING
Q153709,Q153712,Carangaria,Carangaria,1.000,name_similarity,7,7,MERGE,PENDING
Q153709,Q1543,Carangaria,Carangaria,1.000,name_similarity,7,7,MERGE,PENDING
Q153710,Q153711,Carangaria,Carangaria,1.000,name_similarity,7,7,MERGE,PENDING
Q153710,Q153712,Carangaria,Carangaria,1.000,name_similarity,7,7,MERGE,PENDING
Q153710,Q1543,Carangaria,Carangaria,1.000,name_similarity,7,7,MERGE,PENDING
Q153711,Q153712,Carangaria,Carangaria,1.000,name_similarity,7,7,MERGE,PENDING
Q153711,Q1543,Carangaria,Carangaria,1.000,name_similarity,7,7,MERGE,PENDING
Q153712,Q1543,Carangaria,Carangaria,1.000,name_similarity,7,7,MERGE,PENDING
Q153155,Q1553,"Part of ""Carangiformes""","Part of ""Carangiformes""",1.000,name_similarity,7,7,MERGE,PENDING
Q153163,Q1574,2 Ovalentaria,2 Ovalentaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153164,Q1578,Atherinomorphae,Atherinomorphae,1.000,name_similarity,7,7,MERGE,PENDING
Q153165,Q1583,3 Ovalentaria,3 Ovalentaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153166,Q1585,4 Ovalentaria,4 Ovalentaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153167,Q1586,5 Ovalentaria,5 Ovalentaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153168,Q1589,6 Ovalentaria,6 Ovalentaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153169,Q1590,7 Ovalentaria,7 Ovalentaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153170,Q1593,8 Ovalentaria,8 Ovalentaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153171,Q1596,9 Ovalentaria,9 Ovalentaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153172,Q1598,10 Ovalentaria,10 Ovalentaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153173,Q1600,11 Ovalentaria,11 Ovalentaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153174,Q1602,12 Ovalentaria,12 Ovalentaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153175,Q1608,2 Eupercaria,2 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153176,Q1609,3 Eupercaria,3 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153177,Q1611,4 Eupercaria,4 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153178,Q1614,5 Eupercaria,5 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153179,Q1615,6 Eupercaria,6 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153180,Q1617,7 Eupercaria,7 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153181,Q1620,8 Eupercaria,8 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153182,Q1621,9 Eupercaria,9 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153183,Q1624,10 Eupercaria,10 Eupercaria,1.000,name_similarity,7,5,MERGE,PENDING
Q153200,Q68117,Борджигин,Борджигин,1.000,name_similarity,9,8,MERGE,PENDING
Q153200,Q68159,Борджигин,Борджигин,1.000,name_similarity,9,8,MERGE,PENDING
Q153200,Q68216,Борджигин,Борджигин,1.000,name_similarity,9,7,MERGE,PENDING
Q153200,Q67842,Борджигин,Борджигин,1.000,name_similarity,9,8,MERGE,PENDING
Q153200,Q67848,Борджигин,Борджигин,1.000,name_similarity,9,8,MERGE,PENDING
Q153200,Q67861,Борджигин,Борджигин,1.000,name_similarity,9,8,MERGE,PENDING
Q153200,Q67881,Борджигин,Борджигин,1.000,name_similarity,9,8,MERGE,PENDING
Q153200,Q67920,Борджигин,Борджигин,1.000,name_similarity,9,8,MERGE,PENDING
Q153200,Q67963,Борджигин,Борджигин,1.000,name_similarity,9,8,MERGE,PENDING
Q153200,Q67999,Борджигин,Борджигин,1.000,name_similarity,9,8,MERGE,PENDING
Q153200,Q68036,Борджигин,Борджигин,1.000,name_similarity,9,8,MERGE,PENDING
Q153200,Q68075,Борджигин,Борджигин,1.000,name_similarity,9,8,MERGE,PENDING
Q68117,Q68159,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q68117,Q68216,Борджигин,Борджигин,1.000,name_similarity,8,7,MERGE,PENDING
Q68117,Q67842,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q68117,Q67848,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q68117,Q67861,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q68117,Q67881,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q68117,Q67920,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q68117,Q67963,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q68117,Q67999,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q68117,Q68036,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q68117,Q68075,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q68159,Q68216,Борджигин,Борджигин,1.000,name_similarity,8,7,MERGE,PENDING
Q68159,Q67842,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q68159,Q67848,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q68159,Q67861,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q68159,Q67881,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q68159,Q67920,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q68159,Q67963,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q68159,Q67999,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q68159,Q68036,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q68159,Q68075,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67842,Q68216,Борджигин,Борджигин,1.000,name_similarity,8,7,MERGE,PENDING
Q67848,Q68216,Борджигин,Борджигин,1.000,name_similarity,8,7,MERGE,PENDING
Q67861,Q68216,Борджигин,Борджигин,1.000,name_similarity,8,7,MERGE,PENDING
Q67881,Q68216,Борджигин,Борджигин,1.000,name_similarity,8,7,MERGE,PENDING
Q67920,Q68216,Борджигин,Борджигин,1.000,name_similarity,8,7,MERGE,PENDING
Q67963,Q68216,Борджигин,Борджигин,1.000,name_similarity,8,7,MERGE,PENDING
Q67999,Q68216,Борджигин,Борджигин,1.000,name_similarity,8,7,MERGE,PENDING
Q68036,Q68216,Борджигин,Борджигин,1.000,name_similarity,8,7,MERGE,PENDING
Q68075,Q68216,Борджигин,Борджигин,1.000,name_similarity,8,7,MERGE,PENDING
Q67842,Q67848,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67842,Q67861,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67842,Q67881,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67842,Q67920,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67842,Q67963,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67842,Q67999,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67842,Q68036,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67842,Q68075,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67848,Q67861,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67848,Q67881,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67848,Q67920,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67848,Q67963,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67848,Q67999,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67848,Q68036,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67848,Q68075,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67861,Q67881,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67861,Q67920,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67861,Q67963,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67861,Q67999,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67861,Q68036,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67861,Q68075,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67881,Q67920,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67881,Q67963,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67881,Q67999,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67881,Q68036,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67881,Q68075,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67920,Q67963,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67920,Q67999,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67920,Q68036,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67920,Q68075,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67963,Q67999,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67963,Q68036,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67963,Q68075,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67999,Q68036,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q67999,Q68075,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q68036,Q68075,Борджигин,Борджигин,1.000,name_similarity,8,8,MERGE,PENDING
Q29482,Q15323,Kyōgoku Takanori,Kyōgoku Takanori,1.000,name_similarity,10,1,MERGE,PENDING
Q41756,Q15323,Kyōgoku Takanori,Kyōgoku Takanori,1.000,name_similarity,11,1,MERGE,PENDING
Q41756,Q29482,Kyōgoku Takanori,Kyōgoku Takanori,1.000,name_similarity,11,10,MERGE,PENDING
Q153490,Q2097,Prabha Āyu,Prabha Āyu,1.000,name_similarity,9,1,MERGE,PENDING
Q153491,Q2098,ĀYU Pururavas,ĀYU Pururavas,1.000,name_similarity,10,2,MERGE,PENDING
Q153493,Q2102,Queen Myrina the Conqueror Apoidea,Queen Myrina the Conqueror Apoidea,1.000,name_similarity,10,7,MERGE,PENDING
Q153494,Q2103,DHRUVA Uttanapāda,DHRUVA Uttanapāda,1.000,name_similarity,10,1,MERGE,PENDING
Q153495,Q2104,ILINA Tansu,ILINA Tansu,1.000,name_similarity,10,7,MERGE,PENDING
