GaianYear,GaianMonth,GaianDay,MonthName,GregorianDate,ISOYear,Weekday
9991,6,5,Taurus,0010-05-24 BC,-9,Friday
9991,6,6,Taurus,0010-05-25 BC,-9,Saturday
9991,6,7,Taurus,0010-05-26 BC,-9,Sunday
9991,6,8,Taurus,0010-05-27 BC,-9,Monday
9991,6,9,Taurus,0010-05-28 BC,-9,Tuesday
9991,6,10,Taurus,0010-05-29 BC,-9,Wednesday
9991,6,11,Taurus,0010-05-30 BC,-9,Thursday
9991,6,12,Taurus,0010-05-31 BC,-9,Friday
9991,6,13,Taurus,0010-06-01 BC,-9,Saturday
9991,6,14,Taurus,0010-06-02 BC,-9,Sunday
9991,6,15,Taurus,0010-06-03 BC,-9,Monday
9991,6,16,Taurus,0010-06-04 BC,-9,Tuesday
9991,6,17,Taurus,0010-06-05 BC,-9,Wednesday
9991,6,18,Taurus,0010-06-06 BC,-9,Thursday
9991,6,19,Taurus,0010-06-07 BC,-9,Friday
9991,6,20,Taurus,0010-06-08 BC,-9,Saturday
9991,6,21,Taurus,0010-06-09 BC,-9,Sunday
9991,6,22,Taurus,0010-06-10 BC,-9,Monday
9991,6,23,Taurus,0010-06-11 BC,-9,Tuesday
9991,6,24,Taurus,0010-06-12 BC,-9,Wednesday
9991,6,25,Taurus,0010-06-13 BC,-9,Thursday
9991,6,26,Taurus,0010-06-14 BC,-9,Friday
9991,6,27,Taurus,0010-06-15 BC,-9,Saturday
9991,6,28,Taurus,0010-06-16 BC,-9,Sunday
9991,7,1,Gemini,0010-06-17 BC,-9,Monday
9991,7,2,Gemini,0010-06-18 BC,-9,Tuesday
9991,7,3,Gemini,0010-06-19 BC,-9,Wednesday
9991,7,4,Gemini,0010-06-20 BC,-9,Thursday
9991,7,5,Gemini,0010-06-21 BC,-9,Friday
9991,7,6,Gemini,0010-06-22 BC,-9,Saturday
9991,7,7,Gemini,0010-06-23 BC,-9,Sunday
9991,7,8,Gemini,0010-06-24 BC,-9,Monday
9991,7,9,Gemini,0010-06-25 BC,-9,Tuesday
9991,7,10,Gemini,0010-06-26 BC,-9,Wednesday
9991,7,11,Gemini,0010-06-27 BC,-9,Thursday
9991,7,12,Gemini,0010-06-28 BC,-9,Friday
9991,7,13,Gemini,0010-06-29 BC,-9,Saturday
9991,7,14,Gemini,0010-06-30 BC,-9,Sunday
9991,7,15,Gemini,0010-07-01 BC,-9,Monday
9991,7,16,Gemini,0010-07-02 BC,-9,Tuesday
9991,7,17,Gemini,0010-07-03 BC,-9,Wednesday
9991,7,18,Gemini,0010-07-04 BC,-9,Thursday
9991,7,19,Gemini,0010-07-05 BC,-9,Friday
9991,7,20,Gemini,0010-07-06 BC,-9,Saturday
9991,7,21,Gemini,0010-07-07 BC,-9,Sunday
9991,7,22,Gemini,0010-07-08 BC,-9,Monday
9991,7,23,Gemini,0010-07-09 BC,-9,Tuesday
9991,7,24,Gemini,0010-07-10 BC,-9,Wednesday
9991,7,25,Gemini,0010-07-11 BC,-9,Thursday
9991,7,26,Gemini,0010-07-12 BC,-9,Friday
9991,7,27,Gemini,0010-07-13 BC,-9,Saturday
9991,7,28,Gemini,0010-07-14 BC,-9,Sunday
9991,8,1,Cancer,0010-07-15 BC,-9,Monday
9991,8,2,Cancer,0010-07-16 BC,-9,Tuesday
9991,8,3,Cancer,0010-07-17 BC,-9,Wednesday
9991,8,4,Cancer,0010-07-18 BC,-9,Thursday
9991,8,5,Cancer,0010-07-19 BC,-9,Friday
9991,8,6,Cancer,0010-07-20 BC,-9,Saturday
9991,8,7,Cancer,0010-07-21 BC,-9,Sunday
9991,8,8,Cancer,0010-07-22 BC,-9,Monday
9991,8,9,Cancer,0010-07-23 BC,-9,Tuesday
9991,8,10,Cancer,0010-07-24 BC,-9,Wednesday
