from_qid	to_qid
Q1540	Q1
Q1541	Q1
Q1542	Q1
Q1543	Q1
Q1547	Q1
Q1548	Q1
Q1550	Q1
Q1553	Q1
Q1554	Q1
Q1555	Q1
Q1560	Q1
Q1562	Q1
Q1563	Q1
Q1564	Q1
Q1569	Q1
Q1574	Q1
Q1578	Q1
Q1579	Q1
Q1583	Q1
Q1585	Q1
Q1586	Q1
Q1589	Q1
Q1590	Q1
Q1593	Q1
Q1596	Q1
Q1598	Q1
Q1600	Q1
Q1602	Q1
Q1608	Q1
Q1609	Q1
Q1611	Q1
Q1614	Q1
Q1615	Q1
Q1617	Q1
Q1620	Q1
Q1621	Q1
Q1624	Q1
Q1626	Q1
Q1627	Q1
Q1628	Q1
Q1631	Q1
Q1632	Q1
Q1635	Q1
Q1637	Q1
Q1639	Q1
Q1641	Q1
Q1644	Q1
Q1645	Q1
Q1648	Q1
Q1650	Q1
Q1651	Q1
Q1652	Q1
Q1656	Q1
Q1659	Q1
Q1660	Q1
Q1661	Q1
Q1662	Q1
Q1663	Q1
Q1664	Q1
Q1666	Q1
Q1667	Q1
Q1669	Q1
Q1671	Q1
Q1672	Q1
Q1677	Q1
Q1679	Q1
Q1682	Q1
Q1685	Q1
Q1686	Q1
Q1688	Q1
Q1690	Q1
Q1693	Q1
Q1694	Q1
Q1695	Q1
Q1697	Q1
Q1700	Q1
Q1701	Q1
Q1702	Q1
Q1704	Q1
Q1707	Q1
Q1708	Q1
Q1709	Q1
Q1710	Q1
Q1711	Q1
Q1714	Q1
Q1715	Q1
Q1716	Q1
Q1717	Q1
Q1718	Q1
Q1720	Q1
Q1721	Q1
Q1722	Q1
Q1723	Q1
Q1724	Q1
Q1725	Q1
Q1726	Q1
Q1727	Q1
Q1729	Q1
Q1731	Q1
Q1732	Q1
Q1733	Q1
Q1734	Q1
Q1735	Q1
Q1736	Q1
Q1738	Q1
Q1739	Q1
Q1740	Q1
Q1741	Q1
Q1742	Q1
Q1743	Q1
Q1744	Q1
Q1746	Q1
Q1748	Q1
Q1749	Q1
Q1750	Q1
Q1751	Q1
Q1752	Q1
Q1753	Q1
Q1754	Q1
Q1756	Q1
Q1758	Q1
Q1759	Q1
Q1760	Q1
Q1763	Q1
Q1764	Q1
Q1765	Q1
Q1767	Q1
Q1770	Q1
Q1773	Q1
Q1774	Q1
Q1776	Q1
Q1779	Q1
Q1782	Q1
Q1783	Q1
Q1785	Q1
Q1787	Q1
Q1790	Q1
Q1791	Q1
Q1793	Q1
Q1795	Q1
Q1798	Q1
Q1799	Q1
Q1800	Q1
Q1802	Q1
Q1804	Q1
Q1808	Q1
Q1809	Q1
Q1810	Q1
Q1812	Q1
Q1814	Q1
Q1817	Q1
Q1818	Q1
Q1819	Q1
Q1820	Q1
Q1822	Q1
Q1823	Q153303
Q1824	Q30687
Q1825	Q1
Q1826	Q153306
Q1828	Q1
Q1829	Q1
Q1830	Q1
Q1831	Q153310
Q1833	Q1
Q1834	Q1
Q1836	Q1
Q1839	Q1
Q1840	Q1
Q1841	Q1
Q1842	Q1
Q1843	Q1
Q1844	Q1
Q1845	Q153319
Q1846	Q153320
Q1847	Q1
Q1849	Q1
Q1850	Q1
Q1851	Q153324
Q1853	Q1
Q1854	Q1
Q1855	Q1
Q1857	Q153329
Q1858	Q1
Q1859	Q1
Q1860	Q153332
Q1863	Q1
Q1864	Q1
Q1865	Q1
Q1866	Q1
Q1867	Q1
Q1868	Q1
Q1869	Q1
Q1870	Q1
Q1871	Q153341
Q1872	Q153342
Q1873	Q153343
Q1874	Q1
Q1875	Q153345
Q1879	Q1
Q1880	Q1
Q1881	Q1
Q1882	Q1
Q1884	Q1
Q1885	Q1
Q1886	Q1
Q1887	Q1
Q1889	Q153354
Q1890	Q153355
Q1892	Q1
Q1894	Q153357
Q1895	Q153358
Q1896	Q153359
Q1897	Q153360
Q1898	Q1
Q1899	Q1
Q1900	Q1
Q1901	Q1
Q1902	Q1
Q1904	Q1
Q1905	Q153367
Q1907	Q153368
Q1909	Q153369
Q1912	Q153370
Q1913	Q153371
Q1914	Q153372
Q1915	Q153373
Q1917	Q1
Q1918	Q1
Q1919	Q1
Q1920	Q1
Q1921	Q1
Q1922	Q1
Q1923	Q153380
Q1925	Q153381
Q1926	Q153382
Q1929	Q1
Q1932	Q153383
Q1933	Q153384
Q1934	Q1
Q1935	Q1
Q1936	Q1
Q1937	Q1
Q1938	Q1
Q1940	Q1
Q1941	Q153390
Q1943	Q153392
Q1946	Q1
Q1947	Q153394
Q1948	Q153395
Q1949	Q1
Q1951	Q1
Q1953	Q1
Q1957	Q153399
Q1960	Q153400
Q1961	Q153401
Q1962	Q1
Q1963	Q1
Q1964	Q1
Q1965	Q153405
Q1966	Q153406
Q1967	Q1
Q1969	Q153408
Q1970	Q1
Q1971	Q1
Q1973	Q153411
Q1974	Q153412
Q1975	Q1
Q1976	Q1
Q1977	Q153415
Q1979	Q153416
Q1980	Q1
Q1981	Q1
Q1984	Q153420
Q1985	Q153421
Q1986	Q1
Q1987	Q1
Q1990	Q153424
Q1992	Q153425
Q1995	Q153426
Q1996	Q160585
Q1997	Q1
Q2000	Q153429
Q2002	Q153430
Q2003	Q153431
Q2005	Q153432
Q2006	Q153433
Q2007	Q153434
Q2008	Q1
Q2009	Q1
Q2011	Q1
Q2012	Q153438
Q2013	Q1
Q2014	Q153440
Q2016	Q153441
Q2017	Q160622
Q2022	Q153443
Q2023	Q153444
Q2024	Q153445
Q2025	Q153446
Q2026	Q153447
Q2028	Q153448
Q2029	Q153449
Q2030	Q153450
Q2036	Q153451
Q2037	Q153452
Q2038	Q153453
Q2039	Q1
Q2040	Q153455
Q2041	Q153456
Q2042	Q160682
Q2044	Q153458
Q2046	Q153459
Q2048	Q1
Q2049	Q1
Q2050	Q153462
Q2053	Q153463
Q2054	Q153464
Q2058	Q153465
Q2060	Q153466
Q2061	Q1
Q2062	Q153468
Q2063	Q1
Q2068	Q153470
Q2070	Q153471
Q2071	Q1
Q2072	Q153473
Q2077	Q153474
Q2078	Q1
Q2080	Q153476
Q2081	Q1
Q2082	Q1
Q2083	Q153479
Q2084	Q153480
Q2085	Q153481
Q2088	Q153482
Q2089	Q1
Q2090	Q153484
Q2091	Q1
Q2092	Q153486
Q2093	Q1
Q2094	Q153488
Q2096	Q153489
Q2097	Q153490
Q2099	Q1
Q2102	Q153493
Q2103	Q153494
Q2104	Q153495
Q2105	Q153496
Q2106	Q1
Q2107	Q153497
Q2110	Q153498
Q2113	Q153499
Q2114	Q153500
Q2115	Q153501
Q2118	Q1
Q2119	Q153503
Q2121	Q1
Q2122	Q1
Q2124	Q153506
Q2127	Q1
Q2130	Q153508
Q2131	Q153509
Q2132	Q153510
Q2133	Q153511
Q2135	Q1
Q2136	Q1
Q2138	Q153514
Q2141	Q153515
Q2142	Q153516
Q2143	Q1
Q2144	Q153518
Q2145	Q153519
Q2146	Q153520
Q2147	Q1
Q2148	Q153522
Q2149	Q1
Q2153	Q153524
Q2154	Q1
Q2155	Q153526
Q2157	Q153527
Q2158	Q1
Q2160	Q1
Q2161	Q1
Q2162	Q153531
Q2164	Q1
Q2166	Q153533
Q2167	Q153534
Q2168	Q153535
Q2169	Q153536
Q2170	Q153537
Q2171	Q153538
Q2172	Q1
Q2173	Q1
Q2174	Q153541
Q2176	Q153542
Q2177	Q153543
Q2179	Q153544
Q2180	Q153545
Q2182	Q153546
Q2184	Q153548
Q2185	Q153547
Q2186	Q153548
Q2187	Q153549
Q2189	Q153550
Q2190	Q153551
Q2191	Q153552
Q2192	Q153552
Q2193	Q153553
Q2195	Q153554
Q2196	Q153555
Q2197	Q153556
Q2198	Q153556
Q2199	Q153557
Q2201	Q153558
Q2202	Q153559
Q2203	Q153560
Q2204	Q153560
Q2205	Q153561
Q2207	Q153562
Q2208	Q153563
Q2209	Q153564
Q2210	Q153564
Q2211	Q153565
Q2213	Q153566
Q2214	Q153567
Q2216	Q153568
Q2218	Q153569
Q2220	Q153570
Q2221	Q153571
Q2223	Q153572
Q2225	Q153573
Q2228	Q153574
Q2230	Q153575
Q2231	Q1
Q2232	Q153576
Q2235	Q153577
Q2237	Q1
Q2238	Q153579
Q2241	Q1
Q2242	Q153580
Q2245	Q1
Q2246	Q153581
Q2251	Q153582
Q2256	Q153583
Q2257	Q153584
Q2262	Q153585
Q2265	Q153586
Q2267	Q153587
Q2271	Q153588
Q2273	Q153589
Q2274	Q153590
Q2275	Q153591
Q2278	Q153592
Q2281	Q153593
Q2284	Q153594
Q2285	Q153595
Q2290	Q28223
Q2291	Q28227
Q2293	Q28235
Q2294	Q28239
Q2295	Q1
Q2297	Q1
Q2298	Q28255
Q2300	Q28264
Q2301	Q28268
Q2303	Q28276
Q2304	Q28280
Q2305	Q28284
Q2306	Q1
Q2307	Q28292
Q2308	Q28296
Q2309	Q28300
Q2310	Q28304
Q2311	Q28308
Q2313	Q1
Q2314	Q1
Q2315	Q28324
Q2316	Q28328
Q2317	Q1
Q2320	Q28344
Q2323	Q28356
Q2325	Q28364
Q2326	Q28368
Q2328	Q1
Q2329	Q28380
Q2331	Q28388
Q2332	Q28392
Q2336	Q28408
Q2337	Q1
Q2338	Q28416
Q2339	Q1
Q2340	Q28425
Q2341	Q1
Q2342	Q28433
Q2345	Q28445
Q2348	Q28457
Q2350	Q1
Q2351	Q28469
Q2352	Q28473
Q2353	Q28477
Q2355	Q28485
Q2358	Q28497
Q2361	Q28509
Q2362	Q28901
Q2363	Q28905
Q2364	Q28909
Q2365	Q28913
Q2366	Q28917
Q2367	Q28921
Q2368	Q28925
Q2371	Q28938
Q2373	Q1
Q2375	Q28954
Q2377	Q28962
Q2379	Q28970
Q2382	Q28982
Q2383	Q1
Q2385	Q28994
Q2386	Q28998
Q2387	Q29002
Q2388	Q29006
Q2390	Q29014
Q2397	Q1
Q2404	Q29072
Q2405	Q29076
Q2406	Q29080
Q2407	Q29084
Q2409	Q29092
Q2410	Q29096
Q2411	Q29100
Q2413	Q29108
Q2414	Q29112
Q2415	Q29116
Q2416	Q29120
Q2417	Q29124
Q2418	Q29128
Q2421	Q1
Q2422	Q1
Q2423	Q29148
Q2424	Q29152
Q2425	Q29156
Q2426	Q29160
Q2428	Q29168
Q2429	Q29172
Q2430	Q29176
Q2431	Q29180
Q2432	Q29184
Q2433	Q29188
Q2434	Q29192
Q2435	Q29196
Q2437	Q29204
Q2438	Q29208
Q2439	Q29212
Q2444	Q29232
Q2456	Q6513
Q2458	Q29288
Q2459	Q29292
Q2460	Q29296
Q2462	Q29304
Q2466	Q1
Q2477	Q137731
Q2478	Q135531
Q2484	Q1
Q2486	Q29517
Q2492	Q1
Q2499	Q1
Q2500	Q1
Q2501	Q1
Q2504	Q29473
Q2507	Q1
Q2509	Q1
Q2511	Q29501
Q2512	Q29517
Q2517	Q1
Q2518	Q1
Q2519	Q1
Q2523	Q1
Q2524	Q1
Q2525	Q29558
Q2526	Q29562
Q2527	Q29566
Q2528	Q29570
Q2529	Q29574
Q2531	Q29582
Q2532	Q29586
Q2533	Q29590
Q2534	Q29594
Q2535	Q29598
Q2536	Q29602
Q2537	Q29606
Q2538	Q29610
Q2539	Q29614
Q2540	Q29618
Q2542	Q29626
Q2543	Q29630
Q2544	Q29634
Q2545	Q29638
Q2546	Q29642
Q2547	Q29646
Q2548	Q29650
Q2549	Q29654
Q2550	Q1
Q2561	Q29702
Q2563	Q1
Q2565	Q29718
Q2567	Q29726
Q2574	Q53326
Q2575	Q1
Q2576	Q1
Q2577	Q1
Q2578	Q1
Q2579	Q1
Q2580	Q1
Q2581	Q1
Q2582	Q1
Q2583	Q1
Q2584	Q1
Q2585	Q1
Q2586	Q1
Q2587	Q1
Q2588	Q1
Q2589	Q1
Q2590	Q1
Q2591	Q1
Q2592	Q1
Q2593	Q1
Q2594	Q1
Q2595	Q1
Q2596	Q1
Q2597	Q1
Q2598	Q1
Q2599	Q1
Q2600	Q1
Q2601	Q1
Q2602	Q1
Q2603	Q1
Q2604	Q1
Q2605	Q1
Q2606	Q1
Q2607	Q1
Q2608	Q1
Q2609	Q1
Q2610	Q1
Q2611	Q1
Q2612	Q136441
Q2617	Q1
Q2619	Q135746
Q2620	Q1
Q2621	Q1
Q2622	Q1
Q2625	Q1
Q2626	Q1
Q2629	Q1
Q2631	Q1
Q2632	Q2283
Q2634	Q1
Q2635	Q1
Q2636	Q40
Q2637	Q44
Q2639	Q47
Q2640	Q41
Q2641	Q1
Q2642	Q1
Q2643	Q1
Q2644	Q1
Q2645	Q1
Q2646	Q1
Q2647	Q98
Q2648	Q102
Q2649	Q1
Q2650	Q3
Q2651	Q4
Q2652	Q42
Q2653	Q45
Q2654	Q46
Q2655	Q49
Q2656	Q50
Q2657	Q51
Q2658	Q56
Q2659	Q57
Q2660	Q58
Q2661	Q59
Q2662	Q65
Q2663	Q66
Q2665	Q68
Q2666	Q69
Q2667	Q52
Q2668	Q53
Q2669	Q60
Q2670	Q61
Q2671	Q70
Q2672	Q71
Q2673	Q72
Q2674	Q73
Q2675	Q81
Q2676	Q79
Q2677	Q80
Q2678	Q87
Q2679	Q91
Q2680	Q88
Q2681	Q89
Q2682	Q62
Q2683	Q74
Q2684	Q82
Q2685	Q75
Q2686	Q63
Q2687	Q76
Q2688	Q83
Q2689	Q77
Q2690	Q84
Q2691	Q85
Q2697	Q97
Q2699	Q1
Q2700	Q1
Q2701	Q1
Q2702	Q240
Q2703	Q173
Q2704	Q169
Q2705	Q1
Q2706	Q1
Q2707	Q1
Q2708	Q1
Q2709	Q1
Q2710	Q1
Q2711	Q1
Q2712	Q1
Q2713	Q1
Q2714	Q1
Q2715	Q1
Q2716	Q355
Q2717	Q1
Q2718	Q397
Q2719	Q1
Q2721	Q30369
Q2722	Q30373
Q2723	Q30377
Q2724	Q30381
Q2725	Q30385
Q2726	Q30389
Q2727	Q30393
Q2728	Q135811
Q2729	Q30401
Q2730	Q30405
Q2731	Q30409
Q2732	Q30413
Q2733	Q30417
Q2734	Q30421
Q2735	Q136304
Q2736	Q30429
Q2738	Q30437
Q2739	Q30441
Q2740	Q1
Q2741	Q1
Q2742	Q135475
Q2743	Q30457
Q2744	Q30461
Q2745	Q30465
Q2746	Q30469
Q2747	Q30473
Q2748	Q30477
Q2749	Q30481
Q2750	Q30485
Q2751	Q30489
Q2752	Q30494
Q2753	Q30498
Q2754	Q30502
Q2755	Q30506
Q2756	Q149175
Q2757	Q30514
Q2758	Q30518
Q2759	Q213
Q2760	Q214
Q2761	Q223
Q2762	Q232
Q2763	Q334
Q2764	Q335
Q2765	Q336
Q2766	Q345
Q2767	Q346
Q2769	Q30562
Q2770	Q30566
Q2771	Q30570
Q2772	Q30574
Q2773	Q30578
Q2774	Q30582
Q2775	Q30586
Q2776	Q30590
Q2777	Q30594
Q2778	Q30598
Q2779	Q30602
Q2780	Q30606
Q2783	Q30618
Q2784	Q30622
Q2785	Q30626
Q2786	Q30630
Q2787	Q168
Q2788	Q224
Q2789	Q225
Q2790	Q132330
Q2791	Q234
Q2792	Q245
Q2793	Q246
Q2794	Q307
Q2795	Q308
Q2796	Q309
Q2797	Q310
Q2798	Q314
Q2799	Q317
Q2800	Q30687
Q2801	Q30691
Q2802	Q30695
Q2803	Q30699
Q2804	Q30703
Q2805	Q30707
Q2806	Q30711
Q2807	Q30743
Q2808	Q30743
Q2809	Q30743
Q2810	Q30743
Q2811	Q30743
Q2812	Q30743
Q2813	Q30743
Q2814	Q30743
Q2815	Q30747
Q2816	Q30751
Q2817	Q30755
Q2818	Q30759
Q2819	Q1
Q2820	Q1
Q2821	Q30771
Q2822	Q30775
Q2823	Q30779
Q2825	Q1
Q2826	Q30792
Q2827	Q1
Q2828	Q1
Q2829	Q30804
Q2830	Q1
Q2831	Q30812
Q2832	Q1
Q2833	Q1
Q2834	Q1
Q2835	Q1
Q2836	Q1
Q2837	Q1
Q2838	Q1
Q2839	Q1
Q2840	Q1
Q2841	Q1
Q2842	Q1
Q2843	Q30860
Q2844	Q1
Q2845	Q1
Q2847	Q1
Q2848	Q1
Q2849	Q1
Q2850	Q1
Q2851	Q1
Q2852	Q1
Q2853	Q1
Q2854	Q1
Q2855	Q1
Q2856	Q30913
Q2857	Q1
Q2858	Q1
Q2859	Q1
Q2860	Q1
Q2861	Q1
Q2862	Q30938
Q2863	Q30942
Q2864	Q30946
Q2865	Q30950
Q2866	Q30954
Q2867	Q30958
Q2868	Q30962
Q2869	Q30966
Q2870	Q30970
Q2871	Q31990
Q2872	Q32078
Q2873	Q31946
Q2874	Q31966
Q2875	Q30990
Q2876	Q31994
Q2877	Q30998
Q2878	Q31986
Q2879	Q31006
Q2880	Q32078
Q2881	Q31014
Q2882	Q31018
Q2883	Q1
Q2884	Q31026
Q2885	Q31030
Q2886	Q1
Q2887	Q32054
Q2888	Q31042
Q2889	Q31046
Q2890	Q31050
Q2891	Q31054
Q2892	Q31058
Q2893	Q31062
Q2894	Q31066
Q2895	Q31070
Q2896	Q31074
Q2897	Q1
Q2898	Q31082
Q2899	Q31086
Q2900	Q31090
Q2901	Q31094
Q2902	Q31098
Q2903	Q31102
Q2904	Q31106
Q2905	Q31110
Q2906	Q1
Q2907	Q31118
Q2908	Q31122
Q2909	Q31126
Q2911	Q31134
Q2912	Q31138
Q2913	Q31142
Q2914	Q31146
Q2915	Q31150
Q2916	Q31154
Q2917	Q31158
Q2918	Q31162
Q2919	Q1
Q2920	Q31170
Q2921	Q31174
Q2922	Q1
Q2923	Q1
Q2924	Q31186
Q2925	Q31191
Q2926	Q31195
Q2927	Q31199
Q2928	Q31203
Q2929	Q31207
Q2930	Q31211
Q2931	Q31215
Q2932	Q31219
Q2933	Q31223
Q2934	Q31227
Q2935	Q31231
Q2936	Q31235
Q2937	Q31239
Q2938	Q31243
Q2939	Q1
Q2940	Q31251
Q2941	Q31255
Q2942	Q31259
Q2943	Q31263
Q2944	Q31267
Q2945	Q31271
Q2946	Q31275
Q2947	Q31279
Q2948	Q31283
Q2949	Q31287
Q2950	Q31291
Q2951	Q31295
Q2952	Q31299
Q2953	Q31303
Q2954	Q31307
Q2955	Q31311
Q2956	Q31315
Q2957	Q31319
Q2958	Q31323
Q2959	Q31327
Q2961	Q31335
Q2962	Q31339
Q2963	Q31344
Q2964	Q31348
Q2965	Q1
Q2966	Q31356
Q2967	Q31360
Q2968	Q31364
Q2969	Q31368
Q2971	Q31376
Q2972	Q32540
Q2973	Q31384
Q2974	Q31388
Q2975	Q31392
Q2976	Q31396
Q2977	Q31400
Q2978	Q31404
Q2979	Q31408
Q2980	Q31412
Q2982	Q31420
Q2983	Q31424
Q2984	Q31428
Q2985	Q31432
Q2986	Q31436
Q2987	Q31440
Q2988	Q1
Q2989	Q1
Q2990	Q32584
Q2992	Q31460
Q2993	Q31464
Q2994	Q31468
Q2995	Q31472
Q2996	Q31476
Q2997	Q31480
Q3000	Q31492
Q3001	Q1
Q3003	Q31504
Q3004	Q31508
Q3005	Q31512
Q3006	Q31516
Q3007	Q32704
Q3008	Q31524
Q3010	Q31532
Q3011	Q31536
Q3012	Q31541
Q3013	Q1
Q3014	Q31549
Q3015	Q1
Q3016	Q31557
Q3017	Q31561
Q3018	Q31565
Q3019	Q31569
Q3020	Q31573
Q3021	Q31577
Q3022	Q31581
Q3023	Q31585
Q3025	Q31593
Q3026	Q31597
Q3027	Q31609
Q3028	Q31613
Q3029	Q31617
Q3030	Q31621
Q3031	Q31625
Q3033	Q31633
Q3034	Q31637
Q3035	Q31641
Q3036	Q31645
Q3037	Q31649
Q3038	Q1
Q3039	Q31657
Q3040	Q31661
Q3041	Q31665
Q3042	Q1
Q3044	Q31677
Q3045	Q31681
Q3046	Q31685
Q3047	Q31689
Q3048	Q31693
Q3049	Q31697
Q3050	Q31701
Q3051	Q31705
Q3052	Q31709
Q3053	Q31713
Q3055	Q31721
Q3056	Q31725
Q3057	Q31729
Q3058	Q31733
Q3059	Q31737
Q3060	Q31741
Q3061	Q1
Q3062	Q31749
Q3063	Q31753
Q3064	Q31757
Q3066	Q31765
Q3067	Q1
Q3068	Q31773
Q3069	Q1
Q3070	Q31781
Q3071	Q31785
Q3072	Q31789
Q3073	Q31793
Q3074	Q31797
Q3075	Q31801
Q3077	Q31809
Q3078	Q31813
Q3079	Q31817
Q3080	Q31821
Q3081	Q31825
Q3082	Q31829
Q3083	Q31833
Q3084	Q31837
Q3085	Q31841
Q3086	Q31845
Q3088	Q31853
Q3089	Q31857
Q3090	Q31861
Q3091	Q1
Q3092	Q31869
Q3093	Q31873
Q3094	Q31877
Q3095	Q31881
Q3096	Q31886
Q3097	Q31890
Q3098	Q1
Q3099	Q31898
Q3100	Q31902
Q3101	Q31906
Q3102	Q31910
Q3103	Q31914
Q3104	Q31918
Q3105	Q31922
Q3106	Q31926
Q3107	Q31930
Q3108	Q31934
Q3110	Q31942
Q3111	Q31946
Q3112	Q31950
Q3113	Q32054
Q3114	Q31990
Q3115	Q32078
Q3116	Q31966
Q3117	Q32066
Q3118	Q31974
Q3119	Q31978
Q3121	Q31986
Q3122	Q31990
Q3123	Q31994
Q3124	Q31998
Q3125	Q32002
Q3126	Q32006
Q3127	Q32010
Q3128	Q32014
Q3129	Q1
Q3130	Q32022
Q3131	Q32026
Q3132	Q32030
Q3133	Q32034
Q3134	Q32038
Q3135	Q32042
Q3136	Q32046
Q3137	Q32050
Q3138	Q32054
Q3139	Q32058
Q3140	Q32062
Q3141	Q32066
Q3143	Q32074
Q3144	Q32078
Q3145	Q32082
Q3146	Q32086
Q3147	Q32090
Q3148	Q32094
Q3149	Q32098
Q3150	Q32102
Q3151	Q32106
Q3152	Q32110
Q3154	Q32118
Q3155	Q1
Q3156	Q32126
Q3157	Q32130
Q3158	Q32134
Q3159	Q32138
Q3160	Q32142
Q3161	Q32146
Q3162	Q32150
Q3163	Q1
Q3165	Q32162
Q3166	Q32166
Q3167	Q32170
Q3168	Q32174
Q3169	Q32178
Q3170	Q32182
Q3171	Q1
Q3172	Q32190
Q3173	Q32194
Q3174	Q32198
Q3176	Q32206
Q3177	Q32210
Q3178	Q32214
Q3179	Q32218
Q3180	Q32222
Q3181	Q32226
Q3182	Q32230
Q3183	Q32234
Q3184	Q32238
Q3185	Q32242
Q3187	Q32250
Q3188	Q32254
Q3189	Q32258
Q3190	Q32262
Q3191	Q1
Q3192	Q32270
Q3193	Q32274
Q3194	Q32278
Q3195	Q32282
Q3196	Q32286
Q3198	Q32294
Q3199	Q32298
Q3200	Q32302
Q3201	Q32306
Q3202	Q32310
Q3203	Q32314
Q3204	Q32318
Q3205	Q32323
Q3206	Q32327
Q3208	Q32335
Q3209	Q32339
Q3210	Q32343
Q3211	Q32347
Q3212	Q32351
Q3213	Q32355
Q3214	Q32359
Q3215	Q32363
Q3216	Q32367
Q3217	Q1
Q3218	Q32375
Q3219	Q32379
Q3220	Q32383
Q3221	Q32387
Q3222	Q32391
Q3223	Q32395
Q3224	Q1
Q3225	Q32403
Q3226	Q32407
Q3227	Q32411
Q3228	Q1
Q3229	Q32419
Q3230	Q32423
Q3231	Q32427
Q3232	Q32431
Q3233	Q32435
Q3234	Q32439
Q3235	Q32443
Q3236	Q32447
Q3237	Q32451
Q3238	Q32455
Q3239	Q1
Q3240	Q32463
Q3241	Q32467
Q3242	Q32471
