cycle_len	chain_qids	chain_labels
12	Q153465 -> Q153460 -> Q2035 -> Q153444 -> Q153438 -> Q153429 -> Q1989 -> Q1978 -> Q49707 -> Q49634 -> Q153390 -> Q153381 -> Q153465	TVASTAR Kashyapa -> SANJNA \ Saranyu Saranyu Saranyu/ -> Yama Dharma King of Death -> SUNITA Anga -> VENA Anga -> PRITHU (Vishnu's amsam) Vena -> Vijitashva -> Havirdhana -> Prachinbarhi -> Prachetas (10 sons) -> DAKSHA (reborn as DAKSHA) Prachetas -> Aditi Kashyapa -> TVASTAR Kashyapa
12	Q72786 -> Q72693 -> Q72514 -> Q73893 -> Q73794 -> Q73692 -> Q73569 -> Q73446 -> Q73299 -> Q73131 -> Q72957 -> Q72801 -> Q72786	Marcus Aemilius Lepidus -> Quintus Aemilius Lepidus -> Marcus Aemilius Lepidus -> Lucius Cornelius Scipio Asiaticus Aemilianus -> Gnaeus Cornelius Scipio -> Lucius Cornelius Scipio Barbatus -> Lucius Cornelius Scipio -> Publius Cornelius Scipio -> Scipio Africanus -> Cornelia Africana Major -> Consul (138 BC) - Publius Cornelius Scipio Nasica Serapio -> Cornelia -> Marcus Aemilius Lepidus
3	Q73383 -> Q73644 -> Q73518 -> Q73383	Lucius Junius  Brutus -> C. Junius  Brutus -> C. Junius Junius Brutus  Brutus -> Lucius Junius  Brutus
5	Q131896 -> Q131902 -> Q75123 -> Q132251 -> Q132367 -> Q131896	Tyro -> Neleus -> Deimachus -> Enarete -> Salmoneus -> Tyro
2	Q78402 -> Q78719 -> Q78402	Q78402 -> Cleopatra III of Egypt -> Q78402
7	Q130019 -> Q130582 -> Q130716 -> Q131683 -> Q132328 -> Q74698 -> Q90309 -> Q130019	Asia -> Atlas -> Electra -> Dardanus -> Erichthonius of Dardania -> Tros -> Oceanus -> Asia
6	Q132328 -> Q74698 -> Q90309 -> Q130067 -> Q131066 -> Q132324 -> Q132328	Erichthonius of Dardania -> Tros -> Oceanus -> Scamander -> Teucer, king of Troy -> Batea -> Erichthonius of Dardania
4	Q74698 -> Q90309 -> Q130077 -> Q131114 -> Q74698	Tros -> Oceanus -> Simoeis -> Astyoche -> Tros
6	Q130716 -> Q131683 -> Q132328 -> Q74698 -> Q90309 -> Q130015 -> Q130716	Electra -> Dardanus -> Erichthonius of Dardania -> Tros -> Oceanus -> Pleione -> Electra
10	Q74973 -> Q130019 -> Q130582 -> Q130716 -> Q131683 -> Q132328 -> Q74698 -> Q90309 -> Q130061 -> Q131024 -> Q74973	Danaus -> Asia -> Atlas -> Electra -> Dardanus -> Erichthonius of Dardania -> Tros -> Oceanus -> Nilus -> Anchiroe -> Danaus
12	Q132283 -> Q90576 -> Q74973 -> Q130019 -> Q130582 -> Q130716 -> Q131683 -> Q132328 -> Q74698 -> Q90309 -> Q130061 -> Q131030 -> Q132283	Libya -> Belus -> Danaus -> Asia -> Atlas -> Electra -> Dardanus -> Erichthonius of Dardania -> Tros -> Oceanus -> Nilus -> Memphis -> Libya
6	Q130582 -> Q130716 -> Q131683 -> Q132328 -> Q74698 -> Q75225 -> Q130582	Atlas -> Electra -> Dardanus -> Erichthonius of Dardania -> Tros -> Iapetos -> Atlas
12	Q74677 -> Q74656 -> Q131757 -> Q132283 -> Q90576 -> Q74973 -> Q130019 -> Q130582 -> Q130716 -> Q131683 -> Q132328 -> Q74698 -> Q74677	Ops -> Q74656 -> Epaphus -> Libya -> Belus -> Danaus -> Asia -> Atlas -> Electra -> Dardanus -> Erichthonius of Dardania -> Tros -> Ops
6	Q130582 -> Q130716 -> Q131683 -> Q132328 -> Q74698 -> Q90374 -> Q130582	Atlas -> Electra -> Dardanus -> Erichthonius of Dardania -> Tros -> Iapetos -> Atlas
12	Q74656 -> Q131757 -> Q132283 -> Q90576 -> Q74973 -> Q130019 -> Q130582 -> Q130716 -> Q131683 -> Q132328 -> Q74698 -> Q74680 -> Q74656	Q74656 -> Epaphus -> Libya -> Belus -> Danaus -> Asia -> Atlas -> Electra -> Dardanus -> Erichthonius of Dardania -> Tros -> Saturn -> Q74656
10	Q90576 -> Q74973 -> Q130019 -> Q130582 -> Q130716 -> Q131683 -> Q132328 -> Q74698 -> Q74680 -> Q75039 -> Q90576	Belus -> Danaus -> Asia -> Atlas -> Electra -> Dardanus -> Erichthonius of Dardania -> Tros -> Saturn -> Poseidon -> Belus
7	Q74973 -> Q130019 -> Q130582 -> Q130716 -> Q131683 -> Q132328 -> Q74698 -> Q74973	Danaus -> Asia -> Atlas -> Electra -> Dardanus -> Erichthonius of Dardania -> Tros -> Danaus
7	Q130019 -> Q130582 -> Q130716 -> Q131683 -> Q132328 -> Q74698 -> Q74970 -> Q130019	Asia -> Atlas -> Electra -> Dardanus -> Erichthonius of Dardania -> Tros -> Tethys -> Asia
6	Q85498 -> Q85478 -> Q85578 -> Q85554 -> Q85528 -> Q85514 -> Q85498	Sekhemre Sementawi Djehuti -> Sekhemre Sankhtawy Neferhotep III -> Sankhenre Mentuhotep VI -> Sebekemsaf .  -> Yauyebi of  Egypt -> Senebhenaf .  -> Sekhemre Sementawi Djehuti
5	Q85578 -> Q85554 -> Q85528 -> Q85514 -> Q85500 -> Q85578	Sankhenre Mentuhotep VI -> Sebekemsaf .  -> Yauyebi of  Egypt -> Senebhenaf .  -> Mentuhotep .  -> Sankhenre Mentuhotep VI
6	Q85478 -> Q85578 -> Q85554 -> Q85528 -> Q85514 -> Q85500 -> Q85478	Sekhemre Sankhtawy Neferhotep III -> Sankhenre Mentuhotep VI -> Sebekemsaf .  -> Yauyebi of  Egypt -> Senebhenaf .  -> Mentuhotep .  -> Sekhemre Sankhtawy Neferhotep III
4	Q135406 -> Q135539 -> Q4617 -> Q60222 -> Q135406	Jehoiakim -> Jeconiah -> Pedaiah ->  -> Jehoiakim
4	Q135406 -> Q135539 -> Q4617 -> Q4626 -> Q135406	Jehoiakim -> Jeconiah -> Pedaiah -> Zebudah -> Jehoiakim
2	Q29144 -> Q29148 -> Q29144	kay uyarsh  Raja Iran -> kay pisan  Raja Iran -> kay uyarsh  Raja Iran
2	Q29148 -> Q52709 -> Q29148	kay pisan  Raja Iran ->  -> kay pisan  Raja Iran
2	Q29144 -> Q52713 -> Q29144	kay uyarsh  Raja Iran ->  -> kay uyarsh  Raja Iran
10	Q6421 -> Q87856 -> Q87854 -> Q87852 -> Q87850 -> Q87848 -> Q87846 -> Q87844 -> Q87842 -> Q87840 -> Q6421	Shaodian -> Generation 2   -> Generation 3   -> Generation 4   -> Generation 5   ->    ->    ->    ->    ->    -> Shaodian
7	Q171493 -> Q171595 -> Q171604 -> Q171614 -> Q171622 -> Q171636 -> Q171648 -> Q171493	Venkatacharyar Jatavallabha (Jatavallabha award by Maha -> Rangacharya Jatavallabha (Jatavallabha award by Maha -> Venkatacharya Jatavallabha (Jatavallabha award by Maha -> Srinivasacharya Jatavallabha -> Srinivasacharyar Jatavallabha (Jatavallabha award by Maha -> Venkatacharya Jatavallabha (Jatavallabha award by Maha -> Rangacharya Jatavallabha (Jatavallabha award by Maha -> Venkatacharyar Jatavallabha (Jatavallabha award by Maha
2	Q23888 -> Q47737 -> Q23888	Uematsu Takamasa -> Iwakura Hiromasa -> Uematsu Takamasa
2	Q73872 -> Q73958 -> Q73872	Lucius Fulvius Curvus -> Lucius Fulvius, II -> Lucius Fulvius Curvus
2	Q73530 -> Q73653 -> Q73530	Marcus Flaccus -> Cassus Curvus -> Marcus Flaccus
11	Q160580 -> Q160673 -> Q160640 -> Q160615 -> Q160596 -> Q160576 -> Q160560 -> Q160539 -> Q160512 -> Q160489 -> Q160460 -> Q160580	SURYA Dev aka SUN GOD Kashyap -> YAMA Dharma -> SUNITA Anga -> VENA Anga -> PRITHU Vena -> Vijitashva -> HAVIRDHANA -> PRACHINBARHI -> PRACHETAS (10 sons) -> DAKSHA Prachetas -> Aditi Kashyapa -> SURYA Dev aka SUN GOD Kashyap
12	Q160673 -> Q160640 -> Q160615 -> Q160596 -> Q160576 -> Q160560 -> Q160539 -> Q160512 -> Q160489 -> Q160460 -> Q160730 -> Q160707 -> Q160673	YAMA Dharma -> SUNITA Anga -> VENA Anga -> PRITHU Vena -> Vijitashva -> HAVIRDHANA -> PRACHINBARHI -> PRACHETAS (10 sons) -> DAKSHA Prachetas -> Aditi Kashyapa -> TVASTAR Kashyapa -> SANJNA \ Saranyu Saranyu -> YAMA Dharma
2	Q70988 -> Q139601 -> Q70988	Lucius Scribonius Libo Drusus -> Marcus Livius Drusus Libo -> Lucius Scribonius Libo Drusus
3	Q86607 -> Q91134 -> Q86617 -> Q86607	"Acha  Ish Kfar Temarta -> Abba ""Abbahu""  bar Acha bar Sallah al-Kafri -> Shila  Ish Kfar Temarta -> Acha  Ish Kfar Temarta"
7	Q137878 -> Q137383 -> Q136957 -> Q137384 -> Q137899 -> Q137320 -> Q137900 -> Q137878	NN ferch Cynfyn ap Gwerystan ap Gwaithfoed -> Nest ferch Gwrgan ab Ithel ab Idwallon -> Meurig ab Ynyr Gwent -> Ynyr, lord of Gwent -> Morfudd ferch Ynir -> Gwerstan ap Gwaithfoed ap Gloddieu ap Gwrhydur Hir, lord of Powys -> Cynfyn ap Gwerstan -> NN ferch Cynfyn ap Gwerystan ap Gwaithfoed
