qid	label	wikidata_qid	wikidata_name	name_score
Q36926	daughter Cikacuny Nakajamy	Q108057911	中山親綱の娘	0.86
Q38044	daughter Tokuena Jasutomiho	Q108057736	安富得円の娘 (有馬義貞の正室)	0.86
Q26907	daughter Sadatakeho Hiraie	Q109001348	平井定武の娘 (浅井長政の正室)	0.86
Q111217	Uta of Bavaria	Q1746950	Uta de Bavaria	0.86
Q133292	Hyrpace	Q5898666	Hirpace	0.86
Q35007	daughter Motociky Cosokabeho	Q108145381	長宗我部元親の娘 (吉良親実の正室)	0.87
Q39095	daughter Motociky Cosokabeho	Q108871387	長宗我部元親の四女 (吉松十右衛門の正室)	0.87
Q39099	daughter Nobuciky Cosokabeho	Q108865735	長宗我部信親の娘 (長宗我部盛親の正室)	0.87
Q39394	daughter Hisahideho Macunagy	Q109780860	松永久秀の娘 (日根野弘勝の妻)	0.87
Q39398	daughter Hisahideho Macunagy	Q109780878	松永久秀の娘 (竹内長治の妻)	0.87
Q35003	daughter Motociky Cosokabeho	Q108145368	長宗我部元親の娘 (一条内政の正室)	0.87
Q38706	daughter Hisahideho Macunagy	Q109780806	松永久秀の長女 (伊勢貞良の妻)	0.87
Q138274	Thordr Oleifsson	Q6175110	Þórðr Óleifsson	0.87
Q15241	A I-bu-in	Q12605357	아이부인	0.88
Q117145	Catherine Vsevolodovna	Q11737101	Katarzyna Wsiewołodowna	0.88
Q122373	Clarembaud, Sire de Rozoy	Q116004984	Clarembaud de Rozoy	0.88
Q27627	druha daughter Micuhideho Akeciho	Q109920213	明智光秀の次女 (明智光忠の妻)	0.89
Q28840	adoptovana daughter Souna Hodzoa	Q108426189	伊勢宗瑞の養女 (高橋高種の正室)	0.89
Q28872	Ota Shigemasa's daughter	Q108900264	太田重正の娘 (井上政重の正室)	0.89
Q109013	Ja'far ibn al-Hadi	Q133797729	جعفر بن الهادي	0.89
Q118118	Sunifred I of Lluca	Q10374816	Sunifredo I de Lluçà	0.89
Q123880	Xizir xan Qaraxani	Q11059837	希兹尔	0.89
Q152973	Adam Y Chromosomal Adam	Q351265	plus récent ancêtre patrilinéaire commun	0.90
Q4720	Tomiyauh Tampizo	Q11365676	Tomiyauh	0.90
Q29880	Miura N	Q134299242	Миура N	0.90
Q18487	Mr. Saka	Q17224750	坂氏	0.90
Q32729	Matsudaira N	Q134299406	Мацудайра N	0.90
Q29884	Matsudaira N	Q108490964	松平清宗の娘 (岡部長盛の正室)	0.90
Q33711	Royal Consort Sukbin Choe	Q484831	淑嫔崔氏	0.90
Q34519	Isakhaia N	Q109327509	諫早茂敬の娘 (鍋島直之の正室)	0.90
Q36082	Yuelun	Q19853593	茶倫	0.90
Q36086	Zhenjin	Q1036575	真金	0.90
Q36098	Dorji	Q7071899	朵儿只	0.90
Q38387	Topiltzin - Meconetzin (King de Tula) Acatl Topiltzin Quetzalcoatl	Q557769	Ce Ácatl Topiltzin Quetzalcóatl	0.90
Q38853	Khulan	Q4502265	Хулан хатан	0.90
Q40079	Xiao Chu Ying Fa Noniang	Q134593756	Коидэ N	0.90
Q40203	Princess Kotohime (22nd daughter of Tokugawa Ienari)	Q114861134	琴姫 (徳川家斉二十二女)	0.90
Q40207	Seiunin (son of Tokugawa Ienari)	Q114874750	清雲院 (徳川家斉の子)	0.90
Q41084	Aratnadara Borjigin	Q7081278	阿剌忒纳答剌	0.90
Q43216	Irene–Yolande of Montferrat	Q270611	Yolande von Montferrat	0.90
Q43522	Cong chua Chieu Hoa	Q24957939	Chiêu Hoa Công chúa	0.90
Q44037	Hirohashi Kaneyori (21st generation)	Q110644237	広橋兼頼 (21代)	0.90
Q48680	Riudzodzi N	Q134281382	Рюдзодзи N	0.90
Q49041	N Fiodorovna	Q108802203	N Фёдоровна	0.90
Q49045	N Fiodorovna	Q122167652	N Фёдоровна	0.90
Q54696	Catherine of Bosnia	Q17998203	Katarina, kćerka bana Stjepana I	0.90
Q54992	Ferdinand de la Cerda, Lord of Lara	Q351139	Fernando de la Cerda y de Lara	0.90
Q55955	Konstantinos Tornikes	Q110738111	sebastokrator Konstantinos Tornikes, general	0.90
Q56894	Riudzodzi N	Q117833344	Рюдзодзи N	0.90
Q56900	Goto N	Q134299845	Гото N	0.90
Q56909	Oda N	Q134305508	Ода N	0.90
Q59546	Paulus of Arabisso	Q7148943	Paul	0.90
Q64035	`Abdul `Uzza	Q12222944	عبد العزى بن قصي	0.90
Q65008	Abd al-Muttalib born of Hashim	Q380479	Abd al-Mutalib	0.90
Q67903	Marwan ibn Al-Hakam ibn Abi al-As ibn Umayya ibn Abd Shams	Q298577	Marwan I	0.90
Q68334	Goto N	Q134300210	Гото N	0.90
Q70122	Octavius Laenas	Q1242010	Gaius Octavius Laenas	0.90
Q70334	Lucius Munatius Plancus Paulinus	Q343795	Lucius Munatius Plancus	0.90
Q70463	Ur-Ninurta The Amorite	Q2622811	乌尔·尼努尔塔	0.90
Q70541	Bebnum Amorite Pharaoh (14th dynasty)	Q3596364	...ka Bebenem	0.90
Q70550	Maaibre Sheshi Amorite Pharaoh (14th dynasty)	Q14318465	Scheschi	0.90
Q70553	Aahotepre 'Ammu Amorite Pharaoh (14th dynasty)	Q3603042	Aahotepre	0.90
Q70559	Khawoserre Qareh Amorite Pharaoh (14th dynasty)	Q337893	Qareh	0.90
Q70562	Nubwoserre Ya'ammu Amorite Pharaoh (14th dynasty)	Q1681488	Jamu	0.90
Q70565	Sekhaenre Yakbim Amorite Pharaoh (14th dynasty)	Q1683398	Jaqebmu	0.90
Q70904	Seth-Peribsen Pharaoh of Egypt	Q310878	伯里布森	0.90
Q70988	Lucius Scribonius Libo Drusus	Q431201	Lucius Scribonius Libo	0.90
Q73868	Balgi	Q16184210	고발기	0.90
Q74255	King of Rome II - Numa Pompilius (716-672 BC)	Q200031	نوما بومبيليوس	0.90
Q74689	Adad-nirari III, king of Assyria	Q313127	Adad-nirari III	0.90
Q74708	Shamshi-Adad V, king of Assyria	Q315465	Shamshi-Adad V	0.90
Q74726	Shalmaneser III, king of Assyria	Q211928	沙尔马那塞尔三世	0.90
Q74898	Tieu Dao Do	Q11622122	萧道度	0.90
Q76189	Gordian I, Roman Emperor	Q1782	Gordiano I	0.90
Q85586	Amenemhat III Nemare, King of Egypt (1900 BC) Pyramid builder	Q19244	阿蒙涅姆赫特三世	0.90
Q86191	Khakhaure Senusret III	Q19248	辛努塞尔特三世	0.90
Q86147	Khakheperre Senusret II	Q18722	辛努塞尔特二世	0.90
Q85698	Pepi II Neferkare Pharaoh of Egypt	Q6198	Pépi II	0.90
Q85710	Teti Pharaoh of Egypt	Q269285	特提	0.90
Q85724	Iput of Egypt	Q461201	Iput I.	0.90
Q85772	"Huni ""The Smiter"""	Q220240	胡尼	0.90
Q85810	Herneith of Egypt	Q453243	Herneith	0.90
Q85830	Iry-Hor Pharaoh of Egypt	Q314809	Iri	0.90
Q85915	Wahankh Intef II	Q313869	因提夫二世	0.90
Q85985	Sankhkare Mentuhotep III Mentouhotep	Q310278	曼图霍特普三世	0.90
Q88476	Hananel ben Hushiel, Ra'is Yeshiva al-Qayrawan	Q1061624	רבינו חננאל	0.90
Q89443	"Moses Narboni ""Maestro Vidal Blasom"""	Q1852000	Mose ben Josua von Narbonne	0.90
Q90392	Cephalos - Kephalos -	Q59771423	Cefalo	0.90
Q90928	Mar Zutra III a\k\a Mar Sutra I ben Mar Zutra II	Q6754355	Mar-Zutra III	0.90
Q91276	"Abraham ben David ""Rabad"" or ""Rabad III"""	Q330769	Avraham ben David z Posquières	0.90
Q92404	Antonio de Saavedra Guzman y Estrada de la Caden	Q22122560	Antonio de Saavedra Guzmán	0.90
Q93343	Jacob Saportas	Q1679327	Jakob Sasportas	0.90
Q93736	Abiud, ancestor of Joseph and Mary	Q321170	Abiyudd	0.90
Q93931	Hillel II ben Yehudah III	Q540824	Hillel II.	0.90
Q94363	Marwan Bin Al- Hakam Bin Abu Al- 'As Bint Umaiyah	Q298577	Marwan I	0.90
Q94559	Muhammad al-Nafs al-Zakiyya Al-Hasani	Q533216	Muhammad al-Nafs al-Zakiyya	0.90
Q96452	Imam Ali al-Hadi	Q315377	阿里·哈迪·纳基	0.90
Q97336	"Imaam Abdullah ""Al-Mahdi Billah"" bin Imaam Husain ""Radi Abdullah"""	Q307629	Абдуллах аль-Махди	0.90
Q99314	Flavius Julius Constantius, Consul of Rome	Q450702	Júlio Constâncio	0.90
Q99879	Hermenegildo (Mendo) Guterres de Coimbra	Q840579	Hermenexildo Gotérrez	0.90
Q99909	Fruela II Alfonsez de Asturias	Q333603	Fruela II das Astúrias e Leão	0.90
Q99937	Duke Vizoi Vizois	Q10392224	Vizoi Vizois	0.90
Q109197	Futaym (concubine)	Q134385062	فطيم (جارية)	0.90
Q109978	Qamaʻah	Q125098965	قَمَعَة بن إِلْيَاس	0.90
Q112158	Sultan of the Seljuks Alp Arslan	Q200193	Alp Arslan	0.90
Q112574	Ademar I of Limoges	Q30887566	Адемар I	0.90
Q113398	Pons II of Albi	Q11942361	Ponç II d'Albi	0.90
Q113518	Toda, countess of Besalú	Q11952039	Toda de Provença	0.90
Q113642	Stephanie Dulcia	Q76214991	Etiennette of Marseille	0.90
Q114772	Teresa of Urgell	Q65209350	Teresa d'Urgell	0.90
Q115656	Ermengarde	Q100327211	Ermengarde of Provence	0.90
Q115938	Gerberge	Q100438796	Gerberge of Provence	0.90
Q116859	Berthe	Q112232468	Berthe of Mâcon	0.90
Q116861	Richilde	Q112232490	Richilde of Burgundy	0.90
Q117467	Heinrich III von Windberg, Graf von Assel, Graf von Plesse	Q118191317	Хайнрих III фон Виндберг	0.90
Q118896	Ramon I	Q105021514	Ramon I de Cardona	0.90
Q120416	Richilde, Countess of Hainaut	Q466247	Richilde	0.90
Q120706	Eudes	Q65127210	Odo I of Furneaux	0.90
Q121127	Teotone|Oddone, Margrave de Vasto	Q110578342	Oddone, Margrave de Vasto	0.90
Q121346	Ne Vsevolodovna	Q113720022	Ne Всеволодовна	0.90
Q121598	Ottone del Carretto, Marquis of Savona	Q3887340	Ottone del Carretto	0.90
Q121995	Boleslaw Boleslawowic	Q126118056	Bolesław Bolesławowic	0.90
Q122099	Rapoto II, Count of Ortenburg	Q2131591	Rapoto II. im Traungau	0.90
Q122772	Eli IV	Q30887539	Эли IV	0.90
Q125741	Adélaide de Crécy, Dame de Gournay-sur-Marne	Q113134012	Adélaide de Crécy	0.90
Q127126	Jaroslaw Mscislawowic	Q4538775	Ярослав Мстиславич Красный	0.90
Q129181	Mod le Meschin	Q56526057	Мод ле Мешен	0.90
Q129931	Shimei ben Jahath	Q133885934	שמעי בן יחת	0.90
Q133608	Pelasgus	Q1478155	Pelasgos	0.90
Q136037	Gwawr ach Brychan	Q24558760	Gwawr	0.90
Q139465	Bertkhold II (Shvabiia)	Q12273180	Бертхолд II (Швабия)	0.90
Q141156	Emmeline de Chartres	Q112624821	Emmeline	0.90
Q141242	Thorsteinn Thorkelsson	Q16652462	Þorsteinn Þorkelsson	0.90
Q141326	Rivin I fon Dilingen	Q59416749	Ривин I фон Дилинген	0.90
Q141708	St. James the Elder, Apostle	Q43999	雅各	0.90
Q142214	Uil'iam III de Boshan iz Elmli	Q61911553	Уильям III де Бошан из Элмли	0.90
Q143607	Zigfrid I fon Lebenau	Q2283424	Siegfried I.	0.90
Q143737	William, king of Scotland (William the Lion)	Q312594	威廉	0.90
Q146213	Ieuan ab Einion ap Gruffudd, of Cryniarth of Cryniarth	Q96244022	Ieuan ab Einion ap Gruffudd, of Cryniarth	0.90
Q147908	Constantine (son of Basil I)	Q17322879	Konstantin	0.90
Q148243	Emperor Avidius Cassius	Q299291	Awidiusz Kasjusz	0.90
Q149801	Alice de Port	Q63348508	Алиса де Кольевиль	0.90
Q150337	Elizabeth|Matilda Vernon	Q111466276	Elizabeth Vernon	0.90
Q154013	Mummolin of Soissons	Q3038285	Mummolin	0.90
Q154019	Saint Rusticus of Lyon	Q2796896	Rusticus van Lyon	0.90
Q154027	Adelphius Bishop of Limoges	Q4682083	Adelphius	0.90
Q154095	Gaius Julius Sohaemus King of Armenia	Q2983181	Sohemo da Armênia	0.90
Q169723	Vamadeva Gautama	Q4103185	Вамадева	0.90
Q16288	Hoshikawa Kiyouji	Q11605934	細川清氏	0.91
Q37665	Dagi Khatun	Q7076261	答己	0.91
Q45965	Helena Paleologa Cantacuzena	Q61442648	Ευγενία Παλαιολογίνα Καντακουζηνή	0.91
Q108126	Abdullah ibn Urwa	Q108915885	عبد الله بن عروة	0.91
Q108410	Omar ibn Abdullah ibn Urwa	Q130266884	عمر بن عبد الله بن عروة	0.91
Q108458	Khalid ibn Hisham	Q12210063	خالد بن هشام	0.91
Q108740	Hamada bint Issa	Q54875079	حمادة بنت عيسى	0.91
Q109417	Malik ibn Kanānah	Q124773558	ملك بن كنانة	0.91
Q110814	Abd Manat ibn Ad	Q131609375	عبد مناة بن أد	0.91
Q113902	Charles of Francia	Q75382900	Charles of France	0.91
Q119169	Geoffroy de Marseille I	Q3101170	Geoffroy Ier de Marseille	0.91
Q137714	Pompeius/Pompeia	Q55832253	Pompeia	0.91
Q12310	Shinte	Q105988982	真禎	0.92
Q25938	Zǐ Gōng	Q10944105	子工	0.92
Q33340	Dau Ban	Q13390144	Đấu Bàn	0.92
Q66360	Sayyidina Ali ibn Abi Talib	Q39619	阿里·本·阿比·塔利卜	0.92
Q108660	Alqubāʻ	Q12185917	الحارث بن عبد الله بن أبي ربيعة	0.92
Q113542	Ingeberga de Besora	Q123240655	Ingilberga de Besora	0.92
Q113836	Bertrand Aton I, Count of Toulouse	Q547970	Bertrando de Toulouse	0.92
Q114068	Kathlin Hrolfsdottir	Q75384572	Kaðlin Hrólfsdóttir	0.92
Q132023	Lekhes	Q28224981	Leches	0.92
Q136113	Snaebjorn Eyvindsson	Q16635049	Snæbjörn Eyvindsson	0.92
Q136380	Rorek Dagson	Q11703445	Rørek Dagsson	0.92
Q139429	Ulf Thorisson	Q132128931	Úlf Þórisson	0.92
Q151791	Aspagur I of Iberia	Q2715003	Aspagour Ier d'Ibérie	0.92
Q19410	Doan Xac	Q24836655	段确	0.93
Q25940	Zǐ Chéng	Q10944115	子成	0.93
Q29428	Dien Thu	Q24841122	田書	0.93
Q34249	Dien Gia	Q7218113	Điền Giả	0.93
Q76406	Silviana	Q59617969	Силвана	0.93
Q107423	Al-Nabash bin Zarara Al-Tamimi	Q124407064	النباش بن زرارة التميمي	0.93
Q107431	al-Zubayr ibn Abi Hala	Q125493156	الزبير بن أبي هالة	0.93
Q112244	Hilduin of Saint-Bertin	Q19629313	Hilduin (Saint-Bertin)	0.93
Q137576	Gudleifr Arason	Q16573640	Guðleifr Arason	0.93
Q147652	Izyaslav Vladimirovich	Q125178091	Изяслав Владимирович	0.93
Q35594	Nishitōin Tokinao	Q11629030	西洞院時直	0.94
Q29408	Dien Khat	Q4133802	田僖子	0.94
Q29424	Dien Khai	Q4163137	田武子	0.94
Q30238	Dien Hang	Q4120578	田成子	0.94
Q109415	Milkān ibn kinānh	Q124773560	مِلْكان بن كِنَانة	0.94
Q109519	ʻĀmir ibn ʻabd manāh	Q124746826	عامر بن عَبْد مَنَاة	0.94
Q111380	ʻAwf ibn ʻAbd manāh	Q124768733	عوف بن عبد مَنَاة	0.94
Q111382	ʻAdī ibn ʻAbd manāh	Q124768216	عدي بن عبد مَنَاة	0.94
Q112849	Letgarde de Tost	Q24042565	Letgarda de Tost	0.94
Q115478	Folco I di Cardona	Q105063555	Folc I de Cardona	0.94
Q119730	Philip I	Q469588	Filipe da Alsácia	0.94
Q123293	Roger of Vignory	Q85854562	Roger de Vignory	0.94
Q124163	Vertha of Provence	Q60040730	Βέρθα-Ευδοκία της Προβηγκίας	0.94
Q141127	Vidkun de Bjarkoy	Q131459691	Vidkun de Bjarkøy	0.94
Q143713	Asbjorn Selsbane	Q8206264	Asbjørn Selsbane	0.94
Q143717	Erling de Bjarkoy	Q131460045	Erling de Bjarkøy	0.94
Q25712	Ve Dai cong	Q846787	卫戴公	0.95
Q26226	Gongzijia	Q10892692	公子嘉	0.95
Q26662	Trieu Dong	Q15902800	趙同	0.95
Q27246	Li Shu Fei	Q7317017	李淑妃	0.95
Q28758	Dien Vo Vu	Q4163321	田桓子	0.95
Q41092	Taipingne	Q7081525	太平讷	0.95
Q46544	Do Khac Han	Q124261613	Đỗ Khắc Hàn	0.95
Q46564	Van Duc Phu	Q65048977	文德夫人	0.95
Q108576	Al-Musayyib ibn Hazm	Q106313886	المسيب بن حزن	0.95
Q111378	Thawr ibn ʻAbd manāh	Q124745695	ثَوْر بن عبد مَنَاة	0.95
Q120608	Gui I de Rochefort	Q1553735	Gui Ier de Rochefort	0.95
Q126421	Anshcitil de Bessin	Q56598616	Аншитиль де Бессен	0.95
Q137536	Bodvar Vikingr-Karason	Q16539547	Böðvar Víkingr-Kárason	0.95
Q138613	Angharad verch Ednyfed	Q76214323	Angharad ferch Ednyfed	0.95
Q147195	Jaroslaw Ingwarowicz	Q4538774	Ярослав Ингваревич	0.95
Q6812	Kisagai-hime and Umugi-hime	Q11296639	蚶貝比賣與蛤貝比賣	0.96
Q29390	Masakhisa Dota	Q11423803	土田政久	0.96
Q19409	Doan The Hoang	Q24836643	段世弘	0.96
Q21406	Doan Van Thao	Q24836708	段文操	0.96
Q37984	Ikoma Ekhiro	Q109117270	生駒家広	0.96
Q25942	Gōng Zǐ Jiǎo	Q10892761	公子角	0.96
Q26055	Ve Dinh cong	Q613631	卫定公	0.96
Q26538	Lo Dieu cong	Q795880	鲁悼公	0.96
Q26764	Sai Dieu hau	Q10822589	Sái Điệu hầu	0.96
Q30936	Dien Tuong tu	Q16077210	田襄子	0.96
Q33320	Dieu thai tu	Q11073238	悼太子 (秦国)	0.96
Q36635	Hudadiemishi	Q18653360	Hudademishi	0.96
Q46533	Do Thuy Chau	Q10842171	Đỗ Thụy Châu	0.96
Q52607	Uat Tri Si Dau	Q30942826	尉迟俟兜	0.96
Q65280	Cao Thieu Duc	Q11672719	高紹德	0.96
Q72729	Ariobarzanes	Q380371	Ariobarzanes I.a Filorromano	0.96
Q74013	Artaxerxes II of Persia	Q188472	阿尔塔薛西斯二世	0.96
Q74904	Giang Duc Lan	Q67193764	江德驎	0.96
Q76859	Vuong Duc phi	Q8251368	王德妃 (唐文宗)	0.96
Q80104	Lo Dao Khanh	Q30942137	路道慶	0.96
Q88884	Judah ben Solomon al-Harizi	Q1350978	Juda al-Charisi	0.96
Q107758	Qurayba bint Abu Quhafa	Q124711626	قريبة بنت أبي قحافة	0.96
Q107762	Umm Farwa bint Abu Quhafa	Q124214931	أم فروة بنت أبي قحافة	0.96
Q110816	ʻAmrw ibn udd	Q124768606	عَمْرو بن أُدّ	0.96
Q115442	Bakr ibn ashjʻ	Q124745619	بكر بن أشجع	0.96
Q25643	Dong Mon Tuong Trong	Q6377655	东门襄仲	0.97
Q26809	Trinh Dinh cong	Q1441697	郑定公	0.97
Q39247	Renxianzhangsheng	Q7079321	Enxianzhangsheng	0.97
Q46540	Hoang Nghi dai vuong	Q67522436	弘毅大王	0.97
Q54831	Cong chua Tan Do	Q16603436	新都公主	0.97
Q56127	Lazarz Lubartowicz	Q130529662	Лазар Любартавіч	0.97
Q64435	Wahb bin 'Abd Manaf	Q1108581	Wahab ibn Abd al-Manaf	0.97
Q88598	Avraham bar Hiyya	Q31439	Avraham bar Chijja ha-Nasi	0.97
Q108038	al-Abbas ibn Utbah	Q88977398	العباس بن عتبة	0.97
Q108424	Abu Hashim ibn Utbah	Q6538437	أبو هاشم بن عتبة	0.97
Q109515	Asad ibn khuzaymah	Q125098145	أَسَد بن خُزَيْمَة	0.97
Q109525	Rabīʻah ibn Mālik	Q124746249	رَبِيعَة بن مالك	0.97
Q110358	Alghawth ibn murr	Q124768895	الغَوْث بن مُرّ	0.97
Q111374	Saʻd ibn ḍabaah	Q124746411	سَعْد بن ضَبَّة	0.97
Q113983	Adelaide of Troyes	Q6701449	Adelais Werra of Burgundy	0.97
Q140733	Gruffudd ap Iorwerth	Q75961208	Gruffudd ab Iorwerth	0.97
Q27991	Hoang quy phi Duong thi	Q8250693	唐皇贵妃	0.98
Q30773	Doan Hoa Hoang quy phi	Q8250841	王贵妃 (明世宗)	0.98
Q40694	Dap Diec Nhi Ngot Ton	Q64711580	Дайр-Усун	0.98
Q64020	Abd Manaf bin Zuhrah	Q13099896	Abd Manaf ibn Zuhra	0.98
Q75856	Furia Sabina Tranquilina	Q2293889	Tranquillina	0.98
Q107602	Al-Saib ibn al-Awwam	Q20391783	السائب بن العوام	0.98
Q108014	Amah bint Khalid ibn Sa'id	Q25453774	أمة بنت خالد بن سعيد	0.98
Q108722	Zaynab al-Husayniyya	Q12214923	زينب الحسينية	0.98
Q109015	Abd Allah ibn al-Hadi	Q134454911	عبد الله بن الهادي	0.98
Q124495	Alberic II of Dammartin	Q776743	Alberic III de Dammartin	0.98
Q128065	Racibor de Biaogarda	Q870702	Ratibor	0.98
Q108068	Abd al-Muttalib ibn Rabi'a ibn al-Harith	Q28715515	عبد المطلب بن ربيعة بن الحارث	0.99
Q110362	al-Harith ibn Amr ibn Tamim ibn Mur	Q125494591	الحارث بن عمرو بن تميم بن مر	0.99
Q127089	unknown daughter of Iziaslav II of Kyiv	Q75394635	unknown daughter of Iziaslav III of Kyiv	0.99
Q42	Luca	Q849168	último ancestral comum	1.00
Q271	Aparaglossata	Q48970749	Aparaglossata	1.00
Q273	Dermaptera	Q13676	Dermaptera	1.00
Q278	Mantodea	Q131250	螳螂目	1.00
Q485	Halwaxiida	Q5643790	Halwaxiida	1.00
Q30880	Eve	Q830183	夏娃	1.00
Q1676	Tribhuwana Wijayatunggadewi	Q3631722	त्रिभुवन विजयतुंगदेवी	1.00
Q1681	Hayam Wuruk	Q29085	हयाम वुरुक	1.00
Q1684	Raden Wijaya	Q49334	Raden Wijaya	1.00
Q1691	Kertanegara of Singhasari	Q47279	Kertanagara	1.00
Q1815	Balaputra	Q4199265	Balaputradewa	1.00
Q1861	Krishna	Q42891	黑天	1.00
Q153342	Abhimanyu	Q320606	Абхиманью	1.00
Q153343	The Buddha	Q9441	The Buddha	1.00
Q1877	Vasudeva	Q890382	वसुदेव	1.00
Q1888	Arjuna	Q185790	阿周那	1.00
Q1906	Kunti	Q844424	कुन्ती	1.00
Q1924	Kashyapa	Q1513261	कश्यप	1.00
Q1930	Diti	Q1230306	Дити	1.00
Q1939	Marichi	Q241908	Marichi	1.00
Q1944	Shantanu	Q1973947	Santanu	1.00
Q2074	Devabhuti	Q3878846	ਦੇਵਾਭੂਤੀ	1.00
Q2076	Bharata	Q1377025	भरत	1.00
Q153479	Nahusha	Q2633157	Nahusa	1.00
