child_qid	child_label	n_parents	parent_qids
Q116032	Theresa of Portugal	3	Q104129,Q106750,Q118403
Q116038	Mafalda of Portugal	3	Q104129,Q106750,Q118403
Q116040	Sancha of Portugal I	3	Q104129,Q106750,Q118403
Q116243	Pippin	3	Q115524,Q115652,Q205540
Q116343	Henry II, Holy Roman Emperor	3	Q113906,Q114133,Q205982
Q116369	Otto I, Duke of Swabia and Bavaria	3	Q113916,Q116367,Q205512
Q116441	Odo, Count of Penthièvre	3	Q113940,Q116437,Q206041
Q116573	Reginar III, Count of Hainaut	3	Q116313,Q120079,Q207397
Q116587	Arnulf II, count of Flanders	3	Q114103,Q116745,Q206631
Q116589	Baldwin IV	3	Q113990,Q116587,Q205068
Q116805	Stephen	3	Q114141,Q116801,Q206652
Q116879	Judith of Flanders, Countess of Northumbria	3	Q114201,Q116589,Q206121
Q116891	William IV of Burgundy	3	Q114211,Q116887,Q206650
Q116893	Marguerite de Bourgogne	3	Q114211,Q116887,Q206650
Q116903	Baldwin VII, Count of Flanders	3	Q114215,Q116899,Q205344
Q117193	Judith of Bavaria, Duchess of Swabia	3	Q120830,Q121396,Q206096
Q117203	Judith of Hohenstaufen	3	Q114325,Q117193,Q117195
Q117327	Sybilla of Normandy	3	Q115966,Q119555,Q205661
Q117331	Reginald de Dunstanville, 1st Earl of Cornwall	3	Q115966,Q119555,Q205294
Q117335	Robert, 1st Earl of Gloucester	3	Q115966,Q119555,Q206950
Q117337	Fulk FitzRoy	3	Q115966,Q119553,Q205487
Q118220	Foy	3	Q115706,Q205229,Q206478
Q118394	Constans	3	Q61334,Q61367,Q62555
Q118457	Urraca  Bermudez	3	Q101447,Q104139,Q104471
Q118474	Gratian	3	Q123624,Q166660,Q73089
Q118555	Maria  Soares	3	Q101111,Q104194,Q105235
Q118743	William V, Duke of Aquitaine	3	Q110982,Q110984,Q205619
Q118847	N.N.	3	Q104319,Q104407,Q104495
Q118858	Nyi Ageng Ngerang III	3	Q115450,Q118854,Q162170
Q118869	Estefania  Ermengol de Urgell	3	Q104427,Q107214,Q118867
Q118871	Pedro  de Urgel	3	Q104427,Q107214,Q118867
Q118873	Teresa d'Urgell, Comtessa consort de Cerdanya	3	Q104427,Q107214,Q118867
Q118875	Dona Maria  de Armengol	3	Q104427,Q107214,Q118867
Q118938	Carloman of Bavaria	3	Q115520,Q115754,Q205527
Q118944	Charles the Fat	3	Q115520,Q115754,Q205527
Q119489	Arduin of Ivrea	3	Q124771,Q206985,Q208265
Q119996	Hugh II, Count of Maine	3	Q116231,Q125490,Q208594
Q120287	Richard of Salerno	3	Q116473,Q120285,Q206929
Q120406	Matilda of Tuscany	3	Q116559,Q120402,Q206722
Q120508	Anscar of Ivrea	3	Q126091,Q205189,Q208672
Q120830	Henry IX, Duke of Bavaria	3	Q116879,Q120824,Q205100
Q120834	Skuli Tostisson Kongsfostre	3	Q116879,Q120822,Q206027
Q121197	Ida of Lorraine	3	Q120404,Q125949,Q206767
Q121398	Welf VI, Margrave of Tuscany	3	Q120830,Q121396,Q206096
Q121586	Manfred II of Saluzzo	3	Q126807,Q205436,Q206231
Q123355	Guaimar III of Salerno	3	Q143444,Q205389,Q208230
Q123357	Gaitelgrima di Benevento	3	Q143446,Q205110,Q205501
Q123379	Ingegerd Knutsdotter of Denmark	3	Q118212,Q123257,Q206831
Q123509	Gomes Pais da Silva	3	Q100850,Q101451,Q103215
Q123556	Constantina	3	Q61334,Q61367,Q62555
Q123558	Helena	3	Q61334,Q61367,Q62555
Q123560	Constantius II	3	Q61334,Q61367,Q62555
Q123562	Constantine II	3	Q61334,Q61367,Q62555
Q123564	Crispus	3	Q136512,Q61367,Q62555
Q123632	Constantia	3	Q123560,Q136835,Q61041
Q123964	Ki Ageng Panjawi	3	Q118858,Q123962,Q162889
Q124163	Vertha of Provence	3	Q119085,Q205923,Q206702
Q124265	Urraca Mendes de Sousa	3	Q104149,Q119197,Q124257
Q124267	Garcia Mendes II de Sousa	3	Q104149,Q119197,Q124257
Q124269	Rodrigo Mendes de Sousa	3	Q104149,Q119197,Q124257
Q124281	Martim Viegas de Ataíde	3	Q101189,Q119203,Q124279
Q125110	Ponço Afonso de Baião	3	Q103325,Q119706,Q125106
Q125138	João Afonso Telo de Meneses	3	Q106710,Q118363,Q119720
Q125140	Afonso Telo de Meneses	3	Q106710,Q118363,Q119720
Q129331	Kemuel	3	Q4675,Q4676,Q60372
Q129333	Uz	3	Q4675,Q4676,Q60372
Q129335	Buz	3	Q4675,Q4676,Q60372
Q129337	Chesed	3	Q4675,Q4676,Q60372
Q129339	Hazo	3	Q4675,Q4676,Q60372
Q129341	Pildash	3	Q4675,Q4676,Q60372
Q129345	Jidlaph	3	Q4675,Q4676,Q60372
Q130001	Georg Friedrich of Hohenlohe-Neuenstein-Weikersheim	3	Q74970,Q74973,Q90309
Q130003	Europa	3	Q74970,Q74973,Q90309
Q130005	Amphitrite	3	Q74970,Q74973,Q90309
Q130007	Metis	3	Q74970,Q74973,Q90309
Q130009	Tyche	3	Q74970,Q74973,Q90309
Q130011	Philyra	3	Q74970,Q74973,Q90309
Q130013	Aethra	3	Q74970,Q74973,Q90309
Q130015	Pleione	3	Q74970,Q74973,Q90309
Q130017	Styx	3	Q74970,Q74973,Q90309
Q130019	Asia	3	Q74970,Q74973,Q90309
Q130021	Chryseis	3	Q74970,Q74973,Q90309
Q130023	Peitho	3	Q74970,Q74973,Q90309
Q130025	Rhodos	3	Q74970,Q74973,Q90309
Q130027	Plouto	3	Q74970,Q74973,Q90309
Q130029	Doris	3	Q74970,Q74973,Q90309
Q130031	Clytie	3	Q74970,Q74973,Q90309
Q130033	Callirhoe	3	Q74970,Q74973,Q90309
Q130035	Enipeus	3	Q74970,Q74973,Q90309
Q130037	Lysithea	3	Q74970,Q74973,Q90309
Q130039	Telesto	3	Q74970,Q74973,Q90309
Q130041	Eidyia	3	Q74970,Q74973,Q90309
Q130043	Periboea	3	Q74970,Q74973,Q90309
Q130045	Acaste	3	Q74970,Q74973,Q90309
Q130047	Bolbe	3	Q74970,Q74973,Q90309
Q130049	Ceto	3	Q74970,Q74973,Q90309
Q130051	Zeuxo	3	Q74970,Q74973,Q90309
Q130053	Admete	3	Q74970,Q74973,Q90309
Q130055	Eurynome	3	Q74970,Q74973,Q90309
Q130065	Alpheus	3	Q74970,Q74973,Q90309
Q130067	Scamander	3	Q74970,Q74973,Q90309
Q130069	Sangarius	3	Q74970,Q74973,Q90309
Q130071	Peneus	3	Q74970,Q74973,Q90309
Q130073	Cebren	3	Q74970,Q74973,Q90309
Q130075	Meander	3	Q74970,Q74973,Q90309
Q130077	Simoeis	3	Q74970,Q74973,Q90309
Q130079	Spercheus	3	Q74970,Q74973,Q90309
Q130081	Strymon	3	Q74970,Q74973,Q90309
Q130083	Asterion	3	Q74970,Q74973,Q90309
Q130085	Axius	3	Q74970,Q74973,Q90309
Q130091	Dione	3	Q74970,Q74973,Q90309
Q130093	Capheira	3	Q74970,Q74973,Q90309
Q130095	Ianthe	3	Q74970,Q74973,Q90309
Q130097	Electra	3	Q74970,Q74973,Q90309
Q130099	Argeia	3	Q74970,Q74973,Q90309
Q130101	Crinisus	3	Q74970,Q74973,Q90309
Q130103	Eridanos	3	Q74970,Q74973,Q90309
Q130105	Asopus	3	Q74970,Q74973,Q90309
Q130107	Aeas	3	Q74970,Q74973,Q90309
Q130109	Ardescus	3	Q74970,Q74973,Q90309
Q130111	Aegaeus	3	Q74970,Q74973,Q90309
Q130113	Aesar	3	Q74970,Q74973,Q90309
Q130115	Aesepus	3	Q74970,Q74973,Q90309
Q130119	Istrus	3	Q74970,Q74973,Q90309
Q130121	Asterope	3	Q74970,Q74973,Q90309
Q130123	Caicus	3	Q74970,Q74973,Q90309
Q130125	Daeira	3	Q74970,Q74973,Q90309
Q130127	Caanthus	3	Q74970,Q74973,Q90309
Q130129	Zeuxippe	3	Q74970,Q74973,Q90309
Q130131	Creusa	3	Q74701,Q74973,Q90309
Q130133	Termessus	3	Q74970,Q74973,Q90309
Q130135	Symaithos	3	Q74970,Q74973,Q90309
Q130137	Phyllis	3	Q74970,Q74973,Q90309
Q130139	Kydnos	3	Q74970,Q74973,Q90309
Q130141	Cladeus	3	Q74970,Q74973,Q90309
Q130143	Chremetes	3	Q74970,Q74973,Q90309
Q130145	Clitumnus	3	Q74970,Q74973,Q90309
Q130149	Caystrus	3	Q74970,Q74973,Q90309
Q130151	Ismenus	3	Q74970,Q74973,Q90309
Q130153	Hermus	3	Q74970,Q74973,Q90309
Q130155	Hydaspes	3	Q74970,Q74973,Q90309
Q130157	Hebrus	3	Q74970,Q74973,Q90309
Q130161	Granicus	3	Q74970,Q74973,Q90309
Q130163	Borysthenes	3	Q74970,Q74973,Q90309
Q130165	Baphyras	3	Q74970,Q74973,Q90309
Q130167	Brychon	3	Q74970,Q74973,Q90309
Q130169	Elisson	3	Q74970,Q74973,Q90309
Q130171	Erasinos	3	Q74970,Q74973,Q90309
Q130173	Ascanius	3	Q74970,Q74973,Q90309
Q130175	Apidanus	3	Q74970,Q74973,Q90309
Q130177	Anaurus	3	Q74970,Q74973,Q90309
Q130179	Anigrus	3	Q74970,Q74973,Q90309
Q130181	Anapos	3	Q74970,Q74973,Q90309
Q130183	Amnisus	3	Q74970,Q74973,Q90309
Q130203	Klytia	3	Q74970,Q74973,Q90309
Q130207	Phasis	3	Q74970,Q74973,Q90309
Q130209	Ocyrhoe	3	Q74970,Q74973,Q90309
Q130217	Almo	3	Q74970,Q74973,Q90309
Q130219	Galaxaura	3	Q74970,Q74973,Q90309
Q130221	Hippo	3	Q74970,Q74973,Q90309
Q130229	Coryphe	3	Q74970,Q74973,Q90309
Q130231	Dmia	3	Q130562,Q74973,Q90309
Q130233	Dodone	3	Q74970,Q74973,Q90309
Q130239	Evagore	3	Q74970,Q74973,Q90309
Q130241	Eudore	3	Q74970,Q74973,Q90309
Q130243	Evenus	3	Q74970,Q74973,Q90309
Q130245	Euphrates	3	Q74970,Q74973,Q90309
Q130247	Ganges	3	Q74970,Q74973,Q90309
Q130249	Pactolus	3	Q74970,Q74973,Q90309
Q130251	Okeanid	3	Q74970,Q74973,Q90309
Q130253	Cerceis	3	Q74970,Q74973,Q90309
Q130255	Amphiro	3	Q74970,Q74973,Q90309
Q130256	Plexaure	3	Q74970,Q74973,Q90309
Q130258	Thrace	3	Q130996,Q74973,Q90309
Q130260	Pasithoe	3	Q74970,Q74973,Q90309
Q130262	Thoe	3	Q74970,Q74973,Q90309
Q130264	Ianire	3	Q74970,Q74973,Q90309
Q130266	Argie	3	Q74970,Q74973,Q90309
Q130268	Xanthe	3	Q74970,Q74973,Q90309
Q130270	Menestho	3	Q74970,Q74973,Q90309
Q130272	Melobosis	3	Q74970,Q74973,Q90309
Q130284	Potamoi	3	Q74970,Q74973,Q90309
Q130286	Camarina	3	Q74970,Q74973,Q90309
Q130288	Kleio	3	Q74970,Q74973,Q90309
Q130290	Kretheis	3	Q74970,Q74973,Q90309
Q130292	Kytheros	3	Q74970,Q74973,Q90309
Q130294	Pleistos	3	Q74970,Q74973,Q90309
Q130296	Ilissos	3	Q74970,Q74973,Q90309
Q130322	unknown	3	Q1952,Q2151,Q2152
Q130472	Lyssa	3	Q130498,Q74698,Q74720
Q130538	Dolos	3	Q130392,Q130498,Q74720
Q130572	Ceres	3	Q132028,Q74677,Q74680
Q130582	Atlas	3	Q130019,Q75225,Q90374
Q130606	Horae	3	Q74656,Q75054,Q90317
Q130608	Hesperides	3	Q130498,Q74656,Q74720
Q130610	Adrasteia	3	Q74656,Q75054,Q90317
Q130612	Eirene	3	Q74656,Q75054,Q90317
Q130614	Dike	3	Q74656,Q75054,Q90317
Q130616	Eunomia	3	Q74656,Q75054,Q90317
Q130618	Astraea	3	Q74656,Q75054,Q90317
Q130620	Clotho	3	Q130498,Q74656,Q74720
Q130622	Lachesis	3	Q130498,Q74656,Q74720
Q130624	Atropos	3	Q130498,Q74656,Q74720
Q130626	Themides	3	Q74656,Q75054,Q90317
Q130628	Dysis	3	Q74656,Q75054,Q90317
Q130630	Auxo	3	Q74656,Q75054,Q90317
Q130632	Thallo	3	Q74656,Q75054,Q90317
Q130634	Arctus	3	Q74656,Q75054,Q90317
Q130636	Carpo	3	Q74656,Q75054,Q90317
Q130638	Acme	3	Q74656,Q75054,Q90317
Q130640	Phaethon	3	Q130598,Q75192,Q90476
Q130642	Aegiale	3	Q130598,Q75192,Q90476
Q130646	Dioxippe	3	Q130598,Q75192,Q90476
Q130648	Hellen	3	Q132042,Q75153,Q90478
Q130650	Helia	3	Q130598,Q75192,Q90476
Q130970	Astris	3	Q130598,Q75192,Q90476
Q131432	Thalassa	3	Q130392,Q74701,Q74720
Q131434	Aura	3	Q132070,Q74701,Q74720
Q131596	Hesperis	3	Q130498,Q130590,Q74720
Q131713	Artemis	3	Q131510,Q131516,Q74656
Q132047	Chimaereus	3	Q130710,Q75195,Q90388
Q132048	Lycus	3	Q130710,Q75195,Q90388
Q132057	Merope	3	Q130598,Q75192,Q90476
Q132064	Aetheria	3	Q130598,Q75192,Q90476
Q132098	Amphictyon	3	Q132042,Q75153,Q90478
Q132099	Orestheus	3	Q132042,Q75153,Q90478
Q132100	Thyia	3	Q132042,Q75153,Q90478
Q132101	Melantho daughter of Deucalion	3	Q132042,Q75153,Q90478
Q132102	Protogeneia	3	Q132042,Q75153,Q90478
Q132103	Haemone	3	Q132042,Q75153,Q90478
Q132104	Candybus	3	Q132042,Q75153,Q90478
Q132105	Pandora	3	Q132042,Q75153,Q90478
Q132107	Fraus	3	Q130652,Q132106,Q74717
Q132108	Somnus	3	Q130652,Q132106,Q74717
Q132139	Penelope	3	Q133344,Q73380,Q90277
Q132271	Cleopatra	3	Q131028,Q132255,Q74973
Q132272	Autonoe	3	Q131028,Q132255,Q74973
Q132273	Eurydice	3	Q131028,Q132255,Q74973
Q132274	Euippe	3	Q131028,Q132255,Q74973
Q132275	Bryce	3	Q131028,Q132255,Q74973
Q132276	Antheleia	3	Q131028,Q132255,Q74973
Q132277	Stygne	3	Q131028,Q132255,Q74973
Q132278	Theano	3	Q131028,Q132255,Q74973
Q132279	Electra	3	Q131028,Q132255,Q74973
Q132280	Glaucippe	3	Q131028,Q132255,Q74973
Q132281	Cleodore	3	Q131028,Q132255,Q74973
Q132282	Erato	3	Q131028,Q132255,Q74973
Q132731	Janus	3	Q132028,Q134028,Q74680
Q132786	Phobetor	3	Q130498,Q131556,Q74720
Q133104	Amymone	3	Q132255,Q133463,Q74973
Q133168	Celaeno	3	Q132255,Q133468,Q74973
Q133254	Hymnus	3	Q132028,Q134028,Q74680
Q133255	Felix	3	Q132028,Q134028,Q74680
Q133256	Faustus	3	Q132028,Q134028,Q74680
Q133346	Thoon	3	Q133344,Q134310,Q73380
Q133471	Automate	3	Q132255,Q133463,Q74973
Q133472	Cleopatra	3	Q132255,Q133467,Q74973
Q133473	Gorgophone	3	Q132255,Q133464,Q74973
Q133474	Chrysippe	3	Q132255,Q133465,Q74973
Q133475	Adiante	3	Q132255,Q133470,Q74973
Q133476	Clite	3	Q132255,Q133465,Q74973
Q133477	Sthenele	3	Q132255,Q133465,Q74973
Q133478	Hyperippe	3	Q132255,Q133468,Q74973
Q133479	Phartis	3	Q132255,Q133469,Q74973
Q133480	Callidice	3	Q132255,Q133468,Q74973
Q133481	Oeme	3	Q132255,Q133468,Q74973
Q133482	Scaea	3	Q132255,Q133463,Q74973
Q133483	Dioxippe	3	Q132255,Q133462,Q74973
Q133484	Actaea	3	Q132255,Q133462,Q74973
Q133485	Podarce	3	Q132255,Q133462,Q74973
Q133486	Pylarge	3	Q132255,Q133462,Q74973
Q133487	Adite	3	Q132255,Q133462,Q74973
Q133488	Ocypete	3	Q132255,Q133462,Q74973
Q133489	Hippodamia	3	Q132255,Q133467,Q74973
Q133490	Gorge	3	Q132255,Q133467,Q74973
Q133491	Iphimedusa	3	Q132255,Q133467,Q74973
Q133492	Pirene	3	Q132255,Q133469,Q74973
Q133493	Glauce	3	Q132255,Q133467,Q74973
Q133494	Rhodia	3	Q132255,Q133467,Q74973
Q133495	Rhode	3	Q132255,Q133467,Q74973
Q133496	Dorion	3	Q132255,Q133469,Q74973
Q133497	Nelo	3	Q132255,Q133469,Q74973
Q133498	Mnestra	3	Q132255,Q133469,Q74973
Q133499	Evippe	3	Q132255,Q133469,Q74973
Q133500	Agave	3	Q132255,Q133463,Q74973
Q133501	Hippomedusa	3	Q132255,Q133467,Q74973
Q133502	Asteria	3	Q132255,Q133467,Q74973
Q133503	Hypermnestra	3	Q132255,Q133464,Q74973
Q133504	Anaxibie	3	Q132255,Q133469,Q74973
Q133506	Hippodice	3	Q132255,Q133470,Q74973
Q134219	Hippasus	3	Q74937,Q90329,Q90414
Q134311	Thoas	3	Q133344,Q73380,Q90277
Q134312	Perileos	3	Q133344,Q73380,Q90277
Q134314	Amasichus	3	Q133344,Q134310,Q73380
Q134315	Phalereus	3	Q133344,Q134310,Q73380
Q134316	Pheremmelias	3	Q133344,Q134310,Q73380
Q134317	Alyzeus	3	Q133344,Q133345,Q73380
Q134318	Damasippus	3	Q133344,Q73380,Q90277
Q134319	Imeusimos	3	Q133344,Q73380,Q90277
Q134320	Aletes	3	Q133344,Q73380,Q90277
Q134321	Leucadius	3	Q133344,Q133345,Q73380
Q135184	Manasseh of Judah	3	Q38070,Q4633,Q60243
Q135223	Alexander the Great	3	Q135177,Q135218,Q165964
Q135225	Cleopatra of Macedon	3	Q135177,Q135218,Q165964
Q135294	Darius I of Persia	3	Q135293,Q74296,Q74299
Q135406	Jehoiakim	3	Q135301,Q4626,Q60222
Q135409	Johanan	3	Q135301,Q4626,Q60222
Q135432	Leonidas I	3	Q135318,Q167003,Q167021
Q135539	Jeconiah	3	Q135406,Q4618,Q60198
Q135746	Agathoclea	3	Q135600,Q135745,Q29939
Q135918	Ptolemy Apion	3	Q136154,Q73038,Q73197
Q136139	Harmonia	3	Q135908,Q165788,Q165853
Q136824	Constantius Gallus	3	Q61235,Q61301,Q99314
Q136825	daughter of Julius Constantius	3	Q61235,Q61301,Q99314
Q136827	Julian	3	Q136823,Q61301,Q99314
Q137592	Pepin, Count of Vermandois	3	Q115552,Q118973,Q205174
Q137731	Artabanus II	3	Q137174,Q137727,Q29360
Q141666	Pheroras	3	Q78348,Q78351,Q99725
Q141667	Phasael	3	Q78348,Q78351,Q99725
Q141668	Salome I	3	Q78348,Q78351,Q99725
Q141768	Lucius Plautius Lamia Silvanus	3	Q144370,Q76666,Q76669
Q143493	Ramiro II of León	3	Q75438,Q99895,Q99907
Q143971	Theodora II of Tusculum	3	Q143969,Q143970,Q205798
Q144247	Octavia Sergia Plautilla	3	Q144242,Q70122,Q70685
Q146960	Nuño Pérez de Lara	3	Q104246,Q104767,Q112885
Q147893	Crescentius the Elder	3	Q143971,Q147889,Q207193
Q148330	Aurelia Antonina	3	Q148328,Q151863,Q166259
Q152902	Seizapter the sixteen-gilled	3	Q2782,Q30614,Q54184
Q152945	Onka Onychodontidae	3	Q152944,Q30767,Q54336
Q152973	Adam Y Chromosomal Adam	3	Q105575574,Q1131,Q30876
Q153203	Rajasawardhana Sang Sinagara Placeholder surname	3	Q153206,Q1665,Q48227
Q153214	Adwayawarman \ Adwaya Brahman (Rakyan Maha menteri Singosari) Adwaya Brahman (Rakyan Maha menteri Singosari) Adwaya Brahman (Rakyan Maha menteri Singosari)	3	Q153218,Q48315,Q48319
Q153215	Puti Reno Marak \ Dara Jingga [EM] . . . . . . . Dara Jingga [EM]	3	Q153219,Q48323,Q48331
Q153217	Dyah Wiyat Wijaya	3	Q1683,Q1684,Q48279
Q153218	Ranggawuni Singsari Placeholder surname	3	Q1699,Q48347,Q48367
Q153226	Maharaja Sriwijaya Sanggarama Placeholder surname	3	Q153231,Q48464,Q48468
Q153249	Resi Getayu, Purwotjarito III Placeholder surname	3	Q1745,Q48650,Q48654
Q153354	Mahamaya Gautama	3	Q1908,Q49488,Q49492
Q153359	Shurasena Arjuna	3	Q153373,Q160445,Q49508
Q153368	PANDU	3	Q153382,Q49537,Q49541
Q153373	Kartavirya ARJUNA (Yadavas)	3	Q153384,Q160474,Q49566
Q153384	Krtavirya Dhanaka	3	Q153395,Q160500,Q49614
Q153390	DAKSHA (reborn as DAKSHA) Prachetas	3	Q1955,Q49634,Q49638
Q153392	SATYAVATI (twin) Matsyagandhi Uparichara	3	Q153399,Q49646,Q49650
Q153395	Dhanaka Bhadrasena	3	Q153401,Q160524,Q49663
Q153401	BHADRASENA MAHISMAN	3	Q153412,Q160550,Q49735
Q153428	Maharaja Tarumanagara V - Indrawarman (455-515) Placeholder surname	3	Q153435,Q153436,Q49863
Q153443	ANGA Ulmukha	3	Q2034,Q50064,Q50068
Q153469	Yadu-Yadav	3	Q153472,Q153473,Q160753
Q153473	YAYATI Nahusha	3	Q153479,Q153480,Q160774
Q153480	VIRAJA Nahusha	3	Q153492,Q50076,Q50080
Q153485	BRIHADASVA of Kosala Placeholder surname	3	Q2623,Q29951,Q53522
Q153578	SHIGRASVA of Kosala Placeholder surname	3	Q2628,Q29971,Q53542
Q160004	Rajasawardhana Sang Sinagara	3	Q160008,Q160009,Q160010
Q160029	Gayatri Rajapatni	3	Q160042,Q160043,Q160044
Q160031	Adwayawarman \ Adwaya Brahman (Rakyan Maha menteri Singosari) Adwaya Brahman (Rakyan Maha menteri Sin	3	Q160047,Q160048,Q160049
Q160032	Puti Reno Marak \ Dara Jingga [EM] Dara Jingga [EM]	3	Q160050,Q160051,Q160052
Q160045	Dyah Lembu Tal (Singhamurti)	3	Q160063,Q160064,Q160065
Q160082	Raja Kediri X - Mahesa Wong Ateleng (1222-1230)	3	Q160100,Q160101,Q160102
Q160099	Tunggul Ametung	3	Q160113,Q160114,Q160115
Q160404	ARJUNA Partha Pandava	3	Q160432,Q160433,Q160434
Q160433	KUNTI aka PREETHA Pandu	3	Q153359,Q160461,Q49440
Q160434	PANDU Kuru	3	Q160462,Q160463,Q160464
Q160494	SATYAVATI Matsyagandhi	3	Q160516,Q160517,Q160518
Q160586	Maharaja Tarumanagara V - Indrawarman (455-515)	3	Q160604,Q160605,Q160606
Q160605	Maharaja Tarumanagara IV - Wisnuwarman (434-455)	3	Q160627,Q160628,Q160629
Q1607	Gerreiformes (mojarras)	3	Q153148,Q62693,Q6354
Q160765	PUSHPARNAN	3	Q160786,Q160787,Q160788
Q160897	PRASUTI Manu	3	Q160534,Q160535,Q160912
Q160928	Swammbhu Brambha	3	Q160946,Q160947,Q160948
Q161249	JARASANDHA Brihadratha	3	Q161254,Q161255,Q161256
Q161280	RAGHU Dirghabahu	3	Q161283,Q161284,Q161285
Q161536	Raden Joko Kahiman \ Adipati Warga Utama II (1582-1583) \ ADIPATI MARAPAT [Versi 1 ARI] Adipati Warga Utama II (1582-1583)	3	Q161478,Q162262,Q171463
Q161566	PRABU HAYAM WURUK ( MAJAPAHIT RAJASA )	3	Q161506,Q161743,Q171326
Q161567	Dewi Wukut	3	Q161506,Q161743,Q171326
Q161568	Dewi Sitisari	3	Q161506,Q161743,Q171326
Q161569	Dewi Subasiti	3	Q161506,Q161743,Q171326
Q161572	DARA PETAK \ DARA PETHAK \ INDRESWARI ( SRI TINUHENG PURA ) DARA PETHAK	3	Q160051,Q160052,Q171395
Q161658	Maharaja Parameswara @ Raja Iskandar Shah Paduka Sri Ratna Vira Vikrama di-Raja	3	Q160051,Q162275,Q171395
Q162252	Abdul Qodir Abdul Rahim (Aria Teja-Bupati Tuban)	3	Q113366,Q161949,Q171562
Q162256	Syarifah Siti Musallimah .	3	Q113366,Q161949,Q171562
Q162346	Pangeran Tanpa Nangkil bin RM Kadawung	3	Q162029,Q162960,Q163603
Q162352	PA. Pringgoloyo I ? (Raden Mas Djulig)	3	Q162029,Q162960,Q163603
Q162368	RM. Prabu Singajiwa Kusumah (Cipajaran Tamanjaya Gobras Cibeureum)	3	Q162051,Q163000,Q163426
Q162465	Nyi Ageng Selo II\ Nyi Bicak (Rara Kinasih) Nyi Bicak	3	Q162167,Q162169,Q162192
Q162492	Ki Ageng Ngenis (Bagus Anis)	3	Q162191,Q162193,Q162465
Q162527	Pnbh Ratu-1 Pgr. Emas \ Sultan Hadji (Sultan Cirebon-2) Sultan Hadji (Sultan Cirebon-2)	3	Q162218,Q162420,Q163093
Q162529	Pangeran Manis	3	Q162218,Q163093,Q163095
Q165069	Berenice Baktriai	3	Q165067,Q165068,Q165078
Q165397	Ptolemy Memphites	3	Q73038,Q73194,Q73197
Q165399	Ptolemy Apion King of Cyrene	3	Q136154,Q73038,Q73197
Q165403	Ptolemy X Alexander I (107-88 BC)	3	Q73038,Q73197,Q78719
Q165405	N.N.	3	Q73038,Q73197,Q78719
Q165406	Laodice .	3	Q73038,Q73197,Q78719
Q165408	Ptolemy Lathyrus Alexander Lagid .	3	Q73038,Q73197,Q78719
Q165409	Menneus .	3	Q73038,Q73197,Q78719
Q166466	Aquilin De Lyon	3	Q154036,Q166406,Q166465
Q1676	Tribhuwana Wijayatunggadewi	3	Q1683,Q1684,Q48279
Q168	Dikar	3	Q149,Q165,Q169
Q168299	Cornelia Corner	3	Q168077,Q168079,Q168294
Q169531	BHIMA Vayuputra	3	Q160433,Q160434,Q169533
Q169532	YUDHISHTIRA Dharmaputra	3	Q160433,Q160434,Q160673
Q169601	NAKULA (twin) Asviniputra	3	Q160434,Q169295,Q169600
Q169602	SAHADEVA (twin) Asviniputra	3	Q160434,Q169295,Q169600
Q169648	DHRITARASHTRA	3	Q160463,Q160464,Q169647
Q169733	Sunaka	3	Q169456,Q169732,Q169734
Q170135	MARUTI \ HANUMAN HANUMAN	3	Q169722,Q170134,Q170136
Q170352	SHATRUGHNA (twin) Dasharatha	3	Q170564,Q170565,Q2319
Q170364	MAKARDHWAJA	3	Q170135,Q170363,Q170487
Q170563	SANTHA Rushyashringa	3	Q171069,Q2319,Q51372
Q1713	Tunggul Ametung	3	Q153236,Q153237,Q48501
Q171350	Bong Tak Keng (King of Kauthara Champa)	3	Q171417,Q171418,Q171419
Q1815	Balaputra	3	Q153306,Q160331,Q160332
Q1877	Vasudeva	3	Q153359,Q170603,Q49440
Q1893	Suppabuddha	3	Q1908,Q49488,Q49492
Q1952	Creator BRAHMA	3	Q153405,Q49687,Q49691
Q195277	Semerkhet	3	Q195216,Q195217,Q195219
Q208301	Ruthilde	3	Q114141,Q206162,Q208861
Q2227	Susandhi, King of Kosala	3	Q2627,Q29967,Q53538
Q2335	Anshuman	3	Q28416,Q51422,Q52372
Q2349	SINDHU DWEEP	3	Q28477,Q51462,Q52432
Q2384	TRASADASYU 1	3	Q28994,Q51512,Q52560
Q2408	North Indo European languages	3	Q2380,Q51516,Q52540
Q2412	Pouru Chishti Kayan	3	Q29136,Q51572,Q52701
Q2419	South Indo European Languages	3	Q2380,Q51516,Q52540
Q2427	Tocharian languages	3	Q2380,Q51516,Q52540
Q2494	Mursili II	3	Q2497,Q51890,Q53018
Q2498	Arnuwanda II	3	Q2497,Q51890,Q53018
Q2506	Muwatti	3	Q2497,Q51906,Q53018
Q2514	Asmu-nikal	3	Q29517,Q51930,Q53090
Q2516	Arnuwanda I	3	Q29517,Q51930,Q53090
Q275	Orthopter	3	Q152934,Q30727,Q54296
Q276	Dictyoptera	3	Q152935,Q30731,Q54300
Q28276	NABHA  Nala	3	Q161239,Q28292,Q51326
Q28300	SAHADEVA of Magadha  Jarasandha	3	Q28308,Q51331,Q52264
Q28332	King of Mithila	3	Q28344,Q51387,Q52300
Q28388	DILIPA 1  Anshuman	3	Q2335,Q51417,Q52360
Q28416	ASAMANJA  Sagara	3	Q28429,Q51427,Q52384
