verdict	side	parent	parent_kind	child	child_kind
BOTH-REAL	child-only	Q113653	real	Q101131	real
BOTH-REAL	child-only	Q113655	real	Q101133	real
BOTH-REAL	child-only	Q113657	real	Q101133	real
BOTH-REAL	child-only	Q113659	real	Q103353	real
BOTH-REAL	child-only	Q113659	real	Q103355	real
BOTH-REAL	child-only	Q113659	real	Q103357	real
BOTH-REAL	child-only	Q113659	real	Q103361	real
BOTH-REAL	child-only	Q113661	real	Q103365	real
BOTH-REAL	child-only	Q113661	real	Q103367	real
BOTH-REAL	child-only	Q113661	real	Q103369	real
BOTH-REAL	child-only	Q113669	real	Q101137	real
BOTH-REAL	child-only	Q113671	real	Q103389	real
BOTH-REAL	child-only	Q113671	real	Q103391	real
BOTH-REAL	child-only	Q113671	real	Q103393	real
BOTH-REAL	child-only	Q113671	real	Q103395	real
BOTH-REAL	child-only	Q113671	real	Q103397	real
BOTH-REAL	child-only	Q113673	real	Q103321	real
BOTH-REAL	child-only	Q113673	real	Q103323	real
BOTH-REAL	child-only	Q113677	real	Q103401	real
BOTH-REAL	child-only	Q113677	real	Q103403	real
BOTH-REAL	child-only	Q113677	real	Q103405	real
BOTH-REAL	child-only	Q113677	real	Q103409	real
BOTH-REAL	child-only	Q113679	real	Q102020	real
BOTH-REAL	child-only	Q113681	real	Q103427	real
BOTH-REAL	child-only	Q113681	real	Q103429	real
BOTH-REAL	child-only	Q113681	real	Q103431	real
BOTH-REAL	child-only	Q113685	real	Q103447	real
BOTH-REAL	child-only	Q113689	real	Q103453	real
BOTH-REAL	child-only	Q113689	real	Q103455	real
BOTH-REAL	child-only	Q113693	real	Q103459	real
BOTH-REAL	child-only	Q113697	real	Q103471	real
BOTH-REAL	child-only	Q113697	real	Q103473	real
BOTH-REAL	child-only	Q113697	real	Q103475	real
BOTH-REAL	child-only	Q113701	real	Q103491	real
BOTH-REAL	child-only	Q113701	real	Q103493	real
BOTH-REAL	child-only	Q113701	real	Q103495	real
BOTH-REAL	child-only	Q113703	real	Q103499	real
BOTH-REAL	child-only	Q113707	real	Q103503	real
BOTH-REAL	child-only	Q113707	real	Q103505	real
BOTH-REAL	child-only	Q113707	real	Q103507	real
BOTH-REAL	child-only	Q113711	real	Q101149	real
BOTH-REAL	child-only	Q113713	real	Q103529	real
BOTH-REAL	child-only	Q113713	real	Q103531	real
BOTH-REAL	child-only	Q113713	real	Q103533	real
BOTH-REAL	child-only	Q113713	real	Q103535	real
BOTH-REAL	child-only	Q113715	real	Q101151	real
BOTH-REAL	child-only	Q113715	real	Q102057	real
BOTH-REAL	child-only	Q113715	real	Q102059	real
BOTH-REAL	child-only	Q113717	real	Q101151	real
BOTH-REAL	child-only	Q113717	real	Q102057	real
BOTH-REAL	child-only	Q113717	real	Q102059	real
BOTH-REAL	child-only	Q113717	real	Q103539	real
BOTH-REAL	child-only	Q113717	real	Q103543	real
BOTH-REAL	child-only	Q113719	real	Q103551	real
BOTH-REAL	child-only	Q113725	real	Q103555	real
BOTH-REAL	child-only	Q113733	real	Q103561	real
BOTH-REAL	child-only	Q113733	real	Q103563	real
BOTH-REAL	child-only	Q113733	real	Q103565	real
BOTH-REAL	child-only	Q113735	real	Q102081	real
BOTH-REAL	child-only	Q113735	real	Q102083	real
BOTH-REAL	child-only	Q113737	real	Q103569	real
BOTH-REAL	child-only	Q113737	real	Q103571	real
BOTH-REAL	child-only	Q113737	real	Q103573	real
BOTH-REAL	child-only	Q113737	real	Q103575	real
BOTH-REAL	child-only	Q113739	real	Q103449	real
BOTH-REAL	child-only	Q113739	real	Q103579	real
BOTH-REAL	child-only	Q113739	real	Q103581	real
BOTH-REAL	child-only	Q113739	real	Q103583	real
BOTH-REAL	child-only	Q113739	real	Q103585	real
BOTH-REAL	child-only	Q113739	real	Q103587	real
BOTH-REAL	child-only	Q113739	real	Q103589	real
BOTH-REAL	child-only	Q113743	real	Q103595	real
BOTH-REAL	child-only	Q113749	real	Q103603	real
BOTH-REAL	child-only	Q113749	real	Q103605	real
BOTH-REAL	child-only	Q113755	real	Q103611	real
BOTH-REAL	child-only	Q113761	real	Q101163	real
BOTH-REAL	child-only	Q113763	real	Q101163	real
BOTH-REAL	child-only	Q113765	real	Q103621	real
BOTH-REAL	child-only	Q113765	real	Q103623	real
BOTH-REAL	child-only	Q113773	real	Q103629	real
BOTH-REAL	child-only	Q113775	real	Q103633	real
BOTH-REAL	child-only	Q113779	real	Q103641	real
BOTH-REAL	child-only	Q113779	real	Q103643	real
BOTH-REAL	child-only	Q113779	real	Q103645	real
BOTH-REAL	child-only	Q113779	real	Q103647	real
BOTH-REAL	child-only	Q113783	real	Q103655	real
BOTH-REAL	child-only	Q113783	real	Q103657	real
BOTH-REAL	child-only	Q113783	real	Q103659	real
BOTH-REAL	child-only	Q113783	real	Q103661	real
BOTH-REAL	child-only	Q113783	real	Q103663	real
BOTH-REAL	child-only	Q113783	real	Q103667	real
BOTH-REAL	child-only	Q113783	real	Q103669	real
BOTH-REAL	child-only	Q113783	real	Q103671	real
BOTH-REAL	child-only	Q113783	real	Q103673	real
BOTH-REAL	child-only	Q113783	real	Q103675	real
BOTH-REAL	child-only	Q113783	real	Q103677	real
BOTH-REAL	child-only	Q113783	real	Q103679	real
BOTH-REAL	child-only	Q113783	real	Q103681	real
BOTH-REAL	child-only	Q113785	real	Q103685	real
BOTH-REAL	child-only	Q113785	real	Q103687	real
BOTH-REAL	child-only	Q113785	real	Q103689	real
BOTH-REAL	child-only	Q113785	real	Q103691	real
BOTH-REAL	child-only	Q113789	real	Q103695	real
BOTH-REAL	child-only	Q113789	real	Q103697	real
BOTH-REAL	child-only	Q113789	real	Q103699	real
BOTH-REAL	child-only	Q113799	real	Q103711	real
BOTH-REAL	child-only	Q113805	real	Q103735	real
BOTH-REAL	child-only	Q113807	real	Q103740	real
BOTH-REAL	child-only	Q113813	real	Q103744	real
BOTH-REAL	child-only	Q113813	real	Q103746	real
BOTH-REAL	child-only	Q113813	real	Q103748	real
BOTH-REAL	child-only	Q113815	real	Q101179	real
BOTH-REAL	child-only	Q113817	real	Q102161	real
BOTH-REAL	child-only	Q113817	real	Q102163	real
BOTH-REAL	child-only	Q113817	real	Q102167	real
BOTH-REAL	child-only	Q113819	real	Q103764	real
BOTH-REAL	child-only	Q113819	real	Q103766	real
BOTH-REAL	child-only	Q113819	real	Q103768	real
BOTH-REAL	child-only	Q113819	real	Q103772	real
BOTH-REAL	child-only	Q113819	real	Q103774	real
BOTH-REAL	child-only	Q113819	real	Q103776	real
BOTH-REAL	child-only	Q113833	real	Q103790	real
BOTH-REAL	child-only	Q113833	real	Q103794	real
BOTH-REAL	child-only	Q113833	real	Q103796	real
BOTH-REAL	child-only	Q113833	real	Q103798	real
BOTH-REAL	child-only	Q113833	real	Q103800	real
BOTH-REAL	child-only	Q113833	real	Q103802	real
BOTH-REAL	child-only	Q113837	real	Q103810	real
BOTH-REAL	child-only	Q113837	real	Q103812	real
BOTH-REAL	child-only	Q113841	real	Q103832	real
BOTH-REAL	child-only	Q113841	real	Q103834	real
BOTH-REAL	child-only	Q113841	real	Q103836	real
BOTH-REAL	child-only	Q113841	real	Q103838	real
BOTH-REAL	child-only	Q113841	real	Q103840	real
BOTH-REAL	child-only	Q113841	real	Q103842	real
BOTH-REAL	child-only	Q113849	real	Q102187	real
BOTH-REAL	child-only	Q113849	real	Q102189	real
BOTH-REAL	child-only	Q113855	real	Q103884	real
BOTH-REAL	child-only	Q113855	real	Q103886	real
BOTH-REAL	child-only	Q113861	real	Q103892	real
BOTH-REAL	child-only	Q113861	real	Q103896	real
BOTH-REAL	child-only	Q113865	real	Q103900	real
BOTH-REAL	child-only	Q113865	real	Q103902	real
BOTH-REAL	child-only	Q113871	real	Q103910	real
BOTH-REAL	child-only	Q113893	real	Q103926	real
BOTH-REAL	child-only	Q113897	real	Q101233	real
BOTH-REAL	child-only	Q113907	real	Q103943	real
BOTH-REAL	child-only	Q113909	real	Q103947	real
BOTH-REAL	child-only	Q113917	real	Q103953	real
BOTH-REAL	child-only	Q113925	real	Q103963	real
BOTH-REAL	child-only	Q113929	real	Q103967	real
BOTH-REAL	child-only	Q113929	real	Q103969	real
BOTH-REAL	child-only	Q113945	real	Q103195	real
BOTH-REAL	child-only	Q113945	real	Q103977	real
BOTH-REAL	child-only	Q113947	real	Q102285	real
BOTH-REAL	child-only	Q113953	real	Q103985	real
BOTH-REAL	child-only	Q113953	real	Q103987	real
BOTH-REAL	child-only	Q113955	real	Q101267	real
BOTH-REAL	child-only	Q113957	real	Q101267	real
BOTH-REAL	child-only	Q113959	real	Q102297	real
BOTH-REAL	child-only	Q113963	real	Q103997	real
BOTH-REAL	child-only	Q113965	real	Q103989	real
BOTH-REAL	child-only	Q113973	real	Q102311	real
BOTH-REAL	child-only	Q113979	real	Q104017	real
BOTH-REAL	child-only	Q113991	real	Q104027	real
BOTH-REAL	child-only	Q113991	real	Q104029	real
BOTH-REAL	child-only	Q113993	real	Q101295	real
BOTH-REAL	child-only	Q113995	real	Q101295	real
BOTH-REAL	child-only	Q113999	real	Q101299	real
BOTH-REAL	child-only	Q114001	real	Q101299	real
BOTH-REAL	child-only	Q114007	real	Q104041	real
BOTH-REAL	child-only	Q114007	real	Q104043	real
BOTH-REAL	child-only	Q114007	real	Q104045	real
BOTH-REAL	child-only	Q114007	real	Q104047	real
BOTH-REAL	child-only	Q114011	real	Q104049	real
BOTH-REAL	child-only	Q114021	real	Q101323	real
BOTH-REAL	child-only	Q114023	real	Q101323	real
BOTH-REAL	child-only	Q114038	real	Q102377	real
BOTH-REAL	child-only	Q114040	real	Q103752	real
BOTH-REAL	child-only	Q114042	real	Q104077	real
BOTH-REAL	child-only	Q114048	real	Q104105	real
BOTH-REAL	child-only	Q114048	real	Q104107	real
BOTH-REAL	child-only	Q114048	real	Q104109	real
BOTH-REAL	child-only	Q114048	real	Q104111	real
BOTH-REAL	child-only	Q114048	real	Q104113	real
BOTH-REAL	child-only	Q114048	real	Q104115	real
BOTH-REAL	child-only	Q114048	real	Q104117	real
BOTH-REAL	child-only	Q114048	real	Q104119	real
BOTH-REAL	child-only	Q114053	real	Q103627	real
BOTH-REAL	child-only	Q114057	real	Q102829	real
BOTH-REAL	child-only	Q114057	real	Q103345	real
BOTH-REAL	child-only	Q114057	real	Q103347	real
BOTH-REAL	child-only	Q114057	real	Q103349	real
BOTH-REAL	child-only	Q114059	real	Q104125	real
BOTH-REAL	child-only	Q114067	real	Q104149	real
BOTH-REAL	child-only	Q114069	real	Q104156	real
BOTH-REAL	child-only	Q114071	real	Q103733	real
BOTH-REAL	child-only	Q114071	real	Q104133	real
BOTH-REAL	child-only	Q114075	real	Q102417	real
BOTH-REAL	child-only	Q114077	real	Q104170	real
BOTH-REAL	child-only	Q114079	real	Q104174	real
BOTH-REAL	child-only	Q114079	real	Q104176	real
BOTH-REAL	child-only	Q114081	real	Q104178	real
BOTH-REAL	child-only	Q114081	real	Q104180	real
BOTH-REAL	child-only	Q114081	real	Q104182	real
BOTH-REAL	child-only	Q114081	real	Q104184	real
BOTH-REAL	child-only	Q114083	real	Q104188	real
BOTH-REAL	child-only	Q114083	real	Q104190	real
BOTH-REAL	child-only	Q114092	real	Q104204	real
BOTH-REAL	child-only	Q114093	real	Q101341	real
BOTH-REAL	child-only	Q114094	real	Q101341	real
BOTH-REAL	child-only	Q114096	real	Q101499	real
BOTH-REAL	child-only	Q114096	real	Q102433	real
BOTH-REAL	child-only	Q114100	real	Q101345	real
BOTH-REAL	child-only	Q114102	real	Q101403	real
BOTH-REAL	child-only	Q114102	real	Q102443	real
BOTH-REAL	child-only	Q114104	real	Q104212	real
BOTH-REAL	child-only	Q114104	real	Q104214	real
BOTH-REAL	child-only	Q114104	real	Q104216	real
BOTH-REAL	child-only	Q114104	real	Q104218	real
BOTH-REAL	child-only	Q114104	real	Q104220	real
BOTH-REAL	child-only	Q114120	real	Q104001	real
BOTH-REAL	child-only	Q114120	real	Q104003	real
BOTH-REAL	child-only	Q114122	real	Q104234	real
BOTH-REAL	child-only	Q114136	real	Q104244	real
BOTH-REAL	child-only	Q114142	real	Q104252	real
BOTH-REAL	child-only	Q114142	real	Q104254	real
BOTH-REAL	child-only	Q114154	real	Q101381	real
BOTH-REAL	child-only	Q114156	real	Q102493	real
BOTH-REAL	child-only	Q114166	real	Q101397	real
BOTH-REAL	child-only	Q114170	real	Q102507	real
BOTH-REAL	child-only	Q114176	real	Q104135	real
BOTH-REAL	child-only	Q114176	real	Q104282	real
BOTH-REAL	child-only	Q114184	real	Q101413	real
BOTH-REAL	child-only	Q114186	real	Q102523	real
BOTH-REAL	child-only	Q114198	real	Q102761	real
BOTH-REAL	child-only	Q114200	real	Q102537	real
BOTH-REAL	child-only	Q114208	real	Q104321	real
BOTH-REAL	child-only	Q114210	real	Q104327	real
BOTH-REAL	child-only	Q114210	real	Q104329	real
BOTH-REAL	child-only	Q114212	real	Q104333	real
BOTH-REAL	child-only	Q114218	real	Q104345	real
BOTH-REAL	child-only	Q114218	real	Q104347	real
BOTH-REAL	child-only	Q114224	real	Q104355	real
BOTH-REAL	child-only	Q114240	real	Q102601	real
BOTH-REAL	child-only	Q114244	real	Q101103	real
BOTH-REAL	child-only	Q114244	real	Q102583	real
BOTH-REAL	child-only	Q114250	real	Q104383	real
BOTH-REAL	child-only	Q114250	real	Q104385	real
BOTH-REAL	child-only	Q114254	real	Q104389	real
BOTH-REAL	child-only	Q114254	real	Q104391	real
BOTH-REAL	child-only	Q114256	real	Q104393	real
BOTH-REAL	child-only	Q114258	real	Q104397	real
BOTH-REAL	child-only	Q114258	real	Q104399	real
BOTH-REAL	child-only	Q114270	real	Q101457	real
BOTH-REAL	child-only	Q114270	real	Q102607	real
BOTH-REAL	child-only	Q114270	real	Q104485	real
BOTH-REAL	child-only	Q114278	real	Q104204	real
BOTH-REAL	child-only	Q114280	real	Q104497	real
BOTH-REAL	child-only	Q114282	real	Q104499	real
BOTH-REAL	child-only	Q114282	real	Q104501	real
BOTH-REAL	child-only	Q114282	real	Q104503	real
BOTH-REAL	child-only	Q114284	real	Q104507	real
BOTH-REAL	child-only	Q114286	real	Q102623	real
BOTH-REAL	child-only	Q114292	real	Q104535	real
BOTH-REAL	child-only	Q114292	real	Q104537	real
BOTH-REAL	child-only	Q114302	real	Q102639	real
BOTH-REAL	child-only	Q114306	real	Q101968	real
BOTH-REAL	child-only	Q114306	real	Q102345	real
BOTH-REAL	child-only	Q114312	real	Q103262	real
BOTH-REAL	child-only	Q114312	real	Q103264	real
BOTH-REAL	child-only	Q114316	real	Q100930	real
BOTH-REAL	child-only	Q114316	real	Q101477	real
BOTH-REAL	child-only	Q114318	real	Q101718	real
BOTH-REAL	child-only	Q114318	real	Q103033	real
BOTH-REAL	child-only	Q114318	real	Q103035	real
BOTH-REAL	child-only	Q114318	real	Q103039	real
BOTH-REAL	child-only	Q114318	real	Q103041	real
BOTH-REAL	child-only	Q114318	real	Q103043	real
BOTH-REAL	child-only	Q114318	real	Q111545	real
BOTH-REAL	child-only	Q114320	real	Q101621	real
BOTH-REAL	child-only	Q114322	real	Q104561	real
BOTH-REAL	child-only	Q114334	real	Q101479	real
BOTH-REAL	child-only	Q114334	real	Q102671	real
BOTH-REAL	child-only	Q114338	real	Q102675	real
BOTH-REAL	child-only	Q114342	real	Q102679	real
BOTH-REAL	child-only	Q114342	real	Q102681	real
BOTH-REAL	child-only	Q114352	real	Q104581	real
BOTH-REAL	child-only	Q114352	real	Q116238	real
BOTH-REAL	child-only	Q118053	real	Q103864	real
BOTH-REAL	child-only	Q118055	real	Q103864	real
BOTH-REAL	child-only	Q118067	real	Q106415	real
BOTH-REAL	child-only	Q118073	real	Q106421	real
BOTH-REAL	child-only	Q118081	real	Q103882	real
BOTH-REAL	child-only	Q118083	real	Q103882	real
BOTH-REAL	child-only	Q118097	real	Q103888	real
BOTH-REAL	child-only	Q118107	real	Q106063	real
BOTH-REAL	child-only	Q118107	real	Q106467	real
BOTH-REAL	child-only	Q118107	real	Q106469	real
BOTH-REAL	child-only	Q118107	real	Q106471	real
BOTH-REAL	child-only	Q118107	real	Q106473	real
BOTH-REAL	child-only	Q118163	real	Q106246	real
BOTH-REAL	child-only	Q118171	real	Q103965	real
BOTH-REAL	child-only	Q118177	real	Q103936	real
BOTH-REAL	child-only	Q118179	real	Q103936	real
BOTH-REAL	child-only	Q118189	real	Q106537	real
BOTH-REAL	child-only	Q118189	real	Q106539	real
BOTH-REAL	child-only	Q118195	real	Q106543	real
BOTH-REAL	child-only	Q118195	real	Q106547	real
BOTH-REAL	child-only	Q118205	real	Q103961	real
BOTH-REAL	child-only	Q118207	real	Q103961	real
BOTH-REAL	child-only	Q118209	real	Q104461	real
BOTH-REAL	child-only	Q118213	real	Q103971	real
BOTH-REAL	child-only	Q118213	real	Q103975	real
BOTH-REAL	child-only	Q118213	real	Q105217	real
BOTH-REAL	child-only	Q118213	real	Q105221	real
BOTH-REAL	child-only	Q118219	real	Q105343	real
BOTH-REAL	child-only	Q118219	real	Q106569	real
BOTH-REAL	child-only	Q118229	real	Q106577	real
BOTH-REAL	child-only	Q118247	real	Q104493	real
BOTH-REAL	child-only	Q118298	real	Q106256	real
BOTH-REAL	child-only	Q118298	real	Q106649	real
BOTH-REAL	child-only	Q118298	real	Q106653	real
BOTH-REAL	child-only	Q118319	real	Q104055	real
BOTH-REAL	child-only	Q118323	real	Q103286	real
BOTH-REAL	child-only	Q118325	real	Q104059	real
BOTH-REAL	child-only	Q118327	real	Q104059	real
BOTH-REAL	child-only	Q118329	real	Q104061	real
BOTH-REAL	child-only	Q118331	real	Q104061	real
BOTH-REAL	child-only	Q118333	real	Q104063	real
BOTH-REAL	child-only	Q118335	real	Q104063	real
BOTH-REAL	child-only	Q118343	real	Q106059	real
BOTH-REAL	child-only	Q118355	real	Q106704	real
BOTH-REAL	child-only	Q118373	real	Q103780	real
BOTH-REAL	child-only	Q118373	real	Q103784	real
BOTH-REAL	child-only	Q118436	real	Q74261	real
BOTH-REAL	child-only	Q118485	real	Q125098	real
BOTH-REAL	child-only	Q118495	real	Q106846	real
BOTH-REAL	child-only	Q118501	real	Q106156	real
BOTH-REAL	child-only	Q118511	real	Q105503	real
BOTH-REAL	child-only	Q118537	real	Q104186	real
BOTH-REAL	child-only	Q118541	real	Q106890	real
BOTH-REAL	child-only	Q118545	real	Q104192	real
BOTH-REAL	child-only	Q118555	real	Q103248	real
BOTH-REAL	child-only	Q118555	real	Q103250	real
BOTH-REAL	child-only	Q118555	real	Q103252	real
BOTH-REAL	child-only	Q118573	real	Q104206	real
BOTH-REAL	child-only	Q118577	real	Q104208	real
BOTH-REAL	child-only	Q118583	real	Q106282	real
BOTH-REAL	child-only	Q118587	real	Q104232	real
BOTH-REAL	child-only	Q118589	real	Q104232	real
BOTH-REAL	child-only	Q118631	real	Q106980	real
BOTH-REAL	child-only	Q118637	real	Q103141	real
BOTH-REAL	child-only	Q118645	real	Q107050	real
BOTH-REAL	child-only	Q118649	real	Q103934	real
BOTH-REAL	child-only	Q118649	real	Q104260	real
BOTH-REAL	child-only	Q118651	real	Q104260	real
BOTH-REAL	child-only	Q118655	real	Q104266	real
BOTH-REAL	child-only	Q118655	real	Q106152	real
BOTH-REAL	child-only	Q118671	real	Q107020	real
BOTH-REAL	child-only	Q118701	real	Q102821	real
BOTH-REAL	child-only	Q118707	real	Q107056	real
BOTH-REAL	child-only	Q118711	real	Q107060	real
BOTH-REAL	child-only	Q118733	real	Q107082	real
BOTH-REAL	child-only	Q118733	real	Q107084	real
BOTH-REAL	child-only	Q118755	real	Q104343	real
BOTH-REAL	child-only	Q118761	real	Q104335	real
BOTH-REAL	child-only	Q118769	real	Q101639	real
BOTH-REAL	child-only	Q118769	real	Q104258	real
BOTH-REAL	child-only	Q118769	real	Q104343	real
BOTH-REAL	child-only	Q118789	real	Q104357	real
BOTH-REAL	child-only	Q118803	real	Q104359	real
BOTH-REAL	child-only	Q118805	real	Q104363	real
BOTH-REAL	child-only	Q118807	real	Q104363	real
BOTH-REAL	child-only	Q118819	real	Q106912	real
BOTH-REAL	child-only	Q118825	real	Q104447	real
BOTH-REAL	child-only	Q118825	real	Q107174	real
BOTH-REAL	child-only	Q118831	real	Q107180	real
BOTH-REAL	child-only	Q118847	real	Q101429	real
BOTH-REAL	child-only	Q118847	real	Q101804	real
BOTH-REAL	child-only	Q118847	real	Q101806	real
BOTH-REAL	child-only	Q118847	real	Q101808	real
BOTH-REAL	child-only	Q118847	real	Q102778	real
BOTH-REAL	child-only	Q118847	real	Q107076	real
BOTH-REAL	child-only	Q118847	real	Q107078	real
BOTH-REAL	child-only	Q118853	real	Q107204	real
BOTH-REAL	child-only	Q118863	real	Q104425	real
BOTH-REAL	child-only	Q118865	real	Q104425	real
BOTH-REAL	child-only	Q119006	real	Q104547	real
BOTH-REAL	child-only	Q119008	real	Q104547	real
BOTH-REAL	child-only	Q119028	real	Q107518	real
BOTH-REAL	child-only	Q119028	real	Q107520	real
