cycle_len	cycle_head	parent	child	wd_parent	wd_child	verdict	detail
33	Q79510	Q99544 (Heracles)	Q79084 (Georgia Eudoxia)			unknown	no Wikidata ID for Heracles and Georgia Eudoxia
33	Q79510	Q79084 (Georgia Eudoxia)	Q79093 (Munia Eudoxia)			unknown	no Wikidata ID for Georgia Eudoxia and Munia Eudoxia
33	Q79510	Q79093 (Munia Eudoxia)	Q79102 (Esteban Balthes)			unknown	no Wikidata ID for Munia Eudoxia and Esteban Balthes
33	Q79510	Q79102 (Esteban Balthes)	Q79111 (Pedro Balthes de Toledo)			unknown	no Wikidata ID for Esteban Balthes and Pedro Balthes de Toledo
33	Q79510	Q79111 (Pedro Balthes de Toledo)	Q79126 (Galindo de Toledo)			unknown	no Wikidata ID for Pedro Balthes de Toledo and Galindo de Toledo
33	Q79510	Q79126 (Galindo de Toledo)	Q79135 (Paulo de Toledo)			unknown	no Wikidata ID for Galindo de Toledo and Paulo de Toledo
33	Q79510	Q79135 (Paulo de Toledo)	Q79147 (Teodomiro de Toledo)			unknown	no Wikidata ID for Paulo de Toledo and Teodomiro de Toledo
33	Q79510	Q79147 (Teodomiro de Toledo)	Q79168 (Ouvequio de Toledo)			unknown	no Wikidata ID for Teodomiro de Toledo and Ouvequio de Toledo
33	Q79510	Q79168 (Ouvequio de Toledo)	Q79192 (Marcella de Toledo)			unknown	no Wikidata ID for Ouvequio de Toledo and Marcella de Toledo
33	Q79510	Q79192 (Marcella de Toledo)	Q79220 (Beatrix de Bardolf)			unknown	no Wikidata ID for Marcella de Toledo and Beatrix de Bardolf
33	Q79510	Q79220 (Beatrix de Bardolf)	Q79241 (Jeanne de Pont-Audemer)			unknown	no Wikidata ID for Beatrix de Bardolf and Jeanne de Pont-Audemer
33	Q79510	Q79241 (Jeanne de Pont-Audemer)	Q79262 (Bernard of Mans - Beulac)			unknown	no Wikidata ID for Jeanne de Pont-Audemer and Bernard of Mans - Beulac
33	Q79510	Q79262 (Bernard of Mans - Beulac)	Q79286 (Eve of Mans - Beulac)			unknown	no Wikidata ID for Bernard of Mans - Beulac and Eve of Mans - Beulac
33	Q79510	Q79286 (Eve of Mans - Beulac)	Q79331 (Galburge de Castellane)			unknown	no Wikidata ID for Eve of Mans - Beulac and Galburge de Castellane
33	Q79510	Q79331 (Galburge de Castellane)	Q79361 (D.Urraca de Pamplona)			unknown	no Wikidata ID for Galburge de Castellane and D.Urraca de Pamplona
33	Q79510	Q79361 (D.Urraca de Pamplona)	Q79388 (D. Ausindo Ximeno)			unknown	no Wikidata ID for D.Urraca de Pamplona and D. Ausindo Ximeno
33	Q79510	Q79388 (D. Ausindo Ximeno)	Q79415 (D.Soeiro Ausendes)			unknown	no Wikidata ID for D. Ausindo Ximeno and D.Soeiro Ausendes
33	Q79510	Q79415 (D.Soeiro Ausendes)	Q79435 (D.Arnaldo Ximenes)			unknown	no Wikidata ID for D.Soeiro Ausendes and D.Arnaldo Ximenes
33	Q79510	Q79435 (D.Arnaldo Ximenes)	Q79441 (Berenguela Ximenes, Baiao, Soares)			unknown	no Wikidata ID for D.Arnaldo Ximenes and Berenguela Ximenes, Baiao, Soares
33	Q79510	Q79441 (Berenguela Ximenes, Baiao, Soares)	Q79468 (Soeiro Arnaldes de Novoa (D.))			unknown	no Wikidata ID for Berenguela Ximenes, Baiao, Soares and Soeiro Arnaldes de Novoa (D.)
33	Q79510	Q79468 (Soeiro Arnaldes de Novoa (D.))	Q79510 (Maria Soares)			unknown	no Wikidata ID for Soeiro Arnaldes de Novoa (D.) and Maria Soares
47	Q99939	Q99939 (Ufa Ufes)	Q100154 (Godo Arnaldes de Baiao)			unknown	no Wikidata ID for Ufa Ufes and Godo Arnaldes de Baiao
47	Q99939	Q100154 (Godo Arnaldes de Baiao)	Q100519 (Soeiro Guedes)			unknown	no Wikidata ID for Godo Arnaldes de Baiao and Soeiro Guedes
47	Q99939	Q100519 (Soeiro Guedes)	Q101113 (D. Ausindo Soares)			unknown	no Wikidata ID for Soeiro Guedes and D. Ausindo Soares
47	Q99939	Q101113 (D. Ausindo Soares)	Q113625 (D.Teodoredo Ausendes Soares)			unknown	no Wikidata ID for D. Ausindo Soares and D.Teodoredo Ausendes Soares
47	Q99939	Q113625 (D.Teodoredo Ausendes Soares)	Q79385 (Goncalo Ximeno Ausendes)			unknown	no Wikidata ID for D.Teodoredo Ausendes Soares and Goncalo Ximeno Ausendes
47	Q99939	Q79385 (Goncalo Ximeno Ausendes)	Q79409 (Pero Goncalves)			unknown	no Wikidata ID for Goncalo Ximeno Ausendes and Pero Goncalves
47	Q99939	Q79409 (Pero Goncalves)	Q79429 (Hermenegildo Goncalves)			unknown	no Wikidata ID for Pero Goncalves and Hermenegildo Goncalves
47	Q99939	Q79429 (Hermenegildo Goncalves)	Q79459 (N.N. Goncalves)			unknown	no Wikidata ID for Hermenegildo Goncalves and N.N. Goncalves
47	Q99939	Q79459 (N.N. Goncalves)	Q79495 (Velasquita Maldonado)			unknown	no Wikidata ID for N.N. Goncalves and Velasquita Maldonado
47	Q99939	Q79495 (Velasquita Maldonado)	Q79510 (Maria Soares)			unknown	no Wikidata ID for Velasquita Maldonado and Maria Soares
47	Q99939	Q79510 (Maria Soares)	Q79582 (Diogo Rodrigues de Aguiar)			unknown	no Wikidata ID for Maria Soares and Diogo Rodrigues de Aguiar
47	Q99939	Q79582 (Diogo Rodrigues de Aguiar)	Q79663 (Rui Dias de Aguiar)			unknown	no Wikidata ID for Diogo Rodrigues de Aguiar and Rui Dias de Aguiar
47	Q99939	Q79663 (Rui Dias de Aguiar)	Q79863 (Joao Afonso de Aguiar)			unknown	no Wikidata ID for Rui Dias de Aguiar and Joao Afonso de Aguiar
47	Q99939	Q79863 (Joao Afonso de Aguiar)	Q80223 (Diogo Afonso Afonso de Aguiar)			unknown	no Wikidata ID for Joao Afonso de Aguiar and Diogo Afonso Afonso de Aguiar
47	Q99939	Q80223 (Diogo Afonso Afonso de Aguiar)	Q80606 (Pedro Afonso de Aguiar)			unknown	no Wikidata ID for Diogo Afonso Afonso de Aguiar and Pedro Afonso de Aguiar
47	Q99939	Q80606 (Pedro Afonso de Aguiar)	Q81339 (Antonio Ambrosio de Aguiar Coutinho)			unknown	no Wikidata ID for Pedro Afonso de Aguiar and Antonio Ambrosio de Aguiar Coutinho
47	Q99939	Q81339 (Antonio Ambrosio de Aguiar Coutinho)	Q82122 (Barbara, imperatriz of Rome)			unknown	no Wikidata ID for Antonio Ambrosio de Aguiar Coutinho and Barbara, imperatriz of Rome
47	Q99939	Q82122 (Barbara, imperatriz of Rome)	Q99597 (Bárbara, Princess of Rome)			unknown	no Wikidata ID for Barbara, imperatriz of Rome and Bárbara, Princess of Rome
47	Q99939	Q99597 (Bárbara, Princess of Rome)	Q99585 (Aviena)			unknown	no Wikidata ID for Bárbara, Princess of Rome and Aviena
47	Q99939	Q99585 (Aviena)	Q99573 (Proba)			unknown	no Wikidata ID for Aviena and Proba
47	Q99939	Q99573 (Proba)	Q99558 (Proba Rogas of Lybia)			unknown	no Wikidata ID for Proba and Proba Rogas of Lybia
47	Q99939	Q99558 (Proba Rogas of Lybia)	Q99544 (Heracles)			unknown	no Wikidata ID for Proba Rogas of Lybia and Heracles
47	Q99939	Q99544 (Heracles)	Q79084 (Georgia Eudoxia)			unknown	no Wikidata ID for Heracles and Georgia Eudoxia
47	Q99939	Q79084 (Georgia Eudoxia)	Q79093 (Munia Eudoxia)			unknown	no Wikidata ID for Georgia Eudoxia and Munia Eudoxia
47	Q99939	Q79093 (Munia Eudoxia)	Q79102 (Esteban Balthes)			unknown	no Wikidata ID for Munia Eudoxia and Esteban Balthes
47	Q99939	Q79102 (Esteban Balthes)	Q79111 (Pedro Balthes de Toledo)			unknown	no Wikidata ID for Esteban Balthes and Pedro Balthes de Toledo
47	Q99939	Q79111 (Pedro Balthes de Toledo)	Q79126 (Galindo de Toledo)			unknown	no Wikidata ID for Pedro Balthes de Toledo and Galindo de Toledo
47	Q99939	Q79126 (Galindo de Toledo)	Q79135 (Paulo de Toledo)			unknown	no Wikidata ID for Galindo de Toledo and Paulo de Toledo
47	Q99939	Q79135 (Paulo de Toledo)	Q79147 (Teodomiro de Toledo)			unknown	no Wikidata ID for Paulo de Toledo and Teodomiro de Toledo
47	Q99939	Q79147 (Teodomiro de Toledo)	Q79168 (Ouvequio de Toledo)			unknown	no Wikidata ID for Teodomiro de Toledo and Ouvequio de Toledo
47	Q99939	Q79168 (Ouvequio de Toledo)	Q79192 (Marcella de Toledo)			unknown	no Wikidata ID for Ouvequio de Toledo and Marcella de Toledo
47	Q99939	Q79192 (Marcella de Toledo)	Q79220 (Beatrix de Bardolf)			unknown	no Wikidata ID for Marcella de Toledo and Beatrix de Bardolf
47	Q99939	Q79220 (Beatrix de Bardolf)	Q79241 (Jeanne de Pont-Audemer)			unknown	no Wikidata ID for Beatrix de Bardolf and Jeanne de Pont-Audemer
47	Q99939	Q79241 (Jeanne de Pont-Audemer)	Q79262 (Bernard of Mans - Beulac)			unknown	no Wikidata ID for Jeanne de Pont-Audemer and Bernard of Mans - Beulac
47	Q99939	Q79262 (Bernard of Mans - Beulac)	Q79286 (Eve of Mans - Beulac)			unknown	no Wikidata ID for Bernard of Mans - Beulac and Eve of Mans - Beulac
47	Q99939	Q79286 (Eve of Mans - Beulac)	Q79331 (Galburge de Castellane)			unknown	no Wikidata ID for Eve of Mans - Beulac and Galburge de Castellane
47	Q99939	Q79331 (Galburge de Castellane)	Q79361 (D.Urraca de Pamplona)			unknown	no Wikidata ID for Galburge de Castellane and D.Urraca de Pamplona
47	Q99939	Q79361 (D.Urraca de Pamplona)	Q79388 (D. Ausindo Ximeno)			unknown	no Wikidata ID for D.Urraca de Pamplona and D. Ausindo Ximeno
47	Q99939	Q79388 (D. Ausindo Ximeno)	Q79415 (D.Soeiro Ausendes)			unknown	no Wikidata ID for D. Ausindo Ximeno and D.Soeiro Ausendes
47	Q99939	Q79415 (D.Soeiro Ausendes)	Q79435 (D.Arnaldo Ximenes)			unknown	no Wikidata ID for D.Soeiro Ausendes and D.Arnaldo Ximenes
47	Q99939	Q79435 (D.Arnaldo Ximenes)	Q79438 (Sancho ou Sancho Arnolfo Ximenes)			unknown	no Wikidata ID for D.Arnaldo Ximenes and Sancho ou Sancho Arnolfo Ximenes
47	Q99939	Q79438 (Sancho ou Sancho Arnolfo Ximenes)	Q79424 (Gil Guille em Narbonne)			unknown	no Wikidata ID for Sancho ou Sancho Arnolfo Ximenes and Gil Guille em Narbonne
47	Q99939	Q79424 (Gil Guille em Narbonne)	Q79450 (Soeiro Afonso Tangil)			unknown	no Wikidata ID for Gil Guille em Narbonne and Soeiro Afonso Tangil
47	Q99939	Q79450 (Soeiro Afonso Tangil)	Q79480 (Fernao dos de Tangil)			unknown	no Wikidata ID for Soeiro Afonso Tangil and Fernao dos de Tangil
47	Q99939	Q79480 (Fernao dos de Tangil)	Q79537 (Estevao Soares (D.))			unknown	no Wikidata ID for Fernao dos de Tangil and Estevao Soares (D.)
47	Q99939	Q79537 (Estevao Soares (D.))	Q79618 (Tereza Eriz de Lugo)			unknown	no Wikidata ID for Estevao Soares (D.) and Tereza Eriz de Lugo
47	Q99939	Q79618 (Tereza Eriz de Lugo)	Q99939 (Ufa Ufes)			unknown	no Wikidata ID for Tereza Eriz de Lugo and Ufa Ufes
5	Q75540	Q75540 (Quintus Clodius Hermogenianus Olybrius)	Q75522 (Anicia Faltonia Proba)	Q1148526	Q1154373	confirmed	Wikidata agrees Quintus Clodius Hermogenianus Olybrius is a parent of Anicia Faltonia Proba
5	Q75540	Q75522 (Anicia Faltonia Proba)	Q75516 (Anicius Hermogenianus Olybrius)	Q1154373	Q1372249	confirmed	Wikidata agrees Anicia Faltonia Proba is a parent of Anicius Hermogenianus Olybrius
5	Q75540	Q75516 (Anicius Hermogenianus Olybrius)	Q75603 (Demetrias)	Q1372249	Q3625008	confirmed	Wikidata agrees Anicius Hermogenianus Olybrius is a parent of Demetrias
5	Q75540	Q75603 (Demetrias)	Q75576 (Clodius Celsinus Adelphius)	Q3625008	Q1147586	contradicted	Wikidata records no link between them
5	Q75540	Q75576 (Clodius Celsinus Adelphius)	Q75540 (Quintus Clodius Hermogenianus Olybrius)	Q1147586	Q1148526	confirmed	Wikidata agrees Clodius Celsinus Adelphius is a parent of Quintus Clodius Hermogenianus Olybrius
4	Q118732	Q118732 (Olaf Geirstad-Alf)	Q136091 (Gandalf Alfgeirsson)	Q2560871	Q4133209	confirmed	Wikidata agrees Olaf Geirstad-Alf is a parent of Gandalf Alfgeirsson
4	Q118732	Q136091 (Gandalf Alfgeirsson)	Q135856 (Alfarin)	Q4133209	Q5666589	confirmed	Wikidata agrees Gandalf Alfgeirsson is a parent of Alfarin
4	Q118732	Q135856 (Alfarin)	Q123845 (Alfhild)	Q5666589	Q122890477	confirmed	Wikidata agrees Alfarin is a parent of Alfhild
4	Q118732	Q123845 (Alfhild)	Q118732 (Olaf Geirstad-Alf)	Q122890477	Q2560871	confirmed	Wikidata agrees Alfhild is a parent of Olaf Geirstad-Alf
16	Q75522	Q75522 (Anicia Faltonia Proba)	Q75516 (Anicius Hermogenianus Olybrius)	Q1154373	Q1372249	confirmed	Wikidata agrees Anicia Faltonia Proba is a parent of Anicius Hermogenianus Olybrius
16	Q75522	Q75516 (Anicius Hermogenianus Olybrius)	Q75603 (Demetrias)	Q1372249	Q3625008	confirmed	Wikidata agrees Anicius Hermogenianus Olybrius is a parent of Demetrias
16	Q75522	Q75603 (Demetrias)	Q75558 (Clodia Celsina)	Q3625008		unknown	no Wikidata ID for Clodia Celsina
16	Q75522	Q75558 (Clodia Celsina)	Q65002 (Sextus Claudius Petronius Probus)		Q1542092	unknown	no Wikidata ID for Clodia Celsina
16	Q75522	Q65002 (Sextus Claudius Petronius Probus)	Q64169 (Petronius)	Q1542092	Q120232596	confirmed	Wikidata agrees Sextus Claudius Petronius Probus is a parent of Petronius
16	Q75522	Q64169 (Petronius)	Q63517 (Petronius Junior)	Q120232596		unknown	no Wikidata ID for Petronius Junior
16	Q75522	Q63517 (Petronius Junior)	Q62926 (Gnaeus Petronius Probatus Junior Justus)			unknown	no Wikidata ID for Petronius Junior and Gnaeus Petronius Probatus Junior Justus
16	Q75522	Q62926 (Gnaeus Petronius Probatus Junior Justus)	Q62515 (Petronia)			unknown	no Wikidata ID for Gnaeus Petronius Probatus Junior Justus and Petronia
16	Q75522	Q62515 (Petronia)	Q75817 (Publilia)			unknown	no Wikidata ID for Petronia and Publilia
16	Q75522	Q75817 (Publilia)	Q75721 (Rufia Procula)			unknown	no Wikidata ID for Publilia and Rufia Procula
16	Q75522	Q75721 (Rufia Procula)	Q75781 (Caeionius Proculus)			unknown	no Wikidata ID for Rufia Procula and Caeionius Proculus
16	Q75522	Q75781 (Caeionius Proculus)	Q75694 (Caeionius Julianus Camerius)			unknown	no Wikidata ID for Caeionius Proculus and Caeionius Julianus Camerius
