qid	birth_precision	death_precision
Q23476		11
Q23477		11
Q23478		11
Q23479	9	
Q23481	9	
Q23484	9	11
Q23485	9	
Q23486	11	
Q23487	11	11
Q23488		9
Q23489	9	
Q23490	11	
Q23491		11
Q23492		11
Q23494	9	
Q23496	11	11
Q23497		9
Q23498	9	
Q23499	9	
Q23501		11
Q23503	11	
Q23504		11
Q23505	11	9
Q23506	11	11
Q23507	11	11
Q23509	11	11
Q23512	11	11
Q23513	9	11
Q23514	9	
Q23520	11	
Q23523	9	11
Q23527	11	11
Q23533	9	
Q23536		11
Q23542		11
Q23543		11
Q23544	9	11
Q23545		11
Q23546		11
Q23548		11
Q23549		11
Q23550		11
Q23551		11
Q23553	9	11
Q23555		11
Q23556	9	9
Q23557	9	
Q23558	11	11
Q23559		11
Q23560		11
Q23571		11
Q23584		11
Q23586		11
Q23590		11
Q23592	11	11
Q23593	11	11
Q23596		11
Q23597		11
Q23598		11
Q23609		11
Q23611		11
Q23616		11
Q23621		11
Q23625		11
Q23626		11
Q23627		11
Q23634		11
Q23642	11	11
Q23645		11
Q23646	11	11
Q23649		11
Q23650		11
Q23651		11
Q23658		11
Q23659		11
Q23661		11
Q23662		11
Q23664		11
Q23665		11
Q23666		11
Q23668		11
Q23669		11
Q23670		11
Q23671		11
Q23672		11
Q23673		11
Q23674		11
Q23675		11
Q23676		11
Q23677		11
Q23678		11
Q23679		11
Q23681	9	9
Q23682		11
Q23685	11	
Q23687		11
Q23691		11
Q23692	9	
Q23694	9	11
Q23695		11
Q23696		11
Q23699	11	11
Q23700	9	9
Q23704		11
Q23705		11
Q23709		11
Q23713	9	9
Q23714		11
Q23721	9	9
Q23723	11	9
Q23730		11
Q23732	11	11
Q23733		11
Q23736	9	9
Q23737		11
Q23738		11
Q23740	11	11
Q23741		11
Q23744	11	11
Q23745		11
Q23747		11
Q23748		11
Q23750	11	11
Q23751		11
Q23752		11
Q23753		11
Q23754		11
Q23756		11
Q23758		11
Q23761		11
Q23764		11
Q23765		11
Q23766		11
Q23769		11
Q23776	9	9
Q23779	9	9
Q23782		11
Q23784		11
Q23785		11
Q23787		11
Q23788		11
Q23789		11
Q23790		11
Q23801		11
Q23802	9	11
Q23804	9	9
Q23805	9	11
Q23809		11
Q23810		11
Q23812	9	9
Q23822	9	9
Q23823	9	11
Q23825	9	11
Q23826	9	11
Q23827	9	11
Q23841	9	11
Q23843	9	11
Q23846	11	11
Q23847	9	11
Q23848	9	11
Q23858	11	
Q23870	9	9
Q23871	9	11
Q23872	9	11
Q23875	9	11
Q23876	9	11
Q23884	11	11
Q23886	11	11
Q23888	11	11
Q23889	11	11
Q23890	11	11
Q23903	9	11
Q23905	11	11
Q23906	11	11
Q23911	9	11
Q23912	9	11
Q23913	9	11
Q23914	9	11
Q23916	9	
Q23918	11	11
Q23919	9	11
Q23926	9	11
Q23927	9	11
Q23939	11	11
Q23940	11	
Q23942	11	11
Q23943		11
Q23947	9	11
Q23949		11
Q23950		11
Q23952	9	11
Q23954	11	11
Q23955	11	
Q23956	11	11
Q23957	9	11
Q23958	9	11
Q23963	9	11
Q23964	11	11
Q23965	9	11
Q23966	9	9
Q23969		9
Q23970	11	11
Q23971	9	11
Q23973	11	11
Q23975	9	11
Q23977	9	11
Q23978	11	11
Q23979	11	11
Q23982	11	11
Q23983	11	11
Q23984	11	11
Q23997	11	11
Q24000	9	11
Q24001	9	11
Q24002	11	11
Q24004	9	11
Q24005	11	11
Q24007	9	11
Q24013	11	11
Q24016		11
Q24017		9
Q24021	9	9
Q24022	9	11
Q24030		11
Q24033	11	11
Q24038	11	11
Q24040	11	11
Q24046	11	11
Q24047	11	11
Q24049	9	11
Q24054	9	11
Q24057	9	11
Q24064	9	11
Q24065	11	11
Q24066	11	11
Q24073	11	11
Q24076	11	11
Q24080	11	11
Q24082	9	11
Q24083	11	11
Q24095	11	11
Q24098	11	
Q24099	11	11
Q24107	11	
Q24108	11	11
Q24109	9	11
Q24111	9	9
Q24112	9	11
Q24116		11
Q24119	9	11
Q24120	11	11
Q24125	11	11
Q24126	11	11
Q24127	11	11
Q24130	11	11
Q24136	11	11
Q24137	9	11
Q24141	9	11
Q24147		11
Q24150	11	11
Q24151	11	11
Q24152	11	11
Q24153	11	11
Q24155	9	11
Q24157	9	11
Q24158	9	11
Q24163	9	11
Q24164	11	11
Q24167	11	11
Q24168	9	11
Q24169	11	11
Q24172	9	11
Q24173	11	11
Q24175	11	11
Q24176	9	11
Q24182	9	11
Q24183	11	11
Q24186	11	11
Q24187	11	11
Q24190	11	11
Q24191	11	11
Q24193	11	11
Q24195	9	11
Q24197	9	11
Q24198	11	11
Q24202	9	11
Q24203	11	11
Q24204	9	11
Q24205	9	11
Q24206	9	11
Q24209	11	11
Q24214	9	9
Q24222	11	11
Q24223	11	11
Q24228	11	11
Q24229	11	11
Q24232	11	11
Q24234	11	11
Q24237	11	11
Q24238	9	11
Q24244	9	11
Q24247	9	11
Q24248	9	11
Q24252	9	11
Q24253	9	11
Q24257	9	11
Q24259	9	11
Q24261	9	11
Q24262		9
Q24263	11	11
Q24264	11	11
Q24266	9	11
Q24267	9	11
Q24269	11	11
Q24270	9	11
Q24271	9	11
Q24272	11	11
Q24273	11	11
Q24274	11	11
Q24278	11	11
Q24280	11	11
Q24282	9	11
Q24283	9	11
Q24284	9	
Q24289	11	11
Q24291	9	11
Q24367	11	
Q24368	11	11
Q24369	10	11
Q24370	11	11
Q24373	11	11
Q24382	11	11
Q24388	11	11
Q24389	11	11
Q24394	11	11
Q24409	9	11
Q24412	11	11
Q24415	9	
Q24425	11	11
Q24428	11	11
Q24431	11	11
Q24432	11	11
Q24433	11	11
Q24437	11	11
Q24438	11	11
Q24439	9	11
Q24442	11	
Q24462	9	9
Q24466	9	9
Q24469	11	11
Q24474	11	11
Q24494	11	11
Q24497	9	9
Q24499	11	11
Q24506	11	11
Q24523	11	11
Q24525	11	11
Q24526	11	11
Q24527	11	11
Q24530	9	
Q24531	9	11
Q24535	11	11
Q24538	9	11
Q24544	11	11
Q24545	11	11
Q24557	11	11
Q24560	11	11
Q24572	11	11
Q24573	11	11
Q24577	11	11
Q24578	9	11
Q24580	11	11
Q24583	11	11
Q24584	11	11
Q24587	11	11
Q24591	11	11
Q24593	11	11
Q24594	9	11
Q24595	9	11
Q24598	11	11
Q24599	11	11
Q24604	9	11
Q24605	9	11
Q24606	11	11
Q24612	9	11
Q24613	11	11
Q24614	9	11
Q24619	11	11
Q24623	9	11
Q24626	11	11
Q24627	9	11
Q24629	11	11
Q24630	9	11
Q24639	11	11
Q24641	11	11
Q24643		11
Q24647	11	11
Q24651	11	11
Q24652	11	11
Q24654	11	11
Q24655	9	9
Q24656	9	11
Q24661	11	11
Q24664	9	11
Q24667	11	11
Q24671	9	11
Q24675	11	11
Q24679	11	11
Q24680	11	11
Q24682		9
Q24683	11	11
Q24687	9	11
Q24688	11	11
Q24691	11	11
Q24705	11	11
Q24706	11	11
Q24708	11	11
Q24710	11	11
Q24711	11	11
Q24716	9	11
Q24717	11	11
Q24719	11	11
Q24723	11	11
Q24726	11	11
Q24727	11	9
Q24728		11
Q24731	9	11
Q24732	9	9
Q24737	11	11
Q24742	9	11
Q24745		11
Q24748		9
Q24755		11
Q24761	9	
Q24772	11	
Q24773	11	11
Q24776	9	11
Q24777	9	9
Q24779		9
Q24780	9	11
Q24785	9	11
Q24787	11	11
Q24788	11	11
Q24789	9	11
Q24790	9	11
Q24791	9	11
Q24793	9	11
Q24794	11	11
Q24795	11	11
Q24798	11	11
Q24802	11	11
Q24806	9	11
Q24810	9	11
Q24811		9
Q24813		11
Q24814		11
Q24817	9	9
Q24818	9	11
Q24858	9	11
Q24864	11	11
Q24867	9	11
Q24869	9	11
Q24871	11	
Q24887	9	11
Q24888	9	11
Q24897	11	11
Q24898	11	11
Q24928	11	11
Q24933	11	11
Q25106	11	11
Q25111	9	
Q25114	11	11
Q25117	9	9
Q25158	11	11
Q25161	11	
Q25166	11	11
Q25175	11	11
Q25177	9	11
Q25178	9	9
Q25179	9	
Q25190	9	11
Q25193		11
Q25194		11
Q25197		11
Q25199		11
Q25204		11
Q25205	11	11
Q25208		11
Q25212		11
Q25213		11
Q25214		11
Q25215		11
Q25216		11
Q25218		11
Q25219		11
Q25224		11
Q25227		11
Q25228		11
Q25229		11
Q25231		11
Q25232		11
Q25233		11
Q25240		11
Q25243		11
Q25244		11
Q25245		11
Q25250		11
Q25251		11
Q25252	9	11
Q25255	9	9
Q25256	9	11
Q25263	9	
Q25264	11	11
Q25265	11	11
Q25266	11	11
Q25267	9	9
Q25268	11	11
Q25269	9	
Q25270	9	
Q25380	9	
Q25397	9	9
Q25398	9	9
Q25401	9	9
Q25402	9	9
Q25406	9	
Q25408	9	9
Q25410	9	9
Q25411	9	9
Q25412	9	9
Q25417	9	9
Q25423	9	9
Q25424		9
Q25425	9	9
Q25426	9	9
Q25431	9	9
Q25437	9	9
Q25438	9	9
Q25439	9	9
Q25440	9	9
Q25445	9	9
Q25448		9
Q25451	9	9
Q25452	9	9
Q25453		9
Q25456		9
Q25458	9	9
Q25459	9	9
Q25460		9
Q25462		9
Q25464	9	
Q25465	9	
Q25466	9	
Q25467	9	9
Q25468	9	9
Q25469	9	9
Q25470		9
Q25471		9
Q25472		9
Q25475	9	9
Q25476		9
Q25477	9	
Q25479		9
Q25481	9	
Q25482	9	9
Q25483	9	9
Q25484	9	9
Q25485		9
Q25486		9
Q25488	9	9
Q25494	9	
Q25495		9
Q25499	9	9
Q25500	9	9
Q25501	9	9
Q25502	9	9
Q25504	9	9
Q25506	9	9
Q25508	9	9
Q25512	9	9
Q25520	9	9
Q25524	9	
Q25530		9
Q25536	9	9
Q25538	9	9
Q25540		9
Q25542	9	9
Q25544		9
Q25548	9	9
Q25550	9	9
Q25554	9	
Q25558	9	9
Q25560	9	
Q25562		9
Q25575	9	
Q25576	9	
Q25578	9	9
Q25579	9	9
Q25580	9	9
Q25581	9	9
Q25582	9	9
Q25584	9	9
Q25590	9	
Q25594	9	9
Q25596	9	9
Q25600	9	
Q25602	9	9
Q25604	9	9
Q25618	9	
Q25623	9	
Q25625	9	
Q25627	9	9
Q25631	9	9
Q25633		9
Q25640	9	9
Q25650		9
Q25666	9	9
Q25670	9	9
Q25672	9	9
Q25674	9	9
Q25676		9
Q25680		9
Q25684	9	9
Q25685	9	9
Q25686		11
Q25689	9	9
Q25691	9	
Q25708	9	
Q25716	9	9
Q25718	9	
Q25736		9
Q25738		9
Q25740	9	9
Q25742		9
Q25744		9
Q25750	9	
Q25768		9
Q25776		9
Q25780	9	
Q25782	9	
Q25790	9	9
Q25792	9	9
Q25794		9
Q25798		9
Q25800		9
Q25802		9
Q25811	9	
Q25812	9	
Q25813	9	
Q25815	9	
Q25816	9	9
Q25819		9
Q25827	9	
Q25837	9	
Q25841	9	
Q25849	9	9
Q25853		9
Q25855		9
Q25857		9
Q25858	9	9
Q25861	9	9
Q25863	9	
Q25885		9
Q25895		9
Q25897	9	9
Q25899	9	9
Q25905	9	9
Q25907	9	9
Q25909		9
Q25927	9	
Q25929		9
Q25936	9	9
Q25944	9	9
Q25950	9	9
Q25952	9	9
Q25954	9	9
Q25956	9	9
Q25958	9	9
Q25960	9	9
Q25962		9
Q25964	9	
Q25976		9
Q26011	9	9
Q26013	9	9
Q26015	9	9
Q26021	9	9
Q26025		9
Q26041	9	
Q26045	9	
Q26051	9	
Q26061	9	9
Q26063	9	9
Q26072	9	9
Q26076	9	9
Q26084	9	
Q26092	9	9
Q26094		9
Q26102	9	
Q26104	9	9
Q26106	9	9
Q26108	9	9
Q26117	9	9
Q26121	9	
Q26149	9	9
Q26151	9	
Q26153	9	
Q26155	9	9
Q26158		9
Q26166		9
Q26168	9	
Q26200	9	
Q26204	9	
Q26206	9	
Q26224		9
Q26225		9
Q26233		9
Q26235	9	9
Q26236		9
Q26238	9	9
Q26239	9	9
Q26240	9	9
Q26241	9	9
Q26243		9
Q26245	9	
Q26249		9
Q26261	9	9
Q26263		11
Q26281	9	
Q26292	9	9
Q26296		9
Q26298		9
Q26306		9
Q26328	9	9
Q26347	9	
Q26365		9
Q26367		9
Q26369		9
Q26371		9
Q26372	9	9
Q26374	11	11
Q26375	11	11
Q26376	9	9
Q26377	11	
Q26381		9
Q26391	9	
Q26394	9	9
Q26409		9
Q26410		9
Q26411		9
Q26413		9
Q26426		9
Q26429	9	
Q26436	11	
Q26439	9	11
Q26442	11	11
Q26445	11	11
Q26448		9
Q26451	9	11
Q26454	9	11
Q26457		11
Q26460	9	9
Q26472	9	11
Q26475	9	11
Q26481	9	
Q26490	9	11
Q26498		9
Q26501	9	9
Q26503	9	11
Q26508	9	9
Q26509	9	9
Q26511	9	11
Q26514	9	9
Q26515	9	11
Q26517	11	11
Q26523	11	
Q26529	9	9
Q26532	9	9
Q26535	9	9
Q26536	9	11
Q26539		11
Q26542	9	11
Q26560	9	11
Q26563		11
Q26575	9	11
Q26580	9	9
Q26589	9	9
Q26593	9	11
Q26599	9	11
Q26602	9	11
Q26610		9
Q26611		11
Q26620	9	11
Q26623		10
Q26629	9	11
Q26632	9	9
Q26637	9	
Q26639		9
Q26641		9
Q26644	9	9
Q26645		9
Q26651		9
Q26653	9	9
Q26654		11
Q26656		9
Q26665		9
Q26671	9	9
Q26675		9
Q26680	11	11
Q26686	11	9
Q26689	11	11
Q26690	11	11
Q26692	11	
Q26693	9	11
Q26695	11	
Q26698	11	
Q26699	9	10
Q26701	11	
Q26704	11	11
Q26705	9	11
Q26707	11	11
Q26708		11
Q26710	11	11
Q26711		11
Q26713	11	11
Q26714	9	11
Q26716		9
Q26720	9	11
Q26722		9
Q26723	9	11
Q26729	9	9
Q26732	11	11
Q26735	11	9
Q26743		9
Q26745	11	11
Q26748		9
Q26754	9	11
Q26757	11	11
Q26763	9	
Q26769	9	11
Q26770	9	
Q26772		11
Q26776	9	9
Q26784	9	11
Q26787	9	11
Q26788		9
Q26791		9
Q26793	9	
Q26796	9	11
Q26799	9	11
Q26802	9	11
Q26812		9
Q26815	9	
Q26818	9	9
Q26823	9	11
Q26826	11	11
Q26829		11
Q26833	9	9
Q26835	9	9
Q26839	9	
Q26842	11	
Q26844	9	
Q26845	11	11
Q26848	11	11
Q26851	11	
Q26854	11	
Q26862	11	11
Q26863	11	11
Q26867	11	
Q26870	9	11
Q26873	11	
Q26879	9	
Q26882	11	11
Q26885	11	
Q26886	9	11
Q26888	11	
Q26889	9	11
Q26891	11	11
Q26892	9	11
Q26894	11	11
Q26895		9
Q26897	11	11
Q26898		9
Q26900	11	11
Q26901	9	9
Q26903	9	9
Q26906	11	11
Q26909	11	11
Q26910	9	11
Q26912	11	11
Q26915	11	11
Q26916	9	11
Q26918	11	11
Q26920		11
Q26921	11	11
Q26924	11	11
Q26927	11	11
Q26930	11	11
Q26933	11	11
Q26935	9	11
Q26936	11	11
Q26938	11	11
Q26939	9	9
Q26942	11	
Q26945	11	11
Q26947	9	11
Q26948	9	9
Q26951	11	11
Q26954	11	11
Q26957	11	11
Q26960	11	11
Q26962	9	11
Q26963	9	9
Q26966	11	11
Q26968	9	11
Q26969	11	11
Q26972	9	11
Q26975	11	11
Q26977		11
Q26978		11
Q26981	9	9
Q26983	9	11
Q26984	11	9
Q26986	9	9
Q26989	9	9
Q26990		9
Q26992	9	11
Q26993	9	
Q26996	11	9
Q26999	9	11
Q27007	9	11
Q27015		11
Q27016	11	11
Q27018		11
Q27021		11
Q27022	11	
Q27024	11	
Q27027	11	11
Q27030	9	11
Q27034	9	11
Q27036	11	11
Q27037	9	11
Q27039	11	11
Q27042	11	11
Q27045	11	11
Q27048	11	11
Q27051	9	11
Q27054	11	11
Q27056	9	11
Q27057	11	11
Q27060	11	11
Q27063	11	11
Q27066	9	11
Q27077	9	11
Q27078	11	
Q27080		11
Q27083		11
Q27084		11
Q27087		9
Q27089		11
Q27090		9
Q27092		11
Q27096	9	9
Q27099	9	9
Q27101	9	11
Q27102		9
Q27108		9
Q27141	9	9
Q27146	9	9
Q27156		9
Q27158	9	11
Q27162		9
Q27165		9
Q27170		9
Q27171	9	9
Q27173	9	11
Q27176		9
Q27179		9
Q27183		9
Q27195		9
Q27197	9	
Q27200	9	
Q27203	11	11
Q27204		11
Q27206	11	11
Q27209	11	9
Q27212	11	
Q27213	9	11
Q27215	11	11
Q27216	11	11
Q27218	11	11
Q27221	9	9
Q27224	11	11
Q27227	9	9
Q27236		11
Q27243	9	9
Q27246	9	9
Q27249	9	9
Q27251	9	11
Q27254	11	
Q27258	11	11
Q27260		11
Q27270		11
Q27272	11	11
Q27273	9	9
Q27275	9	11
Q27278	11	11
Q27279		10
Q27281	11	11
Q27282		9
Q27285	11	11
Q27288	11	
Q27291	11	
Q27295	11	11
Q27296	9	11
Q27298	11	11
Q27299	11	11
Q27301	11	
Q27302	11	11
Q27304	11	
Q27305	11	11
Q27307	11	
Q27308	11	11
Q27310	11	11
Q27311	9	11
Q27313	11	
Q27314	9	11
Q27316	11	9
Q27317	11	11
Q27319	11	9
Q27320	11	11
Q27322	11	
Q27323	11	11
Q27325	11	11
Q27326	11	11
Q27328	11	
Q27329	11	
Q27332	11	11
Q27337	11	
Q27343	11	
Q27344	9	11
Q27346	11	11
Q27347	9	11
Q27350	9	11
Q27352		9
Q27353	11	11
Q27362	11	11
Q27364	11	11
Q27368		11
Q27370	11	
Q27371	11	11
Q27374	11	11
Q27379	11	
Q27380	11	
Q27385	11	11
Q27386	11	11
Q27389	11	11
Q27391	11	
Q27392		9
Q27394	11	11
Q27397	11	
Q27403	11	11
Q27406	9	9
Q27412	11	
Q27413	11	11
Q27418	9	
Q27422	9	11
Q27424	11	
Q27425	9	11
Q27430	11	
Q27433	11	
Q27439	11	11
Q27440	9	11
Q27443	9	11
Q27445	11	11
Q27449	9	
Q27451	11	
Q27455	9	
Q27457	9	11
Q27460	11	11
Q27461	9	9
Q27463	9	11
Q27465	11	11
Q27467	11	
Q27471	11	9
Q27475	11	11
Q27477	9	11
Q27479	9	9
Q27483	11	11
Q27487		11
Q27493	9	11
Q27495	11	
Q27503	11	11
Q27507	11	11
Q27511	11	9
Q27514	11	9
Q27517	11	9
Q27520	11	11
Q27521	9	11
Q27523	11	11
Q27527	9	11
Q27532	9	11
Q27535	11	
Q27543	9	11
Q27544	11	
Q27549	9	11
Q27550	9	9
Q27553	9	9
Q27556	11	9
Q27559	11	11
Q27562	9	9
Q27564	9	11
Q27565		9
Q27567	9	11
Q27570	9	11
Q27571	9	9
Q27580	9	9
Q27583	9	9
Q27586		9
Q27589		9
Q27592		9
Q27595		9
Q27597	9	11
Q27600	9	9
Q27612	11	11
Q27616		9
Q27621		9
Q27636	9	
Q27644	9	9
Q27649	9	11
Q27655	9	11
Q27656		9
Q27659		9
Q27673	9	11
Q27677		9
Q27680	9	9
Q27683	11	
Q27686	9	9
Q27689	11	11
Q27694	9	11
Q27704	11	9
Q27706	9	11
Q27707	9	9
Q27709	11	11
Q27712	9	11
Q27714		9
Q27718	9	11
Q27724	11	11
Q27726	11	11
Q27727	9	11
Q27729	9	9
Q27730		9
Q27732	9	9
Q27733	9	11
Q27735	9	11
Q27736	9	11
Q27738	11	9
Q27739	9	11
Q27741	11	11
Q27742	9	9
Q27744	9	
Q27745	9	11
Q27748	11	11
Q27753	11	11
Q27756	11	9
Q27759	11	9
Q27762	9	9
Q27765		9
Q27768	11	9
Q27770	9	11
Q27771	11	9
Q27774	11	9
Q27776		11
Q27777	11	
Q27779	9	11
Q27780	11	
Q27782		11
Q27783	11	
Q27785	9	11
Q27786	11	
Q27789	11	
Q27792	11	
Q27795	11	
Q27797	9	11
Q27800	9	11
Q27804	9	9
Q27806	11	11
Q27807	9	9
Q27812	11	11
Q27813		11
Q27820	11	
Q27826	11	
Q27827	11	11
Q27829	9	9
Q27830		9
Q27832	11	
Q27833	9	11
Q27835	11	
Q27836	9	11
Q27838	11	
Q27839	9	9
Q27841	11	11
Q27842	9	11
Q27844	11	
Q27850	11	
Q27854	11	11
Q27856	11	
Q27859	11	11
Q27860	9	11
Q27863	9	11
Q27865	9	9
Q27868	11	
Q27869	9	11
Q27872	9	11
Q27878	9	11
Q27881	9	11
Q27887	9	11
Q27889		11
Q27892	11	
Q27895	11	11
Q27901	11	11
Q27904	11	11
Q27906	9	11
Q27907	9	9
Q27913	11	9
Q27915	9	11
Q27916	11	
Q27919	11	11
Q27921	9	11
Q27922	11	
Q27924	11	11
Q27928	11	11
Q27930	9	
Q27931	9	9
Q27934	11	11
Q27937	11	11
Q27939	9	11
Q27940	11	
Q27946	11	
Q27949		9
Q27952	9	9
Q27964	11	11
Q27967	11	11
Q27970	11	11
Q27973	11	9
Q27976	11	11
Q27979	11	11
Q27982	11	
Q27985	11	11
Q27988	11	11
Q27991	9	9
Q27994	9	
Q27997	11	11
Q28000	11	11
Q28003	11	11
Q28007		11
Q28019	11	11
Q28025		9
Q28028	11	
Q28037		9
Q28043		9
Q28046		9
Q28049	9	9
Q28066		9
Q28074		9
Q28099		9
Q28102		9
Q28128		9
Q28136		9
Q28223	9	
Q28235	9	
Q28241	11	11
Q28251	9	
Q28264	9	
Q28276	9	
Q28281	11	11
Q28284	10	9
Q28292	9	
Q28297	11	11
Q28300	10	9
Q28304	9	
Q28305	9	11
Q28308	10	9
Q28351	11	
Q28353	11	11
Q28355	11	
Q28357		11
Q28359	11	
Q28361		11
Q28363	11	
Q28365	11	11
Q28367	11	
Q28370		11
Q28374		11
Q28375	9	9
Q28378		11
Q28383	11	11
Q28386		11
Q28390		11
Q28391	11	11
Q28394		11
Q28398	9	11
Q28402		11
Q28406		11
Q28410		11
Q28419	11	11
Q28423	11	11
Q28426		11
Q28431	11	11
Q28435	11	
Q28439	9	
Q28443	11	
Q28446	9	11
Q28447	11	11
Q28450	9	11
Q28455	11	11
Q28458	11	
Q28459	11	11
Q28467	11	11
Q28470		9
Q28471	9	11
Q28475	9	9
Q28478	9	11
Q28480	9	9
Q28484	9	9
Q28488	11	11
Q28492	11	11
Q28496	11	11
Q28500	11	11
Q28502	9	11
Q28504	11	11
Q28508	11	11
Q28512	11	11
Q28514		11
Q28516	11	11
Q28519	11	11
Q28520	9	11
Q28522	11	11
Q28523	9	11
Q28525	11	11
Q28528	11	11
Q28531	9	
Q28534		11
Q28535	9	11
Q28537	11	
Q28540	9	
Q28543	9	9
Q28546	11	
Q28549	11	11
Q28552	9	9
Q28555	11	
Q28558	11	
Q28561	11	
Q28562	9	
Q28564	9	9
Q28567	11	
Q28568	9	11
Q28570	11	
Q28576	11	
Q28579	11	
Q28585		11
Q28588	11	11
Q28591	11	
Q28593		11
Q28597	11	11
Q28599		9
Q28601	11	
Q28605	11	
Q28607	11	11
Q28617		9
Q28619	11	11
Q28621		9
Q28623	9	11
Q28625		9
Q28627	9	11
Q28629		9
Q28631	9	11
Q28633	9	9
Q28641	9	
Q28651	9	11
Q28654	9	9
Q28655	9	11
Q28659	9	11
Q28662	9	9
Q28670	9	
Q28674	9	
Q28675	9	11
Q28679		11
Q28682	9	
Q28686		9
Q28687	11	11
Q28695	9	9
Q28698	9	
Q28703		11
Q28710	9	9
Q28719		11
Q28722		9
Q28727	11	11
Q28730		9
Q28734	9	9
Q28742		9
Q28746	9	
Q28750		9
Q28754		9
Q28755	9	11
Q28758		9
Q28767	9	11
Q28771	11	11
Q28775	11	
Q28782		9
Q28783		9
Q28786	11	
Q28790	11	
Q28791	9	11
Q28804	9	10
Q28808	9	11
Q28818	11	9
Q28822	9	11
Q28824	9	
Q28826	9	9
Q28830	11	9
Q28838		9
Q28842		9
Q28844	10	11
Q28846	11	9
Q28850		9
Q28852	9	11
Q28854	11	9
Q28862	11	9
Q28864	9	11
Q28866	11	11
Q28870	11	9
Q28876	11	11
Q28878	11	
Q28880		11
Q28882	11	
Q28884	11	11
Q28886	11	
Q28888	9	11
Q28890	11	
Q28892		11
Q28894	11	
Q28896	11	11
Q28898	11	
Q28903	11	
Q28907	11	
Q28911	11	11
Q28916		11
Q28919	11	
Q28920		11
Q28923	11	
Q28927	9	9
Q28928		11
Q28931	9	9
Q28939	11	11
Q28944	9	11
Q28947	11	
Q28951	11	9
Q28955	11	9
Q28959	11	11
Q28963	9	11
Q28971	11	
Q28980	9	11
Q28983	11	11
Q28987	11	11
Q28991	11	11
Q28995	11	11
Q28999	11	11
Q29000	11	11
Q29003	11	11
Q29004	11	11
Q29007	9	9
Q29008	9	11
Q29011		11
Q29013	11	
Q29019		11
Q29023	11	11
Q29027	11	11
Q29029	9	11
Q29031	11	11
Q29033		9
Q29037	11	11
Q29042	11	
Q29046	9	
Q29050	9	9
Q29058	9	9
Q29061	9	11
Q29065		9
Q29066	11	11
Q29069	9	9
Q29074	9	9
Q29078	11	
Q29081	9	11
Q29085	9	11
Q29094	11	11
Q29097	11	11
Q29098	11	
Q29102	11	11
Q29105	11	11
Q29106	9	9
Q29108	9	9
Q29109	9	9
Q29113	9	11
Q29114	11	
Q29117		9
Q29125	9	11
Q29136	9	9
Q29137	9	11
Q29141	9	9
Q29167	9	
Q29171	9	9
Q29173	9	11
Q29175	11	
Q29177	9	11
Q29179	11	
Q29181	11	11
Q29183	11	11
Q29189	11	11
Q29191	11	11
Q29193	9	11
Q29201	9	11
Q29205	9	11
Q29209	9	11
Q29211	11	11
Q29213		11
Q29215	11	11
Q29219	11	11
Q29223	9	11
Q29227	11	9
Q29231	11	11
Q29233	9	11
Q29235	11	
Q29239	11	11
Q29241	11	
Q29243	11	
Q29245	11	11
Q29247	11	
Q29249	11	11
Q29251	9	
Q29253		9
Q29257	9	11
Q29259	11	11
Q29261	11	
Q29263	11	11
Q29265	11	11
Q29267	9	9
Q29271	9	
Q29273	11	11
Q29275	11	
Q29277	11	11
Q29279	9	9
Q29290	9	
Q29291	11	
Q29294	9	9
Q29295	9	9
Q29298	11	11
Q29302	11	11
Q29303	11	11
Q29304	9	9
Q29306	11	11
Q29307	11	11
Q29311	9	9
Q29315	11	11
Q29319	11	
Q29323	11	
Q29327	11	
Q29331	11	
Q29338	9	
Q29342	9	11
Q29346	9	11
Q29347		9
Q29351	9	9
Q29355	9	9
Q29358	9	
Q29360	9	9
Q29363	9	9
Q29370	9	
Q29371	9	
Q29374	9	
Q29384		9
Q29394	9	11
Q29396		9
Q29400		9
Q29404	9	9
Q29408		9
Q29410	9	9
Q29418	11	11
Q29422	11	11
Q29424	9	9
Q29426	11	11
Q29430	9	11
Q29436	9	9
Q29440		9
Q29442	11	11
Q29446	11	11
Q29450	9	11
Q29454	11	11
Q29456	11	9
Q29457		9
Q29458		11
Q29460	9	9
Q29462	9	11
Q29466	9	11
Q29468		9
Q29474	9	11
Q29476		9
Q29478	11	11
Q29480		9
Q29482	11	11
Q29484	9	9
Q29486	11	11
Q29488	11	
Q29492	11	11
Q29500		9
Q29502	9	11
Q29504	11	
Q29506	9	9
Q29508	11	
Q29510	9	9
Q29514	9	9
Q29516	11	
Q29517	9	9
Q29520		11
Q29526	11	11
Q29528	11	
Q29531	11	11
Q29532	11	
Q29535	9	11
Q29536	11	11
Q29544	11	
Q29547	11	11
Q29551	11	11
Q29552	11	
Q29554	9	9
Q29555	9	9
Q29556	9	9
Q29560	9	9
Q29563	11	11
Q29572	11	
Q29583	11	11
Q29584	11	
Q29591	9	11
Q29592	11	
Q29595	11	11
Q29607	9	9
Q29608	11	11
Q29611	11	11
Q29612	11	11
Q29616	9	9
Q29620	11	11
Q29624	9	9
Q29627		9
Q29628	11	11
Q29632	9	11
Q29635	9	
Q29636	11	11
Q29639	9	9
Q29644	11	
Q29647		11
Q29648	11	11
Q29656	11	
Q29664	11	
Q29667		9
Q29672	11	
Q29675	9	9
Q29680	9	9
Q29683	11	11
Q29684	11	9
