qid,english_label,english_description,label_count,description_count,wikidata_qids,geni_ids,wikidata_count,geni_count
Q149046,Simon Basset,Peerage person ID=117004,3,2,Q75397952; Q75397952,6000000003243404859,2,1
Q149048,Eve d'Ufford,Peerage person ID=151826,2,1,Q75453808; Q75453808,6000000006444081201,2,1
Q149049,Sir John de Brewes,Peerage person ID=151830,2,1,Q75453815; Q75453815,6000000001531193661,2,1
Q149055,"Henry, 3rd Earl of Lancaster",English noble,29,10,Q950456; Q950456,6000000009890006762,2,1
Q149056,"Henry of Grosmont, 1st Duke of Lancaster","English diplomat and writer, born in Wales",42,13,Q225604; Q225604,6000000004344528746,2,1
Q149057,Blanche of Lancaster,"English noblewoman, died 1380",12,7,Q4924901; Q4924901,6000000004344675205,2,1
Q149058,"Maud of Lancaster, Countess of Ulster",Irish noble,15,10,Q6487725; Q6487725,6000000001745092743,2,1
Q149060,Eleanor of Lancaster,(1318-1372),20,9,Q1325750; Q1325750,6000000009898625219,2,1
Q149061,Mary of Lancaster,English noble,14,8,Q6487814; Q6487814,6000000000337756055,2,1
Q149093,"Robert de Ferrers, 2nd Earl of Derby",English noble,13,4,Q2601233; Q2601233,6000000000115658620,2,1
Q149094,"Margaret Ferrers, Countess of Derby",Countess of Derby,6,4,Q6759399; Q6759399,6000000000424792061,2,1
Q149113,"Yolande of Dreux, Duchess of Burgundy",Duchess Consort of Burgundy,27,17,Q551752; Q551752,6000000001500947329,2,1
Q149118,Ruaidrí Ua Conchobair,High King of Ireland,28,8,Q1660081; Q1660081,6000000008248298661,2,1
Q149127,Edmond de Burgh,Irish knight (1298–1338),9,2,Q3048026; Q3048026,6000000006727947933,2,1
Q149128,John de Burgh,English nobleman (1286–1313),13,4,Q2739178; Q2739178,6000000006727947903,2,1
Q149132,Lady Joan de Burgh,Peerage person ID=151417,3,1,Q75453214; Q75453214,6000000006444391271,2,1
Q149133,Elizabeth de Burgh,Irish noblewoman and Queen consort of Scotland (c.1284–1327),29,10,Q262059; Q262059,6000000006119816324,2,1
Q149136,"James Stewart, 5th High Steward of Scotland",Guardian of Scotland during the First Interregnum (1260-1309),14,7,Q361611; Q361611,6000000000701216181,2,1
Q149137,"Walter Stewart, 6th High Steward of Scotland",Scottish soldier,25,8,Q1100898; Q1100898,6000000003099027666,2,1
Q149159,Joan of Lusignan,French noble,9,5,Q10795576; Q10795576,365447742810013159,2,1
Q149160,"Joan de Geneville, 2nd Baroness Geneville",daughter of Sir Piers de Geneville and Joan of Lusignan,19,7,Q3766298; Q3766298,6000000001611675939,2,1
Q149163,"John I, Count of Salm",Count of Upper Salm,10,3,Q31192745; Q31192745,6000000003827488463,2,1
Q149164,"Gerald fitz Maurice, 4th Baron of Offaly",Peerage person ID=155611,2,1,Q75459719; Q75459719,6000000119099704117,2,1
Q149165,Loretta of Salm,Countess of Sponheim,16,12,Q1870280; Q1870280,6000000003827368680,2,1
Q149166,"Simon I, Count of Salm",Count of Upper Salm,5,1,Q101518522; Q101518522,6000000003827488457,2,1
Q149170,Roesia de Verdun,Irish woman who built a castle,8,2,Q77532126; Q77532126,6000000000435968674,2,1
Q149177,Fulk FitzWarin,English marcher lord seated of Whittington Castle in Shropshire,10,3,Q5507946; Q5507946,6000000008630628548,2,1
Q149183,Albert II,"Margrave of Meissen, Landgrave of Thuringia and Count Palatine of Saxony",29,14,Q61508; Q61508,6000000002006137280,2,1
Q149184,"Frederick I, Margrave of Meissen",Margrave of Meissen from 1291 to 1323,26,9,Q694358; Q694358,5432707656870033217,2,1
Q149188,Marie de Coucy,Scottish queen,20,11,Q2465095; Q2465095,6000000000424836704,2,1
Q149189,Alexander III of Scotland,King of Scots 1249–1286,64,20,Q211109; Q211109,6000000001745038323,2,1
Q149191,Beatrice of Savoy,Countess consort of Provence (c.1198–c.1267),35,15,Q254275; Q254275,6000000001956369826,2,1
Q149192,Margaret of Provence,Queen of France 1234-1270,43,13,Q230889; Q230889,6000000000154158007,2,1
Q149201,Sir Geoffrey de Cornwall,Peerage person ID=328374; ( -<1335),2,1,Q75776393; Q75776393,6000000003243284257,2,1
Q149210,Margaret of France,Queen of England,47,16,Q235480; Q235480,6000000049649078833,2,1
Q149213,"Alphonso, Earl of Chester",English noble,32,10,Q1475199; Q1475199,6000000003219749097,2,1
Q149214,Margaret of England,"Princess of England and Duchess of Brabant, Lothier and Limburg",30,15,Q2667593; Q2667593,6000000000307258557,2,1
Q149215,Mary of Woodstock,English princess,28,8,Q4216185; Q4216185,5566679525130124570,2,1
Q149216,Elizabeth of Rhuddlan,"English princess, born in Wales",36,10,Q2435894; Q2435894,6000000009189190206,2,1
Q149217,Edward II of England,King of England from 1307 to 1327,82,27,Q5236; Q5236,4194863017010128979,2,1
Q149218,"Edmund of Woodstock, 1st Earl of Kent",English Earl,34,14,Q956563; Q956563,6000000004960013154,2,1
Q149230,Margaret of Scotland,Queen of Norway,32,11,Q235482; Q235482,6000000010200851092,2,1
Q149231,"Alexander, Prince of Scotland","Son of Alexander III of Scotland and his Queen Consort Margaret of England, and heir to the throne of Scotland",22,5,Q2012697; Q2012697,6000000015635301804,2,1
Q149233,"John II, Duke of Brittany",Duke of Brittany,30,6,Q453989; Q453989,6000000006594579046,2,1
Q149235,"Marie of Brittany, Countess of Saint-Pol",French noblewoman,16,4,Q6654925; Q6654925,6000000004533274488,2,1
Q149241,Blanche of Artois,queen of Navarre (1248-1302),40,25,Q242769; Q242769,4687427039910030320,2,1
Q149242,"Thomas, 2nd Earl of Lancaster",English noble (1278-1322),27,9,Q249183; Q249183,6000000003200696188,2,1
Q149243,John of Lancaster,seigneur de Beaufort,8,5,Q53681602; Q53681602,6000000002172844868,2,1
Q149245,Maurice de Berkeley,English knight and rebel,5,3,Q6793553; Q6793553,6000000013116537211,2,1
Q149250,"Thomas de Berkeley, 1st Baron Berkeley",English baron and diplomat,6,6,Q7795451; Q7795451,6000000003051159727,2,1
Q149261,Marjorie Bruce,Scottish princess (c. 1296 – 1316/17),32,9,Q291049; Q291049,6000000002144509782,2,1
Q149270,"Domhnall II, Earl of Mar",14th-century Scottish nobleman,15,5,Q1237391; Q1237391,6000000001713383244,2,1
Q149283,Owain Lawgoch,Prince of Gwynedd and Wales,20,6,Q2738520; Q2738520,6000000006444798568,2,1
Q149295,Guillaume II de Fiennes,seigneur de Tingry,6,3,Q56285117; Q56285117,6000000002896070937,2,1
Q149298,Edmund Mortimer,English knight,14,6,Q4303435; Q4303435,6000000006727936896,2,1
Q149300,"Katherine Mortimer, Countess of Warwick",English countess,14,5,Q3813372; Q3813372,6000000002217559631,2,1
Q149313,Maud le Botiller,Peerage person ID=116478,3,2,Q75397072; Q75397072,6000000002135022288,2,1
Q149314,"Alice of Saluzzo, Countess of Arundel",Italian-born English countess,11,5,Q3611717; Q3611717,6000000001744825617,2,1
Q149315,"Edmund FitzAlan, 9th Earl of Arundel",English Earl,19,11,Q2004845; Q2004845,6000000004533233742,2,1
Q149316,Eleanor FitzAlan,British noble,14,2,Q5354277; Q5354277,5070083164050115694,2,1
Q149323,"Robert de Vere, 5th Earl of Oxford",English noble (1240-1296),48,5,Q673774; Q673774,6000000006181432181,2,1
Q149325,Alfonso de Vere,English noble,6,4,Q28927515; Q28927515,6000000006181267256,2,1
Q149331,Mary de Monthermer,14th-century English noblewoman,10,3,Q6781019; Q6781019,6000000001563228674,2,1
Q149332,"Piers Gaveston, 1st Earl of Cornwall",Favourite of King Edward II of England (1284-1312),36,21,Q710482; Q710482,6000000004838088326,2,1
Q149333,"Ralph de Stafford, 1st Earl of Stafford",English noble and soldier (1301-1372),20,15,Q942577; Q942577,5614178293470033239,2,1
Q149334,"Hugh de Stafford, 2nd Earl of Stafford",English noble (1342-1386),14,5,Q4441325; Q4441325,6000000000129455080,2,1
Q149335,Beatrice de Stafford,(1341-1415),5,3,Q56372108; Q56372108,6000000004880970410,2,1
Q149336,Catherine de Stafford,English noblewoman (died after 6 December 1361),2,1,Q75240749; Q75240749,6000000006906868891,2,1
Q149341,Euphemia de Clavering,(1267-1329),3,3,Q75095304; Q75095304,6000000000796888188,2,1
Q149343,Joan FitzHugh,-1403,2,2,Q61963533; Q61963533,6000000003769935354,2,1
Q149344,"Ralph de Greystoke, 3rd Baron Greystoke",English peer and landowner,3,2,Q16863383; Q16863383,6000000002603425887,2,1
Q149348,Maud Percy,(1340-1379),7,3,Q61278543; Q61278543,6000000000550492423,2,1
Q149353,"Ralph de Neville, 1st Earl of Westmorland",English Earl,25,9,Q1972589; Q1972589,6000000001069437500,2,1
Q149360,"Henry Percy, 1st Earl of Northumberland",English noble,29,9,Q1398378; Q1398378,6000000000337280718,2,1
Q149361,Henry Percy,English noble,31,10,Q471421; Q471421,6000000001874251910,2,1
Q149369,"William Dacre, 2nd Baron Dacre",English baron,5,4,Q8007529; Q8007529,6000000000560226112,2,1
Q149387,"Eleanor de Bohun, Countess of Ormonde",Irish Countess,11,3,Q5354426; Q5354426,6000000003883986396,2,1
Q149390,"Margaret de Bohun, Countess of Devon","English noblewoman, granddaughter of King Edward I and Eleanor of Castile",18,4,Q6760053; Q6760053,6000000002318224004,2,1
Q149391,"William de Bohun, 1st Earl of Northampton",English earl,19,8,Q3120286; Q3120286,6000000003086434645,2,1
Q149398,"Robert FitzWalter, 1st Baron FitzWalter",English peer,5,2,Q7344364; Q7344364,6000000003827346632,2,1
Q149418,"Maurice de Berkeley, 2nd Baron Berkeley",English noble and rebel,7,5,Q6793554; Q6793554,6000000002889372907,2,1
Q149419,Isabel of Berkeley,(1307-1362),4,2,Q56373653; Q56373653,6000000002890051365,2,1
Q149420,"Thomas de Berkeley, 3rd Baron Berkeley",English noble,12,5,Q7795452; Q7795452,6000000006265866049,2,1
Q149424,Milicent de Berkeley,Peerage person ID=130450,3,2,Q75420102; Q75420102,6000000000796822255,2,1
Q149433,Henry Green,English lawyer and Chief Justice of the King's Bench,8,2,Q5722186; Q5722186,6000000006444123489,2,1
Q149435,Geoffrey de Lucy,Peerage person ID=474463,4,1,Q76022665; Q76022665,6000000003827234866,2,1
Q149441,Devorguilla of Galloway,Peerage person ID=538589,4,1,Q61964094; Q61964094,5028850249730050581,2,1
Q149458,Sibyl Marshal,Peerage person ID=336134,2,1,Q75791669; Q75791669,6000000003494762608,2,1
Q149461,Agnes de Cheney,-,2,1,Q99735564; Q99735564,6000000008447845113,2,1
Q149465,"Henry de Percy, 1st Baron Percy",Medieval English Baron and Warlord,14,7,Q3785021; Q3785021,6000000006413316096,2,1
Q149467,"Ralph FitzRanulf, of Spennithorne",- Bef 1315,10,1,Q86647707; Q86647707,6000000002929695283,2,1
Q149478,Beatrice de Beauchamp,(1107-1153),6,3,Q64565681; Q64565681,6000000002043178578,2,1
Q149490,Robert Gresle,,7,1,Q7351406; Q7351406,6000000003827232265,2,1
Q149497,"Thomas de Beaumont, 6th Earl of Warwick",English Earl,11,3,Q3990748; Q3990748,4431868235730044194,2,1
Q149511,Sir John Blount,Peerage person ID=165265,2,1,Q75475836; Q75475836,6000000002725155726,2,1
Q149515,Robert Blount,Peerage person ID=211963,2,1,Q75558672; Q75558672,6000000006092376098,2,1
Q149521,Edward le Despenser,English noble,11,4,Q3432590; Q3432590,6000000001830697409,2,1
Q149525,"Hugh le Despencer, 2nd Baron le Despencer",English noble,88,5,Q4502673; Q4502673,6000000006754297085,2,1
Q149526,"Isabel le Despenser, Countess of Arundel",Countess of Arundel,11,4,Q6077837; Q6077837,6000000005907443009,2,1
Q149528,Thomas de Leybourne,of Leybourne and Newington,5,2,Q69787886; Q69787886,6000000015707960353,2,1
Q149532,"Thomas de Beauchamp, 12th Earl of Warwick",English Earl,18,5,Q945379; Q945379,6000000005856941001,2,1
Q149534,"William de Beauchamp, 1st Baron Bergavenny",English noble,8,4,Q8020750; Q8020750,6000000006444063458,2,1
Q149535,Maud de Beauchamp,- 1402/1403,2,2,Q56373638; Q56373638,6000000053049183109,2,1
Q149540,Isabel de Beauchamp,Peerage person ID=568308,2,1,Q76154609; Q76154609,6000000031554205241,2,1
Q149548,"Thomas of Astley, 3rd Lord Astley",- Aft 03 May 1366,3,2,Q61911535; Q61911535,6000000002101076351,2,1
Q149560,Gerard de Furnival,Anglo-Norman knight,10,1,Q5550208; Q5550208,6000000006166433041,2,1
Q149581,"James Butler, 1st Earl of Ormond",Irish earl,9,5,Q6130586; Q6130586,6000000002112707514,2,1
Q149583,"John Charleton, 4th Baron Cherleton",4th Baron Cherleton,8,4,Q2657811; Q2657811,6000000000436898288,2,1
Q149590,Mary Talbot,Peerage person ID=322423,3,1,Q75765085; Q75765085,6000000006444270310,2,1
Q149592,"John Talbot, 1st Earl of Shrewsbury",English Earl,34,12,Q561173; Q561173,6000000002113066241,2,1
Q149594,"Sir Hugh Poyntz, 1st Lord Poyntz",Peerage person ID=250260,3,2,Q75620333; Q75620333,6000000000490879975,2,1
Q149597,Margery Poyntz,(died 1376),2,1,Q75620366; Q75620366,6000000000490879968,2,1
Q149598,Robert Poyntz,"(1359-1439) of Iron Acton, Glos",6,3,Q51864333; Q51864333,6000000006444211171,2,1
Q149614,Edward Stradling,"English soldier and official, died 1453",8,3,Q18730241; Q18730241,6000000000350936423,2,1
Q149623,Haraldr Óláfsson,King of Mann and the Isles,10,3,Q3127259; Q3127259,6000000002512272355,2,1
Q149624,John de Courcy,Anglo-Norman knight,13,8,Q967212; Q967212,6000000007151823972,2,1
Q149656,"Ralph Basset, 1st Lord Basset (of Sapcote)",Peerage person ID=117008,3,2,Q75397960; Q75397960,6000000002116179398,2,1
Q149662,Ankaret Boteler,Peerage person ID=568296,4,2,Q76154592; Q76154592,6000000003827551456,2,1
Q149820,Lucy de Kyme,Peerage person ID=9086,3,2,Q75247984; Q75247984,6000000006444211641,2,1
Q149826,"Alice de Warenne, Countess of Arundel",English countess,23,14,Q4726175; Q4726175,6000000000796852558,2,1
Q149827,"John de Warenne, 7th Earl of Surrey",English Earl,13,6,Q6265668; Q6265668,6000000002475161686,2,1
Q149828,John of Scotland,King of Scots,54,21,Q310065; Q310065,6000000002188316509,2,1
Q149842,Elizabeth de Quincy,Peerage person ID=5226,4,2,Q61492807; Q61492807,6000000002980072447,2,1
Q149844,Helen de Quincy,Peerage person ID=405649,3,1,Q75091096; Q75091096,6000000000162012247,2,1
Q149861,"William Ferrers, 1st Lord Ferrers",English nobleman,7,3,Q19325837; Q19325837,365373372940001808,2,1
Q149869,Hugh de Vivonne,French knight,3,1,Q60378890; Q60378890,6000000002766617628,2,1
Q149878,"John de Beauchamp, 1st Baron Beauchamp","English baron, died 1336",4,1,Q19874700; Q19874700,6000000006092190208,2,1
Q149887,"John de Mohun, 2nd Baron Mohun",English Knight of the Order of the Garter,8,4,Q6265587; Q6265587,6000000000350923523,2,1
Q149891,Eustace de Vesci,Magna Carta baron,8,2,Q5414319; Q5414319,6000000009440896136,2,1
Q149907,Jeanne des Roches,French noble,9,6,Q16863335; Q16863335,6000000002006128806,2,1
Q149916,"Guy IV, Count of Saint-Pol",French noble,90,15,Q348322; Q348322,6000000003615807137,2,1
Q149918,Mahaut of Châtillon,"Countess by marriage of Anjou, Maine, Valois, Alençon and Chartres",26,6,Q656859; Q656859,6000000001578912888,2,1
Q149923,Hugh XIII of Lusignan,French noble,19,13,Q432467; Q432467,6000000008053283182,2,1
Q38206,"{'language': 'en', 'value': 'Solomon'}",king of Israel and son of David,118,45,Q37085,6000000000961704236,1,1
Q38436,Kong Duanli,,2,0,Q22812654,6000000012967334777,1,1
Q38452,Yuan Shoucheng,Qing dynasty person CBDB = 63528,8,1,Q13672901,6000000057333810143,1,1
Q38456,,,1,0,Q133277758,6000000049344881049,1,1
Q38460,Kong Te-cheng,Ceremonial Official to Confucius (1920–2008),21,5,Q698846,6000000011250077200,1,1
Q38468,,,1,0,Q133313587,6000000164656920014,1,1
Q38472,Duan Shixun,,3,0,Q131690151,6000000056102124077,1,1
Q38480,Ruan Shiheng,Qing dynasty person CBDB = 29665,8,1,Q45416398,6000000074792815845,1,1
Q38484,Jiang Shuren,Qing dynasty person CBDB = 29670,8,1,Q45416409,6000000074792821905,1,1
Q38488,Wang Shuren,Qing dynasty person CBDB = 29672,8,1,Q45416412,6000000074792640995,1,1
Q38492,Ruan Chengde,Qing dynasty person CBDB = 29673,8,1,Q45416413,6000000074792597956,1,1
Q38496,Ruan Chengyi,Qing dynasty person CBDB = 29674,8,1,Q45416415,6000000074792726880,1,1
Q38500,Ruan Chengren,Qing dynasty person CBDB = 29675,8,1,Q45416417,6000000074792852835,1,1
Q38504,Lin Tinghe,Qing dynasty person CBDB = 29687,8,1,Q45416438,6000000074792636064,1,1
Q38508,Jiang Chengrui,Qing dynasty person CBDB = 29669,8,1,Q45416406,6000000074792870847,1,1
Q38512,Xu Zongyan,Qing dynasty person CBDB = 29717,23,4,Q16904191,6000000074792912853,1,1
Q38516,Qian Kai,Qing dynasty person CBDB = 29761,9,2,Q16922015,6000000075326589858,1,1
Q38520,Ji Yaoqing,Ming dynasty person CBDB = 126230,11,2,Q45561059,6000000019196873909,1,1
Q38577,Yuan Xu,,3,0,Q13672927,6000000057333446918,1,1
Q38585,,,1,0,Q134176918,6000000176832188835,1,1
Q38637,Lao Naixuan,Qing dynasty politician,10,4,Q10901054,6000000075554561822,1,1
Q38641,,,1,0,Q133697547,6000000177319384883,1,1
Q38653,Lu Qin,Western Han Dynasty person CBDB = 33702,7,1,Q45426816,6000000016688843270,1,1
Q38657,Kong Yao,,6,0,Q22812628,6000000012967336646,1,1
Q38917,Baurchuk Art Tekin,Yuan dynasty person CBDB = 30339,13,3,Q4873576,6000000075326434147,1,1
Q38925,Orda Khan,Mongol Khan,41,8,Q380393,6000000074791899851,1,1
Q38929,Batu Khan,Khan of the Golden Horde,86,21,Q175138,6000000003827542402,1,1
Q38937,Shiban,Mongol military leader and Khan,31,10,Q935963,6000000074791876883,1,1
Q38945,Huolu,Daughter of Djötchi,19,3,Q18654413,6000000074791716913,1,1
Q38953,Kumatiemuer,Yuan dynasty person CBDB = 115265,8,1,Q45571316,6000000074790637619,1,1
Q38957,Tanggute,Yuan dynasty person CBDB = 116862,11,1,Q45669251,6000000074791354211,1,1
Q39005,Güyük Khan,Third Great Khan of the Mongol Empire,58,18,Q7520,6000000074791708961,1,1
Q39009,Godan Khan,"Mongolian khan, second son of ögödei",28,7,Q1378067,6000000074791885821,1,1
Q39013,Khochu,"Mongolian khan, Ögödei's son",18,4,Q7069358,6000000074791874835,1,1
Q39017,Khorachar,son of Ögödei Khan,18,4,Q7069368,6000000074791887821,1,1
Q39021,Khashi,"Mongol prince, son of Ögödei",22,8,Q7069369,6000000074791690971,1,1
Q39025,Kadan,son of Ögödei,27,4,Q1419360,6000000074791677954,1,1
Q39029,Melik,Ögödei's son,20,2,Q7069352,6000000074791664953,1,1
Q39033,Sürkhakhan,"Mongolian princess, Ögödei daughter.",17,2,Q18652150,6000000074791643971,1,1
Q39114,Arghun,the fourth Ilkhan of Mongol Ilkhanate (1284–1291),42,14,Q220099,6000000074791501176,1,1
Q39118,Gaykhatu,the fifth Ilkhan of Mongol Ilkhanate (1291–1295),40,11,Q470322,6000000074791708995,1,1
Q39333,"{'language': 'en', 'value': 'Isabel  de Tolosa Cortés de Moctezuma'}",,1,0,Q6077821,6000000007114253414,1,1
Q39364,Niulin Dejin,Yuan dynasty person CBDB=30345,9,2,Q16903764,6000000075326694996,1,1
Q40245,Kong Ruoyu,,2,0,Q22812653,6000000012967408609,1,1
Q40257,,,1,0,Q133277762,6000000048114671958,1,1
Q40261,Sun Qi-fang,Wife of Kong Te-cheng,2,1,Q133277697,6000000013009630853,1,1
Q40265,Kung Wei-yi,7 Nov 1939 - 26 Feb 1989,7,3,Q22812671,6000000011250302801,1,1
Q40269,Kung Wei-ning,,5,1,Q10944441,6000000011251618405,1,1
Q40277,Yuan Jiasan,Qing dynasty politician,9,3,Q11626510,6000000012675548407,1,1
Q40281,Duan Qirui,Chinese warlord and politician (1865-1936),39,19,Q706172,6000000013041985521,1,1
Q40285,Duan Shixuan,,3,0,Q131690465,6000000013041777050,1,1
Q40289,Yuan Jianai,,2,0,Q131690146,6000000141565149825,1,1
Q40297,Ruan Shuliang,Qing dynasty person CBDB = 29662,8,1,Q45416392,6000000074792462970,1,1
Q40301,Ruan Jintang,Qing dynasty person CBDB = 29668,8,1,Q45416404,6000000074792443104,1,1
Q40305,Wang Hao,Qing dynasty person CBDB = 29671,8,1,Q45416410,6000000074792726922,1,1
Q40309,Ruan Zhaolin,Qing dynasty person CBDB = 29676,8,1,Q45416418,6000000074792670900,1,1
Q40313,Lin Wenlian,Qing dynasty person CBDB = 29686,8,2,Q45416436,6000000074792720954,1,1
Q40317,Gao Jiexiao,Qing dynasty person CBDB = 29689,8,1,Q45416441,6000000074792620947,1,1
Q40321,Liang Desheng,Chinese writer,14,20,Q6539974,6000000075607522880,1,1
Q40325,Xu Yanreng,Qing dynasty person CBDB = 55835,9,1,Q45491904,6000000074792675948,1,1
Q40329,Xu Yunlin,Qing dynasty person CBDB=54692,8,1,Q45702213,6000000074792140266,1,1
Q40333,Xu Yunjiang,Qing dynasty person CBDB = 54693,8,1,Q45702235,6000000074792355221,1,1
Q40337,Xu Zhaokui,Qing dynasty person CBDB = 29722,8,1,Q45416504,6000000074792801911,1,1
Q40341,Xu Yancai,Qing dynasty person CBDB = 29723,8,1,Q45416505,6000000074792773926,1,1
Q40345,Xu Yanze,Qing dynasty person CBDB = 29724,8,1,Q45416507,6000000074792952839,1,1
Q40349,Xu Yanjing,Qing dynasty person CBDB = 29725,8,1,Q45416509,6000000074792937893,1,1
Q40353,Xu Yanjue,Qing dynasty person CBDB = 29727,8,1,Q45416514,6000000074792509043,1,1
Q40357,Qian Jun,Qing dynasty person CBDB = 29762,8,1,Q45416595,6000000074792642994,1,1
Q40361,Ji Tingxian,Ming dynasty person CBDB = 126228,8,2,Q45560932,6000000019201271843,1,1
Q40385,Ji Yingxuan,Qing dynasty person CBDB = 353447,7,1,Q45551067,6000000176832436849,1,1
Q40436,Li Xi,Northern Wei person CBDB = 31119,8,1,Q11097387,6000000007512954111,1,1
Q40440,Li Mou,Tang dynasty person CBDB = 186969,8,1,Q45692515,6000000074734614176,1,1
Q40444,Li Mou,Tang dynasty person CBDB = 187257,8,1,Q45699766,6000000074735206954,1,1
Q40448,Li Ju,Tang dynasty person CBDB = 187396,8,1,Q45439442,6000000074735134844,1,1
Q40456,Li Chen,"person, CBDB = 160233",8,1,Q11097447,6000000074735057934,1,1
Q40460,Li Jian,Tang dynasty person CBDB = 187107,9,1,Q10337238,6000000074734820047,1,1
Q40464,Li Jin,Tang dynasty person CBDB = 186980,8,1,Q45692799,6000000074734465137,1,1
Q40468,Li Xiang,Tang dynasty person CBDB = 187216,8,1,Q45698921,6000000074735425865,1,1
Q40469,Lao Fang,Qing dynasty person CBDB = 120345,9,1,Q45527564,6000000075554346836,1,1
Q40473,Yu Hongqi,,4,0,Q10880648,6000000177320984823,1,1
Q40486,Lu Zhong,Western Han Dynasty person CBDB = 33703,7,1,Q45426857,6000000016688833266,1,1
Q40490,Kong Zan,,6,0,Q22812629,6000000012967300599,1,1
Q40528,Li Ti,Tang dynasty person CBDB = 187920,7,1,Q45470652,6000000074735317910,1,1
Q40560,Yang Mou,Tang dynasty person CBDB = 172631,8,1,Q45501424,6000000074706186840,1,1
Q40592,Xue Yi,Tang dynasty person CBDB = 32406,8,1,Q45421502,6000000074749422104,1,1
Q40616,Yang Yan,Tang dynasty person CBDB = 31171,8,1,Q45419220,6000000075338167882,1,1
Q40620,Li Ze,Tang dynasty person CBDB = 189357,7,1,Q45556646,6000000075061562880,1,1
Q40625,Li Guan,Tang dynasty person CBDB = 188550,7,1,Q45508441,6000000074735490890,1,1
Q40629,Li Huan,Tang dynasty person CBDB = 32163,10,1,Q15953288,6000000074735477871,1,1
Q40633,Li Xian,Chinese Chancellor,12,3,Q6539155,6000000074734399397,1,1
Q40637,Li Yi,Tang dynasty person CBDB = 32164,8,1,Q45421011,6000000074735192935,1,1
Q40641,Li Gang,Tang dynasty person CBDB = 188563,8,1,Q45508893,6000000074735081069,1,1
Q40645,Li Yan,Tang dynasty person CBDB = 188569,8,1,Q16076736,6000000074735594884,1,1
Q40649,Li Hu,Tang dynasty person CBDB = 188567,7,1,Q45509085,6000000074735242950,1,1
Q40653,Li Ju,Tang dynasty person CBDB = 188568,8,1,Q45509149,6000000074735273949,1,1
Q40661,Li Zhilan,Tang dynasty person CBDB = 188632,7,1,Q45512984,6000000075061393838,1,1
Q40665,Li Qiyun,Tang dynasty person CBDB = 188662,8,1,Q45514891,6000000075060709145,1,1
Q40669,Li Shu,Tang dynasty person CBDB = 188651,7,1,Q45514192,6000000075061337858,1,1
Q40673,Li Ji,Tang dynasty person CBDB = 188652,7,1,Q45514255,6000000075061300895,1,1
Q40677,Li Ying,Tang dynasty person CBDB = 188674,7,1,Q45515650,6000000075061392872,1,1
Q40681,Li Yan,Tang dynasty person CBDB = 188699,7,1,Q45517077,6000000075061302910,1,1
Q40685,Li Jie,Tang dynasty person CBDB = 188706,7,1,Q45517526,6000000075061418845,1,1
Q40689,Li Lin,Tang dynasty person CBDB = 188754,8,1,Q45520566,6000000075061486841,1,1
Q40693,Li Fan,Tang dynasty person CBDB = 188755,8,1,Q45520630,6000000075061211954,1,1
Q40697,Li Yi,Tang dynasty person CBDB = 188756,8,1,Q45520694,6000000075061369913,1,1
Q40701,Li Chun,Tang dynasty person CBDB = 188772,8,1,Q45521715,6000000075061451874,1,1
Q40709,Yang Jian,Tang dynasty person CBDB = 31209,8,1,Q26198120,6000000075338073942,1,1
Q40717,Li Zhuan,Tang dynasty person CBDB = 32758,7,1,Q45422135,6000000074739760845,1,1
Q40721,Li Gang,Tang dynasty person CBDB = 141499,8,1,Q45530817,6000000074739633857,1,1
Q40729,Li Jing,Tang dynasty person CBDB = 174440,8,1,Q45602957,6000000074739711889,1,1
Q40733,Li Yin,Tang dynasty person CBDB = 33552,7,1,Q45424429,6000000074739511899,1,1
Q40737,Li Qian,Tang dynasty person CBDB = 188896,7,1,Q45529359,6000000074738212288,1,1
Q40741,Li Xun,Tang dynasty person CBDB = 188897,7,1,Q45529424,6000000074739556915,1,1
Q40745,Li Yi,Tang dynasty person CBDB = 188898,8,1,Q45529487,6000000074739704852,1,1
Q40753,Li Hong,Tang dynasty person CBDB = 145494,7,1,Q45463711,6000000074767624929,1,1
Q40757,Li Chengshi,Tang dynasty person CBDB = 188913,7,1,Q45530316,6000000074767608029,1,1
Q40768,Toqoqan,Prince of the Golden Horde,26,14,Q3992272,6000000074791357216,1,1
Q40773,Li Ying,crown prince of the Chinese dynasty Tang,19,2,Q6539240,6000000074767567901,1,1
Q40777,Li Wan,son of the Emperor Xuanzong of Tang,13,2,Q10719244,6000000074767297123,1,1
Q40784,Esen Temur,Qara Khitai person CBDB = 30338,10,2,Q11091875,6000000075326944822,1,1
Q40788,Ogolanci Tegin,Yuan dynasty person CBDB = 30341,9,2,Q16904250,6000000075326865897,1,1
Q40789,Li Sui,son of the Emperor Xuanzong of Tang,11,2,Q10719402,6000000074767178309,1,1
Q40793,Li Jiao,son of Emperor Xuanzong of Tang,13,4,Q10719457,6000000074767648863,1,1
Q40797,Li Lin,Chinese prince,14,5,Q706559,6000000074767648867,1,1
Q40801,Li Mao,Chinese imperial prince,16,3,Q5972977,6000000074767691824,1,1
Q40809,Li Huan,son of Chinese emperor Xuanzong of Tang,11,3,Q10719962,6000000074767648896,1,1
Q40817,Li Gui,son of Chinese emperor Xuanzong of Tang,18,2,Q10720135,6000000074767582943,1,1
Q40819,Borakchin Khatun,"chief or senior wife of Batu Khan, and probably the mother of Sartaq Khan",17,2,Q4093441,6000000009038418751,1,1
